LocaleIdentifier,DE
MsgPriceFree,Kostenlos
MsgCustomize,Anpassen
MsgPopupRequireGroupTitle,Auswahl unvollständig
MsgPopupRequireGroupMessage,Bitte wählen Sie ein(e) %@
BtnEditSpecialInstructions,Besondere Anweisungen Bearbeiten
BtnAddSpecialInstructions,Besondere Anweisungen Hinzufügen
MsgSubCategoryAll,Alle
MsgBagItemName,Tasche
MsgProductInformation,%@ Information
MsgKioskSearchOrderMenu,Bestellungssuchmenü
MsgPopupGiftCardIncorrectTitle,Ungültige Geschenkkartennummer
MsgPopupGiftCardIncorrectMessage,Die eingegebene Kartennummer ist ungültig.
MsgProductAttributesSelect,Wählen Sie %@ aus
MsgProductAttributesSelectAttrForProd,Wählen Sie %@ & %@ für %@
MsgProductAttributesSelectOneAttrForProd,Wählen Sie %@ für %@
MsgCallNamePressBackTextOrderScreen,Oder drücken Sie 'Zurück' um in die Bestellung zurück zu gehen.
MsgCallNamePressBackTextPaymentOptions,Oder drücken Sie 'Zurück' um in die Zahlungs-Optionen zurück zu gehen.
MsgCallNameSkipGiftCardActivationText,"Oder drücken Sie auf Weiter, um das Aktivieren der Karte zu überspringen."
MsgModWindowPleasePickMod,Bitte wählen Sie ein(e) %@.
MsgScrOrderKioskMyOrder,Meine Bestellung
MsgScrOrderKioskDeleteItem,Entf.
MsgScrOrderKioskTitleWelcomeTo,Willkommen bei
MsgScrOrderKioskTitleTouchScreenToBegin,"Berühren Sie den Bildschirm, um zu Beginnen"
MsgScrCheckoutKioskTitleCheckoutAndPayment,Bezahlen & Zahlung
MsgScrCheckoutKioskTitleCheckout,Checkout
MsgScrCheckoutKioskReviewOrder,Bestellung prüfen
MsgScrCheckoutKioskHaveDiscountCode,Haben Sie einen Rabatt-Code?
MsgScrCheckoutKioskNeedBag,Ich brauche eine Tasche!
MsgScrCheckoutKioskDontNeedBag,Ich benötige keine Tasche.
MsgScrCheckoutKioskPrepareOptionHere,Hier
MsgScrCheckoutKioskPrepareOrderFor,Bereiten Sie diese Bestellung vor für...
MsgScrCheckoutKioskBalanceDueIs,Ihr geschuldeter Betrag:
MsgScrCheckoutKioskHowToPay,Wie möchten Sie bezahlen?
MsgScrCheckoutKioskPleaseSwipeCard,Bitte ziehen Sie Ihre Karte durch.
MsgScrCheckoutKioskWouldLikeToAddTip,Möchten Sie ein Trinkgeld hinzufügen?
MsgScrCheckoutKioskEnterTipAmount,Trinkgeld-Betrag Eingeben:
MsgScrCheckoutKioskOrChooseFromOptionsBelow,oder wählen Sie aus den untenstehenden Optionen.
MsgScrCheckoutKioskThankYouOrderPlaced,Vielen Dank! Ihre Bestellung wurde entgegengenommen.
MsgScrCheckoutKioskCallName,Folgenden Namen aufrufen:
MsgScrCheckoutKioskAmountCharged,Rechnungsbetrag:
MsgScrCheckoutKioskOrderTotal,Gesamtsumme der Bestellung:
MsgScrCheckoutKioskSignBelow,Bitte unterzeichnen Sie untenstehend.
MsgScrCheckoutKioskEnterEmail,Bitte geben Sie Ihre E-Mail-Adresse ein.
MsgScrCheckoutKioskEmailTitle,E-Mail:
MsgScrCheckoutKioskEnterEmailHere,E-Mail hier eingeben
MsgScrCheckoutKioskPurchaseDoneThankYouNote,"Sie haben es geschafft! Vielen Dank, dass Sie bei uns bestellt haben."
MsgScrCheckoutKioskReceiptSentTo,Eine Quittung wurde versendet an...
MsgScrCheckoutKioskSwipeGiftCard,"Bitte ziehen Sie Ihre Geschenkkarte durch, oder geben diese manuell ein."
MsgScrCheckoutKioskManualGiftCard,Bitte geben Sie Ihre Geschenkkartenummer manuell ein.
MsgScrCheckoutKioskGiftCardNo,Geschenkkartennummer:
MsgScrCheckoutKioskEnterGiftCardNo,Geschenkkartennummer eingeben:
MsgScrCheckoutKioskScanQRToPayWith,"Scannen Sie den QR-Code auf Ihrem Telefon, um zu bezahlen mit"
MsgScrCheckoutKioskOpenPayPalSearchForOurStore,"Öffnen Sie die PayPal-App, und suchen Sie dann nach unserem Store."
MsgScrCheckoutKioskSwipeSliderRight,Ziehen Sie den Slider nach rechts.
MsgScrCheckoutKioskScanQRWithScanner,Scannen Sie den QR-Code mit dem Scanner.
MsgScrCheckoutKioskEnterCallName,Bitte geben Sie einen Rufnamen ein.
MsgScrCheckoutKioskEnterCallNameHere,Geben Sie den Rufnamen hier ein
MsgScrCheckoutKioskProceedToPaymentStation,Bitte gehen Sie zur nächsten Kasse.
MsgScrCheckoutKioskToCompleteOrder,um Ihre Bestellung abzuschließen.
MsgScrCheckoutKioskCallNumber,Rufnummer:
MsgScrModifiersKioskHowMany,Wie viele?
MsgScrModifiersNoModifiersForProduct,Es gibt keine Modifikatoren für dieses Produkt
MsgScrModifiersBasePrice,Basis-Preis:
BtnModifiersSubPrice,Ersatzpreis:
MsgScrModifiersExtras,Extras:
MsgScrModifiersPriceWithExtras,Preis m/ Extras:
MsgScrModifiersCustomized,Angepasst
MsgScrModifiersSelectedModifiers,Ausgewählte Modifikatoren
MsgScrModifiersTouchToJumpToCategory,"Berühren, um zur Kategorie zu springen"
MsgScrMatrixPriceColon,Preis:
MsgScrMatrixSelectAttribute,Auswählen (Attribut)
BtnLanguage,Sprache
MsgSelectLanguage,Sprache auswählen
MsgSelectWhereReceiptSent,Wählen Sie ein Produkt oder eine Zutat
MsgSelectYourEmailTitle,Kasse auswählen
MsgScrSettingsAmount,Betrag:
MsgScrSettingsAmount2,Betrag
MsgScrSettingsEnterTransaction,Geben Sie die Transaktionsnr. ein
MsgScrSettingsManTransaction,Transaktionsnr.
MsgScrSettingsCreditApproved,Kredit Genehmigt
MsgScrSettingsCreditNotApproved,Kredit Nicht Genehmigt
MsgScrSettingsUnexpectedPaymentProcessor,Unerwarteter Zahlungsprozessor. Bitte überprüfen Sie Ihre Backend Einstellungen.
MsgScrSettingsProcessingCredit,Kredit Verarbeiten
MsgScrSettingsCreditAmountMustBeGreaterThan0,Kreditbetrag muss größer als NULL sein.
MsgScrSettingsTransactionNotCaptured,Transaktion Nicht Erfasst
MsgScrSettingsNoTransactionNumberFound,Transaktionsnummer Nicht Gefunden
MsgScrSettingsPleaseEnterTransactionNumber,Bitte geben Sie eine Transaktionsnummer ein.
MsgScrSettingsEnterAmountToCredit,Geben Sie einen Betrag für den Kredit ein:
MsgScrSettingsRefundTips,Trinkgelder Erstatten
MsgScrSettingsDeleteLocks,Sperren Löschen
MsgScrSettingsSelectUserLockPOS,Wählen Sie einen Benutzer
MsgScrSettingsDeleteAllLocksPOS,Dies löscht alle Sperren vom POS. Sind Sie sich sicher?
MsgScrSettingsOwnersAndManagersCanLog,Eigentümer und Manager können sich stets einloggen und werden hier nicht aufgeführt. \nKüchenchefs können sich nicht einloggen und werden hier nicht aufgeführt. \nMultiple Benutzersperren werden unterstützt.
MsgScrSettingsPINRole,PIN: %@
MsgScrSettingsFailedDeleteUserLocks,Fehler beim Löschen der Benutzersperren.
MsgScrSettingsEnterPassword,Kennwort Eingeben:
MsgScrSettingsTableFiltering,Tisch Filtern:
MsgScrSettingsCheckNetwork2,Netzwerk Prüfen:
MsgScrSettingsDoNotPrintPinPadReceipts,Keinen Beleg auf Kartenlesegerät drücken
MsgScrSettingsDateTouchEmployee,Zum Drucken wählen Sie einen Mitarbeiter und ein Datum aus.
MsgScrSettingsTillNotSet,Bargeld-Anfangsbetrag war für diese Kasse nicht eingestellt. Seit 3 Uhr sind Zahlungen vorauszusetzen.
MsgScrSettingsNoCashWithdraw,Keine Bargeld aus der Kasse zu Entnehmen
MsgScrSettingsBankDropManager,Manager-Bankeinzahlungen
MsgScrSettingsAmountTills,Betrag in den Kassen
MsgScrSettingsEnterAmount,Betrag Eingeben
MsgScrSettingsPrintEmptySafeDrop,Tresor leer drucken 
MsgScrSettingsOpenCashDrawer,Kassenlade Öffnen
MsgScrSettingsQuestQT720PinPad,Suche QT720 PinPad
MsgScrSettingsPinPadSerialNumber,PinPad Seriennummer:
MsgScrSettingsPinPadKernelName,PinPad Kernname:
MsgScrSettingsPinPadKernelVersion,PinPad Kernversion:
MsgScrSettingsSerialboxStatus,Serienfeld Status:
MsgScrSettingsCloudID,Cloud-ID:
MsgScrSettingsDebugLog,Debug-Protokoll
MsgScrSettingsConnected,Verbunden
MsgScrSettingsFailedConnect,Verbindung Fehlgeschlagen
MsgScrSettingsNotConnected,Nicht Verbunden
MsgScrSettingsPinPadconnectionTimeout,Timeout der PinPad-Verbindung
MsgScrSettingsPinPadconnectionFailed,PinPad-Verbindung Fehlgeschlagen
MsgScrSettingsPinPadGotNegativeAckFromPinPad,Negative Bestätigung vom Kartenlesegerät
MsgScrSettingsGettingPinPadInfo,Empfängt PinPad-Info
MsgScrSettingsLookPinPad,Schauen Sie auf das PinPad
MsgScrSettingsForce,Erzwingen
MsgScrSettingsPaymentsProcessing,Verarbeitung von Zahlungen
MsgScrSettingsStillOffline,Immer noch Offline. Bitte überprüfen Sie Ihre Netzwerkverbindung.
MsgScrSettingsCashDrawerManagement,Verwaltung der Bargeldschublade
MsgScrSettingsSetCashDrawer,Kassenlade Einstellen
MsgScrSettingsPushNotifications,Push-Benachrichtigungen
MsgScrSettingsOfflineCreditCardProcessingStart,Offline-Kreditkartenverarbeitung Starten
MsgScrSettingsOfflineCreditCardProcessingStop,Offline-Kreditkartenverarbeitung Beenden
MsgScrSettingsPaymentsSettings,Zahlungen
MsgScrSettingsDisplayUnitSettings,Monitor Einstellungen
MsgScrSettingsDisplayUnitSettingsTitle,Willkommensnachricht der Einheit Zeigen
MsgScrSettingsDisplayUnitSettingsEnterCustom,Geben Sie eine Benutzerdefinierte Nachricht ein
MsgScrSettingsDisplayUnitSettingsCustomTitle,Geben Sie eine Benutzerdefinierte Nachricht ein
MsgScrSettingsNetworkSyncFailureDetails,Versand-Details
MsgScrSettingsNetworkSyncFailureDescription,Beschreibung
MsgScrSettingsFailedLogout,Ausloggen Fehlgeschlagen
MsgScrSettingsOrderIsStillOpen,Bestellung #%@ ist noch offen! Bitte schließen Sie die Bestellung vor dem Ausloggen.
MsgScrSettingsClockInClockOut2,Anmelden/Abmelden
MsgScrSettingsDoYouWantToClokInOrOut,Möchten Sie sich anmelden oder abmelden?
MsgScrSettingsManager,Manager
MsgScrSettingsSalesSummary,Umsatzzusammenfassung
MsgScrSettingsPrinters,Drucker
MsgScrSettingsTaxFree,Steuerfrei
MsgScrSettingsTimeSchedule,Zeitplan
MsgScrSettingsRewardCards,Prämienkarten
MsgScrSettingsDeclareTips,Trinkgelder Deklarieren
MsgScrSettingsTipsProcessing,Trinkgeldverarbeitung
MsgScrSettingsUpdateRPI,RPI Aktualisieren
MsgScrSettingsShowRPIDevices,RPI-Geräte zeigen
MsgScrSettingsStanfordCards,Stanford Karten
MsgScrSettingsWetstockManagement,Wetstock Management
MsgScrSettingsTipManagement,Trinkgelder Management
MsgScrSettingsStatusPage,ITL Statusseite
MsgScreenAllOrdersAreSentServer,Alle Bestellungen sind an den Server gesendet.
MsgScreenAllPaymentsAreSentPaymentProcessor,Alle Zahlungen sind an den Zahlungsprozessor gesendet.
MsgScreen1OrderStillNotSentServer,1 Bestellung wurde noch nicht an den Server gesendet.
MsgScreen1PaymentStillNotSentPaymentProcessor,1 Zahlung wurde noch nicht an den Zahlungsprozessor gesendet.
MsgScreenFewOrderStillNotSentServer,%d Bestellungen wurden noch nicht an den Server gesendet.
MsgScreenFewOrdersFailedSentServer,%d Bestellungen konnten nicht an den Server gesendet werden.
MsgScreen1OrderFailedSentServer,1 Bestellung konnte nicht an den Server gesendet werden.
MsgScreenFewPaymentStillNotSentPaymentProcessor,%d Zahlungen wurden noch nicht an den Zahlungsprozessor gesendet.
MsgScreenVersionInformation,Information zur Version
MsgScreenVersionEstabStation,Version: %@-%@\nFiliallen-ID: %d\nStationname: %@\nGeräte-ID: %@\nURL: %@
MsgScreenVersionEstablishmentStation,Version: %@\nFiliallen-ID: %d\nStationsname: %@\nGeräte-ID: %@\n URL: %@
MsgScreenCertificate,NTEP CC # 13-014
MsgScrPinWarningPosDisabledNoPaymentMessage,"POS-Station ist deaktiviert. Ihre Kreditkarte wurde abgewiesen, bitte geben Sie eine neue Kreditkarte im System ein oder rufen Sie die Unterstützung zwecks Hilfe an."
MsgScrPinWarningPosWillBeDisabledWarning,"Sie haben %i Stunden, bevor diese Station deaktiviert wird. Sie müssen eine Zahlung mit einer neuen Kreditkarte ausführen"
MsgScreenProductsAreLoaded,%d von %d Produkten werden nicht geladen
MsgScreenAllOfferTransactionsAreSentServer,Alle Angebots-Transaktionen sind an den Server gesendet.
MsgScreen1OfferTransactionStillNotSentServer,1 Angebots-Transaktion ist noch nicht an den Server gesendet.
MsgScreenFewOfferTransactionsStillNotSentServer,%d Angebots-Transaktionen sind noch nicht an den Server gesendet.
MsgScrOrderSelect,Wählen Sie aus
MsgScrOrderTitle,Titel
MsgScrOrderInformation,Information
MsgScrOrderOrderIsOpen,Bestellung ist offen auf %@.  Bitte schließen Sie diese um sie zu ändern.
MsgScrOrderProductName,Produktname
MsgScrOrderSeat3,Platz 3
MsgScrOrderCourse1,Gang 1
MsgScrOrderMainMenu,Hauptmenü
MsgScrOrderOrderOverview,Bestellübersicht
MsgScrOrderOrder,Bestellnr.
MsgScrOrderYourBalanceIs,Ihr Guthaben beträgt
MsgScrOrderSelectHotspotDuration,Wählen Sie die Hotspot-Dauer
MsgScrOrderHotspotError,Hotspot-Fehler
MsgScrOrderFailedGetCodeHotspot,Fehler beim Abrufen des Codes von Hotspot.
MsgScrOrderCardAttachedOrder,Karte Verknüpft mit Bestellung
MsgScrOrderCardCantAttachedOrder,Karte kann nicht mit der Bestellung verknüpft werden.
MsgScrOrderEmailSent,E-Mail Versendet
MsgScrOrderOrdersOutForDelivery,Ausgehende Bestellungen zur Lieferung
MsgScrOrderDolAmount,€ Betrag
MsgScrOrderStreet,Straße
MsgScrOrderOutTime,Auslieferzeit
MsgScrOrderDriverName,Fahrername
MsgScrOrderChangeDriver,Fahrer Ändern
MsgScrOrderASSIGNDRIVER,FAHRER ZUWEISEN
MsgScrOrderOrdersAwaitingDelivery,Bestellungen die auf die Auslieferung Warten
MsgScrOrderCustomerName,Name
MsgScrOrderZip,Postleitzahl
MsgScrOrderTimeOrdered,Bestellzeit
MsgScrOrderSetAttributes,Einstellen von Attributen
MsgScrOrderSetAutoGratuity,Auto-Gratifikation Einstellen
MsgScrOrderAutoGratuityOnOff,Auto-Gratifikation AN/AUS:
MsgScrOrderSetGratuity,Gratifikation Setzen %:
MsgScrOrderHold,Halten
MsgScrOrderMore,Mehr
MsgScrOrderStopped,Gestoppt
MsgScrOrderOrderSummary,Bestellübersicht
MsgScrOrderSubtotal,Zwischensumme
MsgScrOrderDue,Fällig
MsgScrOrderTotalDue,Fälliger Gesamtbetrag:
MsgScrOrderBalance,Guthaben:
MsgScrOrderChange,Wechselgeld:
MsgScrOrderSettings,Einstellungen
MsgScrOrderBarcodeScanner,Barcode-Scanner
MsgScrOrderDeviceStatus,Status des Geräts
MsgScrOrderExit,Beenden
MsgScrOrderEnterCallNamePlease,Bitte geben Sie den Rufnamen ein
MsgScrOrderNumber,Anzahl:
MsgScrOrderName,Name:
MsgScrOrderExp,Exp:
MsgScrOrderAuth,Auth.-Nr.:
MsgScrOrder1Station,1 Station
MsgScrOrderCustomerNameOrder ,Kundenname und Bestellung 
MsgScrOrderApplyDiscount,Rabatt Anwenden
MsgScrOrderHelp,Hilfe
MsgScrOrderRemoveItems,Artikel Entfernen
MsgScrOrderThankYouApproved,Genehmigt. \nVielen Dank!
MsgScrOrderNotManagersPIN,Eingegebene PIN ist keine Admin-PIN! Bitte versuchen Sie es erneut!
MsgScrOrderReceiptManager,Quittung für den Manager
MsgScrOrderSignHere,Hier Unterschreiben
MsgScrOrderAgreementToPay,Ja
MsgScrOrderHowToDeliveReceipt,Wie möchten Sie die Quittung?
MsgScrOrderDoYouWantaReceipt,Möchten Sie eine Quittung?
MsgScrOrderTips,Trinkgelder
MsgScrOrderCannotAddOrderItem,Die Menge der Elemente kann nicht aktualisiert werden
MsgScrOrderNoOpenOrders,Keine offenen Bestellungen gefunden.
MsgScrOrderExchangedItems,Ausgetauschte Artikel:
MsgScrOrderSetTillBeforePerformAction,"Die Kasse muss eingestellt werden, bevor die\n gewünschte Aktion durchgeführt werden kann."
MsgScrOrderSetTillContactManager,Kassenlade ist nicht eingestellt.\nBitte kontaktieren Sie Ihren Manager
MsgScrOrderSetCallNameBeforePerformAction,"Ein Rufname muss hinzugefügt werden, bevor\ndie gewünschte Aktion ausgeführt werden kann."
MsgScrOrderSetCustomerBeforePerformAction,"Ein Kunde muss hinzugefügt werden, bevor\ndie gewünschte Aktion ausgeführt werden kann."
MsgScrOrderSetDiningBeforePerformAction,"Eine Restaurant-Option muss hinzugefügt werden, bevor die\n gewünschte Aktion durchgeführt werden kann."
MsgScrOrderSetSeatCountBeforePerformAction,"Die Anzahl der Plätze muss eingestellt werden, bevor die\n gewünschte Aktion durchgeführt werden kann."
MsgScrOrderSetSerialBeforePerformAction,"Artikel in dieser Bestellung erfordern Seriennummern, bevor mit dem Zahlung fortgefahren wird. Bitte geben Sie entweder Seriennummern ein, oder wählen Sie Artikel zur lokalen Lieferung aus."
MsgScrOrderProductCannotBe,%@ kann nicht %@ sein.
MsgScrOrderProductCannotBeRemoveTheseProducts,%@ kann nicht %@ sein. Diese Produkte aus der Bestellung entfernen?
MsgScrOrderProductCannotBeRemoveThisProduct,%@ kann nicht %@ sein. Dieses Produkt aus der Bestellung entfernen?
MsgScrOrderDonationError,Fehler: Spenden wurden deaktiviert. \nBitte kontaktieren Sie Ihren Manager.
BtnPromptGoToTill,Gehen Sie zur Kasse
BtnPromptSelectCustomer,Wählen Sie einen\nKunden
BtnPromptSelectCallName,Wählen Sie einen \nRufnamen
BtnPromptAddSerialNumber,Seriennummern hinzufügen
BtnPromptChooseItemsForLocalDelivery,Wählen Sie Artikel zur lokalen Lieferung aus
MsgLibIndexWrongQrCode,Falscher QR-Code
MsgIndexError,Index-Fehler
MsgLibStarPrinterError,Fehler Star Drucker
MsgLibStarIpAddrNotConf,IP-Adresse nicht Konfiguriert
MsgLibMagTekPortableCardSwipe,Tragbares Kartenlesegerät
MsgLibMagTekInitializing,Wird initialisiert...
MsgLibMagTekAccessoryConn,Zubehör Angeschlossen
MsgLibMagTekDeviceConn,Gerät Angeschlossen
MsgLibMagTekDeviceDisconn,Gerät Nicht Angeschlossen
MsgLibMagTekMAGTEKERR,MAGTEK FEHLER
MsgLibMagTekFailedParseOfflData,Offline Zerlegung der Prozessordaten fehlgeschlagen.
MsgLibMagTekDeviceReady,Gerät Bereit
MsgLibMagTekDeviceNotOpened,Gerät Nicht Geöffnet
MsgLibMagTekDeviceNotConn,Gerät Nicht Verbunden
MsgLibMagTekOpenediDynamo,Geöffnetes iDynamo
MsgLibMagTekOpeneduDynamo,Geöffnetes uDynamo
MsgLibKitchenNetStartFailed,Netzwerkfehler
MsgLibKitchenItemsAreNotSent,Folgende Bestellungen wurden nicht gesendet:\n
MsgLibKitchenItemsAreNotRemoved,Folgende Bestellungen wurden nicht entfernt:\n
MsgLibKitchenFrom,von
MsgLibKitchenTo,an
MsgLibKitchenOrder,Bestellnr.
MsgUtilsViewRedeemCode,Code Einlösen
MsgUtilsViewEnterRedemptionCode,Gutscheincode Eingeben
MsgUtilsViewPassword,Kennwort
MsgUtilsViewEnterPassword,Kennwort Eingeben
MsgUtilsViewEnterAManagerPINToApprove,Bitte zur Genehmigung Manager-PIN eingeben.
MsgUtilsViewSwipeCardForLinkOrderToApprove,Bitte für Gehnemigung Karte einlesen
MsgUtilsViewLinkCard,Karte Verknüpfen
MsgUtilsViewFindPreAuthCard,Suche Nach Verknüpften Bestellungen
MsgUtilsViewCardSwipeIsNotSetUp,Kartenlesegeräte wurde nicht für diese Station eingerichtet.
MsgUtilsViewSwipeCardForLinkOrder,Bitte ziehen Sie eine Karte durch.
MsgUtilsViewLinkedFindNotFound,Verknüpfte Bestellung konnte nicht gefunden werden.
MsgUtilsViewLineNr,%s [Leitung %d] %@
MsgUtilsViewEatInOrder,Bestellung zum Verzehr im Restaurant
MsgUtilsViewEatInInvoice,Rechnung für Essen im Restaurant
MsgUtilsViewEatIn,Im Restaurant essen
MsgUtilsViewEatInWebOrder,Web-Bestellung zum Verzehr im Restaurant
MsgUtilsViewEatInWebInvoice,Web-Rechnung für Essen im Restaurant
MsgUtilsViewToGoOrder,Bestellung zum Mitnehmen
MsgUtilsViewToGoInvoice,Rechnung für Essen zum Mitnehmen
MsgUtilsViewToGo,Zum Mitnehmen
MsgUtilsViewToGoWebOrder,Online-Bestellung
MsgUtilsViewToGoWebInvoice,Web-Rechnung für Essen zum Mitnehmen
MsgUtilsViewRetailOrder,Retail Bestellung
MsgUtilsViewRetailInvoice,Retail Rechnung
MsgUtilsViewRetailWebOrder,Retail Web-Bestellung
MsgUtilsViewRetailWebInvoice,Retail Web-Rechnung
MsgUtilsViewDelivery,Lieferung
MsgUtilsViewWebDelivery,Lieferung einer Web-Bestellung
MsgUtilsViewWebDeliveryInvoice,Lieferung einer Web-Rechnung
MsgUtilsViewCatering,Catering
MsgUtilsViewWebCatering,Catering Web-Bestellung
MsgUtilsViewWebCateringInvoice,Catering Web-Rechnung
MsgUtilsViewDriveThru,Drive Through
MsgUtilsViewWebDriveThru,Drive Through Web-Bestellung
MsgUtilsViewWebDriveThruInvoice,Drive Through Web-Rechnung
MsgUtilsViewWebOrder,Online-Bestellung
MsgUtilsViewWebInvoice,Web-Rechnung
MsgUtilsViewOther,Andere
MsgUtilsViewWebOther,Online-Bestellung
MsgUtilsViewWebOtherInvoice,Andere Web-Rechnung
MsgUtilsViewWebOnlineKitchen,Online
MsgDOMTotalOutstanding,Insgesamt Ausstehend
MsgDOMRate,%@ Preis
MsgDOMExchangeTotal,Tausch-Gesamtsumme
MsgDOMReceiptTotal,Quittung Insgesamt
MsgDOMReceiptSumTotal,Quittung Gesamtsumme
MsgDOMRewardSummary,Prämienzusammenfassung
MsgDOMRewardCardNumber,Prämienkartennummer
MsgDOMRedeemAuthNumber,Auth. Nummer Einlösen
MsgDOMAuthNumber,Auth. Nummer
MsgDOMCoupon,Gutschein
MsgDOMCouponAmount,Gutscheinbetrag
MsgDOMCouponUsed,Gutschein Verwendet
MsgDOMRewardUsed,Prämie Verwendet
MsgDOMCustomerOwes,Der Kunde Schuldet
MsgDOMAddAuthNumber,Auth. Nummer Hinzufügen
MsgDOMPointsEarned,Gesammelte Punkte
MsgDOMTotalPoints,Gesamtpunkte
MsgDOMCashEarned,Verdientes Geld
MsgDOMRewardBalance,Prämienguthaben
MsgDOMRewardCashBalance,Prämien-Bargeldguthaben
MsgDOMTotalSaved,Insgesamt Gespart
MsgDOMAdditionalPoints,%.2f Punkte werden benötigt um %@ Prämie zu bekommen.
MsgDOMAdditionalVisits,"%d Besuche werden benötigt, um eine%@ Prämie zu erhalten."
MsgDOMExchanged,[Ausgetauscht]
MsgDOMExchangedWithDate,[Ausgetauscht %@]
MsgDOMTOTALREFUNDED,INSGESAMT ERSTATTET
MsgDOMVOIDED,STORNIERT
MsgDOMRETURNED,RÜCKNAHMEN
MsgDOMCOMPS,GRATIS
MsgDOMVOIDEDPAYMENTS,STORNIERTE ZAHLUNGEN
MsgDOMREFUNDEDPAYMENTS,ERSTATTETE ZAHLUNGEN
MsgDOMVOIDEDTRANSACTION,STORNIERTE TRANSAKTIONEN
MsgDOMREFUNDEDTRANSACTION,ERSTATTETE TRANSAKTION
MsgDOMCourse,Gang
MsgDOMItemToGo,[Artikel zum Mitnehmen]
MsgDOMNO,NEIN
MsgDOMDeliveryDate,Lieferdatum
MsgDOMWaitingfor,Wartet auf
MsgDOMUser,Benutzer
MsgDOMPAYINRECEIPT,QUITTUNG ÜBER DIE EINZAHLUNG
MsgDOMDrawerNumber,Schubladennummer
MsgDOMReason,Grund
MsgDOMPAYOUTRECEIPT,QUITTUNG ÜBER DIE AUSZAHLUNG
MsgDOMFireCourse,Gang %d Abrufen
MsgDOMGiftCard,Geschenkkarte
MsgDOMCustPaid,Kunde Bezahlt
MsgDOMCustChange,Kunde Geändert
MsgDOMTrans,Trans
MsgDOMCard,Karte
MsgDOMCUTHERE,HIER SCHNEIDEN
MsgDOMTotalOutst,Ausstehender Gesamtbetrag
MsgDOMREFUNDED,ERSTATTET
MsgDOMBREAKDOWN,AUFSCHLÜSSELUNG
MsgDOMCouldntBeAuth,für Bestellung konnte %@ nicht für den vollen Betrag bewilligt werden.
MsgDOMCollectedSomeCouldnt, %.2f wurde abgeholt. %.2f konnte nicht abgeholt werden.
MsgDOMCaptureStatus,Erfassungsstatus
MsgDOMTRAININGMODE,SCHULUNGSMODUS
MsgREPRINT,ERNEUT DRUCKEN
MsgCouponsError,Fehler
MsgCouponInvalidCoupon,Ungültiger Gutschein
MsgCouponScanCoupon,Gutschein Scannen
MsgCouponCampaignDateError,Gutschein Datum Fehler
MsgApplyCoupon,Gutschein anwenden
MsgApplyCouponPRNotAllowed,PR Gutschein ist in diesem Flow nicht verfügbar
MsgInventoryInventory,Inventar
MsgInventoryInventoryManagement,Inventarverwaltung
MsgInventoryManageInventory,Inventar Verwalten
MsgInventoryItemNameInventory,%@ Inventar
MsgInventorySReceived,%.2f %@ Erhalten.
MsgInventoryQuantityUnits,%.2f %@
MsgInventoryProducts,PRODUKTE
MsgInventoryPOs,Aufträge
MsgInventoryPO's,Aufträge
MsgInventoryManagePOs,Aufträge Verwalten
MsgInventoryCancel,Abbrechen
MsgInventoryScanBarcode,Barcode Scannen
MsgInventoryPressScanButton,Drücken Sie den Scannen-Knopf
MsgInventoryFetchingInventoryInformation,Abrufen von Informationen zum Inventar...
MsgInventoryFetchingInventoryInformationForDefaultItems,Abrufen von Informationen zu Schlüsselelementen...
MsgInventoryUpdatingInventoryInformation,Aktualisieren von Informationen zum Inventar
MsgInventoryStartingInventoryIsNow,"Das Startinventar ist jetzt \""%.2f\"""
MsgInventoryCurrentInventory:,Derzeitiges Inventar:
MsgInventoryCurrentInventoryIs,"Derzeitiges Inventar ist \""%.2f\"""
MsgInventoryCurrentInventoryis,"Aktuelles Inventar ist \""%.2f\""\nIst-Bestand \""%.2f\"" \nAbweichung durch Abfallverlust ist \""%.2f\"" \nAbfallverlust ist \""%0.2f%%\"""
MsgInventoryProductWithEnteredBarcodeWasNotFound,Es wurde kein Produkt mit übereinstimmendem Barcode gefunden.
MsgInventoryProduct,Produkt
MsgInventoryPOID#,Auftrags-ID-Nr.
MsgInventorySelect,Wählen Sie aus
MsgInventoryEnterPOID#,Auftrags-ID-Nr.
MsgInventoryEnterBarcode,Geben Sie den Barcode ein
MsgInventoryTouchToSelectaPurchaseOrder,Bitte Berühren um eine Bestellung Auszuwählen.
MsgInventorySelectaPurchaseOrder,Auftrag Auswählen
MsgInventoryTouchToSelect,Berühren
MsgInventorySearch,Suchen
MsgInventorySubmit,Abschicken
MsgInventoryPurchaseOrderSearch,Auftragssuche
MsgInventoryProductSearch,Produktsuche
MsgInventoryNoMathesFound,Keine Übereinstimmungen
MsgInventoryInventoryUpdated,Inventar Aktualisiert
MsgInventoryNothingUpdated,Nichts Aktualisiert
MsgInventoryInvUnitsAdded,Nr. Inv. Einheiten\nHinzugefügt
MsgInventoryAdded,Hinzugefügt
MsgInventoryCurrentInventory,Derzeitiges\nInventar
MsgInventoryPOID,Auftrags-ID
MsgInventoryPOIDNumber,Auftrags-ID %d
MsgInventoryPOsIncluding,Aufträge Einschließlich: %@
MsgInventoryPurchaseOrderID,Auftrags-ID-Nr.
MsgInventoryVendorName,Name des Verkäufers
MsgInventoryVendorInvoiceNumber,Verkäuferrechnung #
MsgInventoryDate,Datum
MsgInventoryItem,Artikel
