LocaleIdentifier,FR
MsgScrModifiersTouchToJumpToCategory,Toucher pour passer à la catégorie
MsgScrMatrixPriceColon,Prix:
MsgScrMatrixSelectAttribute,Sélectionner (Attribut)
BtnLanguage,Langue
MsgSelectLanguage,Sélectionner une langue
MsgSelectWhereReceiptSent,Sélectionner le produit ou l’ingrédient
MsgSelectYourEmailTitle,Sélectionner une caisse
MsgScrSettingsAmount,Montant:
MsgScrSettingsAmount2,Montant
MsgScrSettingsEnterTransaction,Saisir le N° de la transaction 
MsgScrSettingsManTransaction,N° de transaction
MsgScrSettingsCreditApproved,Crédit approuvé
MsgScrSettingsCreditNotApproved,Crédit non approuvé
MsgScrSettingsUnexpectedPaymentProcessor,Processeur de paiement inattendu. Veuillez vérifier les paramètres de la console de gestion.
MsgScrSettingsProcessingCredit,Traitement du crédit
MsgScrSettingsCreditAmountMustBeGreaterThan0,Le montant du crédit doit être supérieur à ZÉRO.
MsgScrSettingsTransactionNotCaptured,Transaction non capturée
MsgScrSettingsNoTransactionNumberFound,Numéro de transaction introuvable
MsgScrSettingsPleaseEnterTransactionNumber,Veuillez saisir un numéro de transaction.
MsgScrSettingsEnterAmountToCredit,Saisir le montant à créditer:
MsgScrSettingsRefundTips,Rembourser les pourboires
MsgScrSettingsDeleteLocks,Supprimer les verrouillages
MsgScrSettingsSelectUserLockPOS,Sélectionner un utilisateur à verrouiller sur le TPV:
MsgScrSettingsDeleteAllLocksPOS,Cela supprimera tous les verrouillages du TPV. Voulez-vous vraiment continuer ?
MsgScrSettingsOwnersAndManagersCanLog,Les serveurs et les responsables peuvent toujours se connecter et ne seront pas listés ici.\nLes chefs ne peuvent pas se connecter et ne seront pas listés ici.\nLes verrouillages multi-utilisateurs sont pris en charge.
MsgScrSettingsPINRole,"Code PIN: %@, Rôle:"
MsgScrSettingsFailedDeleteUserLocks,Impossible de supprimer les verrouillages d’utilisateur.
MsgScrSettingsEnterPassword,Saisir un mot de passe:
MsgScrSettingsTableFiltering,Triage par table:
MsgScrSettingsCheckNetwork2,Vérifier le réseau:
MsgScrSettingsDoNotPrintPinPadReceipts,Ne pas imprimer les reçus du PinPad
MsgScrSettingsDateTouchEmployee,Sélectionnez une date et un employé pour imprimer.
MsgScrSettingsTillNotSet,Le fonds de caisse de départ non défini. Paiements depuis 3 heures du matin pris en charge
MsgScrSettingsNoCashWithdraw,Pas d'espèces à retirer de la caisse.
MsgScrSettingsBankDropManager,Gestionnaire de dépôt bancaire
MsgScrSettingsAmountTills,Montant dans les caisses
MsgScrSettingsEnterAmount,Saisir le montant
MsgScrSettingsPrintEmptySafeDrop,Imprimer dépôt dans le coffre-fort vide
MsgScrSettingsOpenCashDrawer,Ouvrir le tiroir-caisse
MsgScrSettingsQuestQT720PinPad,Quest QT720 PinPad
MsgScrSettingsPinPadSerialNumber,Numéro de série du PinPad :
MsgScrSettingsPinPadKernelName,Nom de Kernel du PinPad :
MsgScrSettingsPinPadKernelVersion,Version de Kernel du PinPad :
MsgScrSettingsSerialboxStatus,Statut Serial box :
MsgScrSettingsCloudID,ID du cloud :
MsgScrSettingsDebugLog,Journal de débogage
MsgScrSettingsConnected,Connecté
MsgScrSettingsFailedConnect,Impossible de se connecter
MsgScrSettingsNotConnected,Non connecté
MsgScrSettingsPinPadconnectionTimeout,Délai d’attente de connexion au PinPad
MsgScrSettingsPinPadconnectionFailed,Échec de la connexion au PinPad
MsgScrSettingsPinPadGotNegativeAckFromPinPad,Réponse négative de PinPad
MsgScrSettingsGettingPinPadInfo,Récupération des informations du PinPad
MsgScrSettingsLookPinPad,Consulter PinPad
MsgScrSettingsForce,Forcer
MsgScrSettingsPaymentsProcessing,Traitement des paiements
MsgScrSettingsStillOffline,Toujours en mode hors ligne. Vérifiez votre connexion Internet.
MsgScrSettingsCashDrawerManagement,Gestion du tiroir-caisse
MsgScrSettingsSetCashDrawer,Définir le tiroir-caisse
MsgScrSettingsPushNotifications,Notifications Push
MsgScrSettingsOfflineCreditCardProcessingStart,Activer le traitement de carte de crédit hors ligne
MsgScrSettingsOfflineCreditCardProcessingStop,Désactiver le traitement de carte de crédit hors ligne
MsgScrSettingsPaymentsSettings,Paiements
MsgScrSettingsDisplayUnitSettings,Unité d’affichage
MsgScrSettingsDisplayUnitSettingsTitle,Message de bienvenue de l’unité d’affichage
MsgScrSettingsDisplayUnitSettingsEnterCustom,Saisir un message personnalisé
MsgScrSettingsDisplayUnitSettingsCustomTitle,Saisir un message personnalisé
MsgScrSettingsNetworkSyncFailureDetails,Détails d’expédition
MsgScrSettingsNetworkSyncFailureDescription,Description
MsgScrSettingsFailedLogout,Impossible de se déconnecter
MsgScrSettingsOrderIsStillOpen,La commande n°%@ est toujours ouverte! Fermez-la avant de quitter.
MsgScrSettingsClockInClockOut2,Pointer à l’arrivée/au départ
MsgScrSettingsDoYouWantToClokInOrOut,Pointer à l’arrivée ou au départ ?
MsgScrSettingsManager,Responsable
MsgScrSettingsSalesSummary,Résumé des ventes
MsgScrSettingsPrinters,Imprimantes
MsgScrSettingsTaxFree,Exempt de taxe
MsgScrSettingsTimeSchedule,Calendrier
MsgScrSettingsRewardCards,Cartes de fidélité
MsgScrSettingsDeclareTips,Déclarer les pourboires
MsgScrSettingsTipsProcessing,Traitement des pourboires
MsgScrSettingsUpdateRPI,Mettre à jour les RPI
MsgScrSettingsShowRPIDevices,Afficher les périphérique RPI
MsgScrSettingsStanfordCards,Cartes Stanford
MsgScrSettingsWetstockManagement,Gestion du Stock liquide
MsgScrSettingsTipManagement,Gestion des pourboires
MsgScrSettingsStatusPage,Page de statut ITL
MsgScreenAllOrdersAreSentServer,Toutes les commandes sont envoyées au serveur.
MsgScreenAllPaymentsAreSentPaymentProcessor,Tous les paiements sont envoyés au processeur.
MsgScreen1OrderStillNotSentServer,1 commande n’a pas encore été envoyée au serveur.
MsgScreen1PaymentStillNotSentPaymentProcessor,1 paiement n’a pas encore été envoyé au processeur de paiement.
MsgScreenFewOrderStillNotSentServer,%d commandes n’ont pas encore été envoyées au serveur.
MsgScreenFewOrdersFailedSentServer,%d commandes n’ont pas pu être envoyées au serveur.
MsgScreen1OrderFailedSentServer,1 commande n’a pas pu être envoyée au serveur.
MsgScreenFewPaymentStillNotSentPaymentProcessor,%d paiement n’ont pas encore été envoyés au processeur de paiement.
MsgScreenVersionInformation,Informations de version
MsgScreenVersionEstabStation,Version: %@.%@\nID de l’établissement: %d\nNom du terminal: %@\n ID du périphérique: %@\n URL: %@
MsgScreenVersionEstablishmentStation,Version: %@\nID de l’établissement: %d\nNom du terminal: %@\n ID du périphérique: %@\n URL: %@
MsgScreenCertificate,NTEP CC N° 13-014
MsgScrPinWarningPosDisabledNoPaymentMessage,"Le TPV est désactivé. Carte de crédit refusée, entrez une nouvelle carte de crédit ou contactez l’assistance."
MsgScrPinWarningPosWillBeDisabledWarning, %i heures avant la désactivation de ce terminal. Payez avec une nouvelle carte de crédit.
MsgScreenProductsAreLoaded,%d de %d produits n'ont pas été téléchargés
MsgScreenAllOfferTransactionsAreSentServer,Toutes les offres de transactions ont été envoyées vers le serveur.
MsgScreen1OfferTransactionStillNotSentServer,1 offre de transaction n'est toujours pas envoyée vers le serveur.
MsgScreenFewOfferTransactionsStillNotSentServer,%d offre de transactions n'ont toujours pas été envoyées vers le serveur.
MsgScrOrderSelect,Sélectionner
MsgScrOrderTitle,Titre
MsgScrOrderInformation,Informations
MsgScrOrderOrderIsOpen,La commande ouverte sur %@. Fermez-la pour la modifier.
MsgScrOrderProductName,Nom du produit
MsgScrOrderSeat3,Place 3
MsgScrOrderCourse1,Plat 1
MsgScrOrderMainMenu,Menu principal
MsgScrOrderOrderOverview,Aperçu de la commande
MsgScrOrderOrder,Cmd N°
MsgScrOrderYourBalanceIs,Votre solde est
MsgScrOrderSelectHotspotDuration,Sélectionner la durée de la borne Wi-Fi
MsgScrOrderHotspotError,Erreur de la borne Wi-Fi
MsgScrOrderFailedGetCodeHotspot,Impossible dobtenir le code de la borne Wi-Fi.
MsgScrOrderCardAttachedOrder,Carte jointe à la commande
MsgScrOrderCardCantAttachedOrder,La carte ne peut pas être jointe à la commande.
MsgScrOrderEmailSent,E-mail envoyé
MsgScrOrderOrdersOutForDelivery,Commandes prêtes à être livrées
MsgScrOrderDolAmount,Montant $
MsgScrOrderStreet,Rue
MsgScrOrderOutTime,Heure de départ
MsgScrOrderDriverName,Nom du conducteur
MsgScrOrderChangeDriver,Changer de conducteur
MsgScrOrderASSIGNDRIVER,ASSIGNER UN CONDUCTEUR
MsgScrOrderOrdersAwaitingDelivery,Commandes en attente de livraison
MsgScrOrderCustomerName,Nom
MsgScrOrderZip,Code postal
MsgScrOrderTimeOrdered,Heure de la commande
MsgScrOrderSetAttributes,Définir les attributs
MsgScrOrderSetAutoGratuity,Définir le pourboire automatique
MsgScrOrderAutoGratuityOnOff,Pourboire automatique activé/désactivé:
MsgScrOrderSetGratuity,Définir le pourboire %:
MsgScrOrderHold,Suspendre
MsgScrOrderMore,Plus
MsgScrOrderStopped,Arrêté
MsgScrOrderOrderSummary,Résumé de la commande
MsgScrOrderSubtotal,Sous-total
MsgScrOrderDue,Date due
MsgScrOrderTotalDue,Montant total à payer:
MsgScrOrderBalance,Solde:
MsgScrOrderChange,Rendu monnaie:
MsgScrOrderSettings,Paramètres
MsgScrOrderBarcodeScanner,Scanner de code-barres
MsgScrOrderDeviceStatus,Statut du périphérique
MsgScrOrderExit,Quitter
MsgScrOrderEnterCallNamePlease,Veuillez saisir le nom d’appel.
MsgScrOrderNumber,Numéro:
MsgScrOrderName,Nom:
MsgScrOrderExp,Exp:
MsgScrOrderAuth,Auth N°:
MsgScrOrder1Station,1 terminal
MsgScrOrderCustomerNameOrder ,Commande et nom du client 
MsgScrOrderApplyDiscount,Appliquer la réduction
MsgScrOrderHelp,Aide
MsgScrOrderRemoveItems,Retirer des produits
MsgScrOrderThankYouApproved,Approuvé.\nMerci !
MsgScrOrderNotManagersPIN,Le code PIN saisi n’est pas le PIN administrateur ! Réesayez !
MsgScrOrderReceiptManager,Gestionnaire de reçu
MsgScrOrderSignHere,Signer ici
MsgScrOrderAgreementToPay,J’accepte de payer le montant total ci-dessus selon l’accord conclu avec l’émetteur de la carte.
MsgScrOrderHowToDeliveReceipt,Comment voulez-vous recevoir le reçu?
MsgScrOrderDoYouWantaReceipt,Voulez-vous un reçu?
MsgScrOrderTips,Pourboires
MsgScrOrderCannotAddOrderItem,Impossible de mettre la quantité à jour car le prix du produit a changé. Copiez le produit ou ajoutez-en un nouveau.
MsgScrOrderNoOpenOrders,Aucune commande ouverte retrouvée.
MsgScrOrderExchangedItems,Produits échangés:
MsgScrOrderSetTillBeforePerformAction,La caisse doit être définie avant la réalisation de\n l’action voulue.
MsgScrOrderSetTillContactManager,La caisse doit être définie.\nContactez votre responsable
MsgScrOrderSetCallNameBeforePerformAction,Un nom d’appel doit être ajouté avant la réalisation de\n l’action voulue.
MsgScrOrderSetCustomerBeforePerformAction,Un client doit être ajouté avant la réalisation de\n l’action voulue.
MsgScrOrderSetDiningBeforePerformAction,L’option de restauration doit être ajoutée avant la réalisation de\n l’action voulue.
MsgScrOrderSetSeatCountBeforePerformAction,Un nombre de places doit être défini avant la réalisation de\n l’action voulue.
MsgScrOrderSetSerialBeforePerformAction,Les produits de cette commande exigent des numéros de série avant de pouvoir accéder à l’écran de paiement. Veuillez ajouter des numéros de série ou sélectionner des produits pour la livraison locale.
MsgScrOrderProductCannotBe,%@ ne peut pas être %@.
MsgScrOrderProductCannotBeRemoveTheseProducts,%@ ne peut pas être %@. Retirer ces produits de la commande ?
MsgScrOrderProductCannotBeRemoveThisProduct,%@ ne peut pas être %@. Supprimer ce produit de la commande ?
MsgScrOrderDonationError,Erreur: Les dons ont été désactivés.\nVeuillez contacter votre responsable.
BtnPromptGoToTill,Aller à la Caisse
BtnPromptSelectCustomer,Sélectionner un\nclient
BtnPromptSelectCallName,Sélectionner un\nnom dappel
BtnPromptAddSerialNumber,Ajouter des numéros de série
BtnPromptChooseItemsForLocalDelivery,Sélectionner un/des produit(s) pour la livraison locale
MsgLibIndexWrongQrCode,Code QR non valide
MsgIndexError,Erreur Index
MsgLibStarPrinterError,Erreur de l’imprimante Star
MsgLibStarIpAddrNotConf,Adresse IP non configurée
MsgLibMagTekPortableCardSwipe,Lecteur de carte portable
MsgLibMagTekInitializing,Initialisation...
MsgLibMagTekAccessoryConn,Accessoire connecté
MsgLibMagTekDeviceConn,Périphérique connecté
MsgLibMagTekDeviceDisconn,Périphérique déconnecté
MsgLibMagTekMAGTEKERR,ERREUR MAGTEK
MsgLibMagTekFailedParseOfflData,Impossible d’analyser le processeur de données hors ligne.
MsgLibMagTekDeviceReady,Périphérique prêt
MsgLibMagTekDeviceNotOpened,Périphérique fermé
MsgLibMagTekDeviceNotConn,Périphérique non connecté
MsgLibMagTekOpenediDynamo,iDynamo ouvert
MsgLibMagTekOpeneduDynamo,UDynamo ouvert
MsgLibKitchenNetStartFailed,Échec de début de mise en réseau
MsgLibKitchenItemsAreNotSent,Les commandes suivantes n’ont pas été envoyées:\n
MsgLibKitchenItemsAreNotRemoved,Les commandes suivantes n’ont pas été retirées:\n
MsgLibKitchenFrom,de
MsgLibKitchenTo,à
MsgLibKitchenOrder,Cmd N°
MsgUtilsViewRedeemCode,Code d’échange
MsgUtilsViewEnterRedemptionCode,Saisir un code de remboursement
MsgUtilsViewPassword,Mot de passe
MsgUtilsViewEnterPassword,Saisir un mot de passe
MsgUtilsViewEnterAManagerPINToApprove,Saisir le code PIN du responsable pour autoriser.
MsgUtilsViewSwipeCardForLinkOrderToApprove,Merci d’utiliser la carte pour autoriser
MsgUtilsViewLinkCard,Associer la carte
MsgUtilsViewFindPreAuthCard,Rechercher des commandes liées
MsgUtilsViewCardSwipeIsNotSetUp,Le lecteur de carte n’est pas configuré pour ce terminal.
MsgUtilsViewSwipeCardForLinkOrder,Veuillez utiliser une carte.
MsgUtilsViewLinkedFindNotFound,Commande liée introuvable.
MsgUtilsViewLineNr,%s [Ligne %d] %@
MsgUtilsViewEatInOrder,Commande Sur place
MsgUtilsViewEatInInvoice,Facture Sur place
MsgUtilsViewEatIn,Sur place
MsgUtilsViewEatInWebOrder,Commande Web Sur place
MsgUtilsViewEatInWebInvoice,Facture Web Sur place
MsgUtilsViewToGoOrder,Commande À emporter
MsgUtilsViewToGoInvoice,Facture À emporter
MsgUtilsViewToGo,À emporter
MsgUtilsViewToGoWebOrder,Commande en ligne
MsgUtilsViewToGoWebInvoice,Facture Web À emporter
MsgUtilsViewRetailOrder,Commande Vente au détail
MsgUtilsViewRetailInvoice,Facture Vente au détail
MsgUtilsViewRetailWebOrder,Commande Web Vente au détail
MsgUtilsViewRetailWebInvoice,Facture Web Vente au détail
MsgUtilsViewDelivery,Livraison
MsgUtilsViewWebDelivery,Commande Web Livraison
MsgUtilsViewWebDeliveryInvoice,Facture Web Livraison
MsgUtilsViewCatering,Traiteur
MsgUtilsViewWebCatering,Commande web Traiteur
MsgUtilsViewWebCateringInvoice,Facture web Traiteur
MsgUtilsViewDriveThru,Drive Thru
MsgUtilsViewWebDriveThru,Commande web Drive Thru
MsgUtilsViewWebDriveThruInvoice,Facture Web Drive
MsgUtilsViewWebOrder,Commande en ligne
MsgUtilsViewWebInvoice,Facture web
MsgUtilsViewOther,Autres
MsgUtilsViewWebOther,Commande en ligne
MsgUtilsViewWebOtherInvoice,Autre Facture Web
MsgUtilsViewWebOnlineKitchen,En ligne 
MsgDOMTotalOutstanding,Total impayé
MsgDOMRate,Taux %@
MsgDOMExchangeTotal,Total échange
MsgDOMReceiptTotal,Reçu total
MsgDOMReceiptSumTotal,Reçu de la somme totale
MsgDOMRewardSummary,Résumé Fidélité
MsgDOMRewardCardNumber,Le numéro de la carte de fidélité
MsgDOMRedeemAuthNumber,Utiliser le numéro d’authentification
MsgDOMAuthNumber,Numéro d’authentification
MsgDOMCoupon,Coupon
MsgDOMCouponAmount,Montant du coupon
MsgDOMCouponUsed,Coupon utilisé
MsgDOMRewardUsed,Récompense utilisée
MsgDOMCustomerOwes,Dû par le client
MsgDOMAddAuthNumber,Ajouter un numéro d’authentification
MsgDOMPointsEarned,Points gagnés
MsgDOMTotalPoints,Total des points
MsgDOMCashEarned,Espèces gagnées
MsgDOMRewardBalance,Solde de récompenses
MsgDOMRewardCashBalance,Solde liquide de la récompense
MsgDOMTotalSaved,Total économisé
MsgDOMAdditionalPoints,%.2f points requis pour recevoir une récompense %@.
MsgDOMAdditionalVisits,%d visites requises pour recevoir une %@ récompense.
MsgDOMExchanged,[Échangé]
MsgDOMExchangedWithDate,[Échangé %@]
MsgDOMTOTALREFUNDED,TOTAL REMBOURSÉ
MsgDOMVOIDED,ANNULÉ
MsgDOMRETURNED,RETOURNÉ
MsgDOMCOMPS,GRATUITS
MsgDOMVOIDEDPAYMENTS,PAIEMENTS ANNULÉS
MsgDOMREFUNDEDPAYMENTS,PAIEMENTS REMBOURSÉS
MsgDOMVOIDEDTRANSACTION,TRANSACTION ANNULÉE
MsgDOMREFUNDEDTRANSACTION,TRANSACTION REMBOURSÉE
MsgDOMCourse,Plat
MsgDOMItemToGo,[Produit à emporter]
MsgDOMNO,NON
MsgDOMDeliveryDate,Date de livraison
MsgDOMWaitingfor,En attente de
MsgDOMUser,Utilisateur
MsgDOMPAYINRECEIPT,REÇU DU DÉPÔT
MsgDOMDrawerNumber,Numéro de tiroir
MsgDOMReason,Motif
MsgDOMPAYOUTRECEIPT,REÇU DU RETRAIT
MsgDOMFireCourse,Préparer le plat %d
MsgDOMGiftCard,Carte cadeau
MsgDOMCustPaid,Paiement du client
MsgDOMCustChange,Rendu monnaie du client
MsgDOMTrans,Trans
MsgDOMCard,Carte
MsgDOMCUTHERE,COUPER ICI
MsgDOMTotalOutst,Total impayé
MsgDOMREFUNDED,REMBOURSÉ
MsgDOMBREAKDOWN,RÉPARTITION
MsgDOMCouldntBeAuth,sur la commande %@ n’a pas été autorisé pour le montant total.
MsgDOMCollectedSomeCouldnt,%.2f a été récupéré.%.2f n’a pas pu être récupéré.
MsgDOMCaptureStatus,Statut de la capture
MsgDOMTRAININGMODE,MODE FORMATION
MsgREPRINT,RÉIMPRIMER
MsgCouponsError,Erreur
MsgCouponInvalidCoupon,Coupon non valide
MsgCouponScanCoupon,Scanner le coupon
MsgCouponCampaignDateError,Erreur de la date de début (fin) pour un Bon
MsgApplyCoupon,Appliquer un Bon
MsgApplyCouponPRNotAllowed,Bon PR nest pas disponible ici
MsgInventoryInventory,Inventaire
MsgInventoryInventoryManagement,Gestion de l’inventaire
MsgInventoryManageInventory,Gérer linventaire
MsgInventoryItemNameInventory,%@ inventaire
MsgInventorySReceived,%.2f %@ reçus.
MsgInventoryQuantityUnits,%.2f %@
MsgInventoryProducts,PRODUITS
MsgInventoryPOs,BC
MsgInventoryPO's,Bons de commande
MsgInventoryManagePOs,Gérer les BC
MsgInventoryCancel,Annuler
MsgInventoryScanBarcode,Scanner le code-barres
MsgInventoryPressScanButton,Appuyez sur le bouton Scan.
MsgInventoryFetchingInventoryInformation,Récupération des informations de l’inventaire...
MsgInventoryFetchingInventoryInformationForDefaultItems,Récupération des informations de l’inventaire pour des produits clé...
MsgInventoryUpdatingInventoryInformation,Mise à jour des informations de l’inventaire...
MsgInventoryStartingInventoryIsNow,Inventaire de départ est maintenant %.2f.
MsgInventoryCurrentInventory:,Inventaire actuel:
MsgInventoryCurrentInventoryIs,"Inventaire actuel est \""%.2f\"""
MsgInventoryCurrentInventoryis,"Inventaire actuel est \""%.2f\""\n Inventaire réel est \""%.2f\"" \n Écart perte est \""%.2f\"" \n Perte est \""%0.2f%%\"""
MsgInventoryProductWithEnteredBarcodeWasNotFound,Aucun produit correspondant au code-barres trouvé.
MsgInventoryProduct,Produit
MsgInventoryPOID#,N° ID du BC
MsgInventorySelect,Sélectionner
MsgInventoryEnterPOID#,Saisir le n° ID du BC
MsgInventoryEnterBarcode,Saisir le code-barres
MsgInventoryTouchToSelectaPurchaseOrder,Toucher pour sélectionner un bon de commande
MsgInventorySelectaPurchaseOrder,Sélectionner un bon de commande
MsgInventoryTouchToSelect,Toucher pour sélectionner
MsgInventorySearch,Rechercher
MsgInventorySubmit,Soumettre
MsgInventoryPurchaseOrderSearch,Recherche par bon de commande
MsgInventoryProductSearch,Recherche par produit
MsgInventoryNoMathesFound,Aucune correspondance trouvée.
MsgInventoryInventoryUpdated,Inventaire mis à jour
MsgInventoryNothingUpdated,Rien n’a été mis à jour.
MsgInventoryInvUnitsAdded,Nbr d’unités d’inventaire\najoutées
MsgInventoryAdded,Ajouté
MsgInventoryCurrentInventory,Inventaire\nactuel
MsgInventoryPOID,N° du BC
MsgInventoryPOIDNumber,N° %d du BC
MsgInventoryPOsIncluding,BC y compris : %@
MsgInventoryPurchaseOrderID,N° ID du bon de commande
MsgInventoryVendorName,Nom du fournisseur
MsgInventoryVendorInvoiceNumber,N° de la Facture du fournisseur
MsgInventoryDate,Date
MsgInventoryItem,Produit
MsgInventoryCountDuplicates,"%ld en double retrouvés, ils seront enlevés avant submission"
MsgInventoryCurrent,Actuel
MsgInventoryReceive,Recevoir
MsgInventoryActual,Réel
MsgInventoryWaste,Perte
MsgInventoryDamage,Dommage
MsgInventoryName,Nom
MsgInventoryQuantity,Quantité
MsgInventoryQty,Qté
MsgInventoryUnit,Unité
MsgInventoryClosed,Fermé
MsgInventoryRec,Enregistrement
MsgInventoryProductResultList,Liste de résultats de produit
MsgInventorySelectProductOrIngredient,Sélectionner le produit ou l’ingrédient
MsgInventoryPleaseSelectUnit,Veuillez sélectionner une unité
MsgInventoryPleaseSelectReason,Veuillez sélectionner une unité
MsgInventoryMoreDetails,Détails de la commande
MsgInventoryIngredient,Ingrédient
MsgInventoryObtainingPurchaseOrder,Obtention du bon de commande...
MsgInventoryObtainingPurchaseOrders,Obtention des bons de commande...
MsgInventoryUpdateReceivedInfo,Mise à jour des informations reçues...
MsgInventoryErrorOccurredFetchFailed,Impossible de récupérer l’inventaire !
MsgInventoryErrorOccurredInternet,Une erreur s’est produite. Veuillez vérifier votre connexion Internet !
MsgInventoryEnterAmount,Saisir le montant
MsgInventoryPriorInventory,Inventaire précédent (%@)
MsgInventoryActualInventory,Inventaire réel (%@)
MsgInventoryVariance,Écart (%@)
MsgInventoryVariancePerc,Écart (%%)
MsgInventoryReason,Motif
MsgInventoryEnterReason,Saisir le motif
MsgInventoryEnterCostPerUnit,Coût unitaire
MsgInventoryNone,Aucun
MsgInventoryUpdate,Mettre à jour
MsgInventoryUpdatePrice,Serveur
MsgInventoryUpdateCost,Mettre à jour le coût
MsgInventoryAdjustCost,Ajustement\ndu montant
MsgInventoryPriceUpdated,Prix mis à jour
MsgInventoryCostUpdated,Coût mis à jour
MsgInventoryNewPrice,Nouveau prix: %@
BtnShowResultsPrinterDetails,Imprimer les détails
BtnShowResultsPrinterSummary,Imprimer le résumé
MsgInventoryCurrentPrice,Prix actuel: %@
MsgInventoryCurrentCost,Coût actuel: %@
MsgInventoryNewCost,Nouveau coût: %@
MsgInventoryCurrent:,Actuel: %@%@
MsgInventoryCurrentQuantityUnits,Actuel: %.2f %@s
MsgInventoryThePriceOf,Le prix de %@ est passé à %@. Actualisez les autres terminaux pour propager le changement.
MsgInventoryTheCostOf,Le coût de %@ est passé à %@. Actualisez les autres terminaux pour propager le changement.
MsgInventoryPrice,Prix
MsgInventoryCost,Coût
MsgInventoryPleaseSpecifyReason,Spécifiez le motif.
MsgInventoryPleaseCorrectQuantity,Précisez la quantité exacte.
MsgInventoryNA,N/A
MsgInventoryEnterSerialNumber,Saisir les N/S\n(séparés par une nouvelle ligne)
MsgInventoryStatus,Statut
MsgInventoryFilterBySerialNumber,Filtrer par numéro de série
MsgInventorySerialNumber,Numéro de série
MsgInventorySerialNumbers,Numéro(s) de série
MsgInventoryFetchingSerialNumbers,Récupération de(s) numéro(s) de série...
MsgInventoryInStock,En stock
MsgInventorySold,Vendu
MsgInventoryWastage,Perte
MsgInventoryEnsureThisValue,"La valeur du coût doit être supérieure à 0,0001!"
MsgInventoryQuantityAndNumber,La quantité de l’inventaire et le N/S ne correspondent pas.
MsgInventorySerialNumberAlreadyExists,Le numéro de série existe déjà.
MsgInventorySynchronize,Synchroniser
MsgInventoryScannedItemCannotBeAdded,Le produit n'a pas été trouvé et ne peut pas être ajouté à la commande déjà payée. 
MsgInventoryResultUnmatched,Incomparables
MsgInventoryResultShrinkage,Freinte
MsgInventoryResultMatched,Comparables
MsgActualSerialResultsList,Liste de résultats réels en série
MsgInventoryResultReceive,Recevoir?
MsgInventoryResultReceiveAll,Recevoir Tout?
MsgInventoryResultWaste,Perte?
MsgInventoryResultWasteAll,Tout dans Perte?
MsgInventoryReadyForScanOrInput,Prêt pour scanner ou saisir manuellement
MsgInventoryEnteredSerialNumber,n° de série entré
MsgInventoryNoSelectingItems %@,Vous n’avez choisi aucun %@ produit. Continuer quand même?
MsgInventoryInputReason,Raison d’entrée
MsgInventoryReceivedSerialNumbers,Reçus
MsgInventoryWastedSerialNumbers,Perte
MsgInventoryMatchedSerialNumbers,Comparables
MsgInventoryCheckingInventory,Vérification de l’inventaire...
MsgInventorySerialNumberIs,avec le numéro de série
MsgInventorySerialNumberSold,marqué comme vendu
MsgInventorySerialNumberWastedV2,marqué comme Perte
MsgInventorySerialNumberNotMatches,n’existe pas dans linventaire
MsgPunchhLoadConfigurationError,Erreur de téléchargement de configuration
MsgPunchhUserInfo,Information de l’utilisateur Punchh
MsgPunchhCreateUserInfo,Créer un utilisateur Punchh
MsgPunchhEnterUserInfo,Saisir l’information de l’utilisateur Punchh
MsgPunchhEnterPhoneEmailError,Vous devriez saisir email ou téléphone
MsgPunchhLookupByPhoneOrEmailError,"Recherche par critères multiples n’est pas soutenue.\nMerci d’en utiliser un, téléphone/email/carte"
MsgPunchhFirstLastNameError,Vous devriez saisir le prénom ou le nom
MsgPunchhCustomerPhoneEmailError,Le client n’a ni téléphone ni email
MsgPunchhCustomerLookup,Recherche de l’utilisateur Punchh…
MsgPunchhUserCreate,Créer un utilisateur Punchh
MsgPunchhLoadingUserRedemption,Récupération de l’information de déduction…
MsgPunchhRedemptionCode,Code de déduction
MsgPunchhEnterRedemptionCode,Saisir un code de remboursement
MsgPunchhRedemptionCodeError,Vous devriez saisir le code numérique de déduction
MsgPunchhApplyRedemption,Application de la réduction…
MsgPunchhSuccessfullyRedeemed,Déduit avec succès
MsgPunchhPoints,Points Punchh
MsgPunchhNoRedeemableRewards,Utilisateur %@ %@ n’a pas de récompense pour déduction
MsgPunchhCheckInUser,Vérification du client…
MsgPunchhSendingOrder,Détails du reçu en cours d’envoie…
MsgPunchhSendingOrderError,Échec d’envoie de reçu…
MsgPunchhSendingOrderSuccess,Reçu envoyé avec succès
MsgPunchhBankedRewards,Gérer les récompenses
MsgPunchhUnredeemCards,Utiliser les récompenses
MsgPunchhUserManage,Gérer l’utilisateur Punchh
MsgPunchhNoRedeemableRewardsYes,Utilisateur n’a pas de récompenses à déduire
MsgPunchhUsers,Utilisateur de Punchh fidélité
MsgPunchhReceipts,Reçus Punchh
MsgPunchhCreateError,Impossible de créer l’utilisateur Punchh\n.Erreur inconnue.
MsgPunchhSelectItemError,Veuillez sélectionner
MsgPunchhRewardsAvailableCaption,Récompenses disponibles
MsgPunchhSwipeOrScanTitle,Scanner ou utiliser la carte de fidélité
MsgPunchhReaderOrScannerWaiting,Scanner ou utiliser la carte de fidélité
MsgPunchhCaptionPoints,Solde des points
MsgPunchhRedeemCard,Utiliser la récompense
MsgPucnhhBankedRewardsPointsEarnedMessage,Vous avez une réservation.
