LocaleIdentifier,IT
MsgScrSettingsLoading3Dots,Caricamento…
MsgScrSettingsLockedPreauthorization,Preautorizzazione bloccata
MsgScrSettingsToBeCaptured,Da acquisire
MsgScrSettingsNotAccepted,Non accettato! Contatta il processore di pagamento per poter acquisire manualmente.
MsgScrSettingsExccedAmount,Non è consentito acquisire più di %@!
MsgScrSettingsConfirmation,Confermazione
MsgScrSettingsDeletePaymentFromBatch,Elimina il pagamento dal batch.
MsgScrSettingsLastStatus,Ultimo stato:
MsgScrSettingsTipOVER25,La mancia supera 25%!
MsgScrSettingsTotal,Totale:
MsgScrSettingsTip,Mancia:
MsgScrSettingsDisplayUnitSett,Impostazioni schermo cliente
MsgScrSettingsDisplayUnitWelcomeMess,Messaggio di benvenuto:
MsgScrSettingsCustomWelcomeMess,Messaggio personalizzato:
MsgScrSettingsWelcome2ManagerSett,Benvenuto alle impostazioni gestore
MsgScrSettingsEstablishment,Punto vendita
MsgScrSettingsPOSID,POS ID
MsgScrSettingsAdvanced,Avanzato
MsgScrSettingsAdvancedEmployeeLock,Permetti ai dipendenti di bloccare iPad
MsgScrSettingsEnableCashRegisterMode,Abilita modalità registratore di cassa
MsgScrSettingsEnableTroubleshootMode,Attiva modalità risoluzione problemi
MsgScrSettingsRecentLog,Registro di pagamento
MsgScrSettingsUploadToServer,Carica i registri sul server
MsgScrSettingsUploadLogs,Carica i registri sul server
MsgScrSettingsLastUploadDateLessMinuteAgo,Ultima ora di caricamento: meno di 1 minuto fà
MsgScrSettingsLastUploadDateMinutesAgo,Ultima ora di caricamento: %d minuto(i) fà
MsgScrSettingsLastUploadDate,Ultima ora di caricamento: %@
MsgScrSettingsTroubleshootModeLogs,I registri di modalità risoluzione problemi
MsgScrSettingsCustomMenus,Impostazioni del menu personalizzato
MsgScrSettingsShowCustomMenus,Visualizza menu personalizzato
MsgScrSettingsCustomMenu,Menu personalizzato
MsgScrSettingsManualMenu,Menu manuale
MsgPopupIdleTimerTitle,Nessuna attività
MsgPopupIdleTimerMessage,Sei ancora lì?
MsgPopupStartOverTitle,Ricomincia
MsgPopupStartOverConfirmation,Sei sicuro?
MsgPopupTransactionFailedMessage,Premi il pulsante “Indietro” per riprovare o “Manuale” per inserire le informazioni della carta manualmente.
MsgPopupCashInformationIncompleteTitle,Informazione incompleta.
MsgPopupCashInformationIncompleteMessage,Inserisci il tuo nome e premi sul pulsante “Avanti”.
MsgPopupEmailAddressIsNotValidTitle,Indirizzo e-mail non valido.
MsgPopupEmailAddressIsNotValidMessage,Verifica il tuo indirizzo e-mail e riprova.
MsgPriceFree,Gratuito
MsgCustomize,Personalizza
MsgPopupRequireGroupTitle,Selezione incompleta
MsgPopupRequireGroupMessage,Seleziona un %@
BtnEditSpecialInstructions,Modifica istruzioni speciali
BtnAddSpecialInstructions,Aggiungi istruzioni speciali
MsgSubCategoryAll,Tutto
MsgBagItemName,Sacchetto
MsgProductInformation,%@ Informazioni
MsgKioskSearchOrderMenu,Cerca nel menu
MsgPopupGiftCardIncorrectTitle,Numero di carta regalo non valido
MsgPopupGiftCardIncorrectMessage,Numero di carta regalo inserito non è valido.
MsgProductAttributesSelect,Seleziona %@
MsgProductAttributesSelectAttrForProd,Seleziona %@ e %@ per %@
MsgProductAttributesSelectOneAttrForProd,Seleziona %@ per %@
MsgCallNamePressBackTextOrderScreen,o premi “Indietro” per tornare alla schermata dell’ordine.
MsgCallNamePressBackTextPaymentOptions,o premi “Indietro” per tornare alle opzioni di pagamento.
MsgCallNameSkipGiftCardActivationText,o premi “Continua” per saltare l’attivazione della carta.
MsgModWindowPleasePickMod,Scegli un %@.
MsgScrOrderKioskMyOrder,Il mio ordine
MsgScrOrderKioskDeleteItem,Annulla
MsgScrOrderKioskTitleWelcomeTo,Benvenuti a
MsgScrOrderKioskTitleTouchScreenToBegin,Per iniziare tocca lo schermo
MsgScrCheckoutKioskTitleCheckoutAndPayment,Check-out e pagamento
MsgScrCheckoutKioskTitleCheckout,Check-out
MsgScrCheckoutKioskReviewOrder,Revisioni l’ordine
MsgScrCheckoutKioskHaveDiscountCode,Hai un codice sconto?
MsgScrCheckoutKioskNeedBag,Ho bisogno di un sacchetto.
MsgScrCheckoutKioskDontNeedBag,Non ho bisogno di un sacchetto.
MsgScrCheckoutKioskPrepareOptionHere,Qui
MsgScrCheckoutKioskPrepareOrderFor,Prepara quest’ordine per...
MsgScrCheckoutKioskBalanceDueIs,Il tuo saldo dovuto è di
MsgScrCheckoutKioskHowToPay,Come desideri effettuare il pagamento?
MsgScrCheckoutKioskPleaseSwipeCard,Striscia la carta.
MsgScrCheckoutKioskWouldLikeToAddTip,Desideri inserire la mancia?
MsgScrCheckoutKioskEnterTipAmount,Inserisci l’importo della mancia:
MsgScrCheckoutKioskOrChooseFromOptionsBelow,o scegli tra le seguenti opzioni.
MsgScrCheckoutKioskThankYouOrderPlaced,Grazie! L’ordine è stato inserito.
MsgScrCheckoutKioskCallName,Nome di chiamata:
MsgScrCheckoutKioskAmountCharged,Importo addebitato:
MsgScrCheckoutKioskOrderTotal,Totale ordine:
MsgScrCheckoutKioskSignBelow,Inserisci i dati
MsgScrCheckoutKioskEnterEmail,Inserisci l’indirizzo e-mail
MsgScrCheckoutKioskEmailTitle,E-mail:
MsgScrCheckoutKioskEnterEmailHere,Inserisci e-mail qui
MsgScrCheckoutKioskPurchaseDoneThankYouNote,Operazione completata! Grazie per aver effettuato l’ordine da noi.
MsgScrCheckoutKioskReceiptSentTo,Una ricevuta è stata inviata a...
MsgScrCheckoutKioskSwipeGiftCard,Striscia carta regalo o inseriscila manualmente.
MsgScrCheckoutKioskManualGiftCard,Inserisci carta regalo manualmente.
MsgScrCheckoutKioskGiftCardNo,Carta regalo numero:
MsgScrCheckoutKioskEnterGiftCardNo,Inserisci numero carta regalo
MsgScrCheckoutKioskScanQRToPayWith,Scannerizza il codice QR su telefonino per pagare con
MsgScrCheckoutKioskOpenPayPalSearchForOurStore,Apri l’applicazione di PayPal e cerca il nostro negozio.
MsgScrCheckoutKioskSwipeSliderRight,Trascina lo slider verso destra.
MsgScrCheckoutKioskScanQRWithScanner,Scansiona il codice QR.
MsgScrCheckoutKioskEnterCallName,Inserisci nome di chiamata.
MsgScrCheckoutKioskEnterCallNameHere,Inserisci nome di chiamata qui.
MsgScrCheckoutKioskProceedToPaymentStation,Procedi al terminale di pagamento.
MsgScrCheckoutKioskToCompleteOrder,per completare l’ordine.
MsgScrCheckoutKioskCallNumber,Numero di chiamata:
MsgScrModifiersKioskHowMany,Quantità?
MsgScrModifiersNoModifiersForProduct,Non ci sono modificatori per questo prodotto
MsgScrModifiersBasePrice,Prezzo base:
BtnModifiersSubPrice,Prezzo sub.
MsgScrModifiersExtras,Extra:
MsgScrModifiersPriceWithExtras,Prezzo con extra:
MsgScrModifiersCustomized,Personalizzato:
MsgScrModifiersSelectedModifiers,Modificatori selezionati
MsgScrModifiersTouchToJumpToCategory,Premi per scegliere cattegoria
MsgScrMatrixPriceColon,Prezzo:
MsgScrMatrixSelectAttribute,Seleziona (attributo)
BtnLanguage,Lingua
MsgSelectLanguage,Seleziona lingua
MsgSelectWhereReceiptSent,Seleziona prodotto o ingrediente
MsgSelectYourEmailTitle,Seleziona un cassetto
MsgScrSettingsAmount,Importo:
MsgScrSettingsAmount2,Importo
MsgScrSettingsEnterTransaction,Inserisci numero operazione
MsgScrSettingsManTransaction,Transazione n.
MsgScrSettingsCreditApproved,Credito approvato
MsgScrSettingsCreditNotApproved,Credito non approvato
MsgScrSettingsUnexpectedPaymentProcessor,Processore di pagamento improvviso. Controlla le impostazioni del backend.
MsgScrSettingsProcessingCredit,Elaborazione di carta credito
MsgScrSettingsCreditAmountMustBeGreaterThan0,Importo deve essere superiore a zero.
MsgScrSettingsTransactionNotCaptured,Transazione non acquisita
MsgScrSettingsNoTransactionNumberFound,Numero di transazione non trovato
MsgScrSettingsPleaseEnterTransactionNumber,Inserisci un numero di transazione.
MsgScrSettingsEnterAmountToCredit,Inserisci importo a credito:
MsgScrSettingsRefundTips,Rimborso mance
MsgScrSettingsDeleteLocks,Elimina i blocchi
MsgScrSettingsSelectUserLockPOS,Seleziona un utente per bloccare il POS:
MsgScrSettingsDeleteAllLocksPOS,Questo cancellerà tutti i blocchi dal POS. Procedi?
MsgScrSettingsOwnersAndManagersCanLog,I proprietari ed i manager possono sempre accedere e non verranno elencati qui. \nI cuochi non possono accedere e non verranno elencati qui. \nVengono supportati multipli blocchi utente.
MsgScrSettingsPINRole,"PIN: %@, ruolo:"
MsgScrSettingsFailedDeleteUserLocks,Impossibile eliminare i blocchi utente
MsgScrSettingsEnterPassword,Inserisci parola chiave:
MsgScrSettingsTableFiltering,Filteraggio di tabella
MsgScrSettingsCheckNetwork2,Controlla rete:
MsgScrSettingsDoNotPrintPinPadReceipts,Non stampare le ricevute da PinPad
MsgScrSettingsDateTouchEmployee,Seleziona data ed il nome d'impiegato da stampare.
MsgScrSettingsTillNotSet,Contante cassa iniziale non è stato impostato. Pagamenti ammessi dalle ore 3:00
MsgScrSettingsNoCashWithdraw,Contante non deve essere ritirato dalla cassa
MsgScrSettingsBankDropManager,Ricavo a depositare in banca
MsgScrSettingsAmountTills,Importo nelle casse
MsgScrSettingsEnterAmount,Inserisci importo
MsgScrSettingsPrintEmptySafeDrop,Stampa deposito sicuro vuoto
MsgScrSettingsOpenCashDrawer,Apri cassetto
MsgScrSettingsQuestQT720PinPad,Quest QT720 PinPad
MsgScrSettingsPinPadSerialNumber,Numero di serie del PinPad:
MsgScrSettingsPinPadKernelName,Nome di kernel del PinPad:
MsgScrSettingsPinPadKernelVersion,Versione di kernel del PinPad:
MsgScrSettingsSerialboxStatus,Stato addattatore seriale:
MsgScrSettingsCloudID,ID del cloud:
MsgScrSettingsDebugLog,Registro di debug
MsgScrSettingsConnected,Collegato
MsgScrSettingsFailedConnect,Impossibile connettersi
MsgScrSettingsNotConnected,Non collegato
MsgScrSettingsPinPadconnectionTimeout,Connessione PinPad scaduta
MsgScrSettingsPinPadconnectionFailed,Connessione con PinPad non riuscita
MsgScrSettingsPinPadGotNegativeAckFromPinPad,Risposta negativa da PinPad
MsgScrSettingsGettingPinPadInfo,Ottieni informazioni di PinPad
MsgScrSettingsLookPinPad,Esplora il PinPad
MsgScrSettingsForce,Forzare
MsgScrSettingsPaymentsProcessing,Elaborazione pagamenti
MsgScrSettingsStillOffline,Ancora non in linea. Controlla la connessione di rete.
MsgScrSettingsCashDrawerManagement,Gestione cassetto
MsgScrSettingsSetCashDrawer,Imposta importo del cassetto
MsgScrSettingsPushNotifications,Notifiche forzate
MsgScrSettingsOfflineCreditCardProcessingStart,Inizia elaborazione off-line delle carte di credito
MsgScrSettingsOfflineCreditCardProcessingStop,Ferma elaborazione off-line delle carte di credito
MsgScrSettingsPaymentsSettings,Pagamenti
MsgScrSettingsDisplayUnitSettings,Impostazioni schermo cliente
MsgScrSettingsDisplayUnitSettingsTitle,Messaggio di benvenuto dello schermo cliente
MsgScrSettingsDisplayUnitSettingsEnterCustom,Inserisci messaggio personalizzato
MsgScrSettingsDisplayUnitSettingsCustomTitle,Inserisci messaggio personalizzato
MsgScrSettingsNetworkSyncFailureDetails,Detagli consegna
MsgScrSettingsNetworkSyncFailureDescription,Descrizione
MsgScrSettingsFailedLogout,Disconnessione non riuscita
MsgScrSettingsOrderIsStillOpen,L’ordine n.%@ è ancora aperto. Chiudi l’ordine prima di eseguire il logout.
MsgScrSettingsClockInClockOut2,Registrazione in entrata/uscita
MsgScrSettingsDoYouWantToClokInOrOut,Desideri effettuare la registrazione in entrata/uscita?
MsgScrSettingsManager,Manager
MsgScrSettingsSalesSummary,Riepilogo vendita
MsgScrSettingsPrinters,Stampanti
MsgScrSettingsTaxFree,Essente da IVA
MsgScrSettingsTimeSchedule,Orario
MsgScrSettingsRewardCards,Carte fedeltà
MsgScrSettingsDeclareTips,Dichiara mance
MsgScrSettingsTipsProcessing,Elaborazione mance
MsgScrSettingsUpdateRPI,Aggiorna RPI
MsgScrSettingsShowRPIDevices,Mostra dispositivi RPI
MsgScrSettingsStanfordCards,Carte Stanford
MsgScrSettingsWetstockManagement,Gestione Wetstock
MsgScrSettingsTipManagement,Gestione mance
MsgScrSettingsStatusPage,Stato ITL
MsgScreenAllOrdersAreSentServer,Tutti ordini vengono inviati al server.
MsgScreenAllPaymentsAreSentPaymentProcessor,Tutti pagamenti vengono inviati al processore di pagamento.
MsgScreen1OrderStillNotSentServer,Un ordine non è stato ancora inviato al server.
MsgScreen1PaymentStillNotSentPaymentProcessor,Un pagamento non è stato ancora inviato al processore di pagamento.
MsgScreenFewOrderStillNotSentServer,%d ordini non sono stati ancora inviati al server
MsgScreenFewOrdersFailedSentServer,Impossibile inviare %d ordini al server.
MsgScreen1OrderFailedSentServer,Impossibile inviare 1 ordine al server.
MsgScreenFewPaymentStillNotSentPaymentProcessor,%d pagamenti non sono stati ancora inviati al processore di pagamento.
MsgScreenVersionInformation,Info sulla versione
MsgScreenVersionEstabStation,Versione: %@-%@\nID punto vendita: %d\nNome stazione: %@\n ID dispositivo %@\n URL: %@
MsgScreenVersionEstablishmentStation,Versione: %@\nID del punto vendita: %d\nNome stazione: %@\nID dispositivo: %@\n URL: %@
MsgScreenCertificate,NTEP CC n.13-014
MsgScrPinWarningPosDisabledNoPaymentMessage,"Il terminale POS non è attivo. Carta di credito è stata rifiutata, inserisci una nuova carta di credito nel sistema o contatta assistenza clienti."
MsgScrPinWarningPosWillBeDisabledWarning,Hai a disposizione %i ore prima che questo terminale venga disabilitato. È necessario effettuare il pagamento con una nuova carta di credito
MsgScreenProductsAreLoaded,%d di %d prodotti non sono caricati
MsgScreenAllOfferTransactionsAreSentServer,Tutte le transazioni offerte sono mandate sul server.
MsgScreen1OfferTransactionStillNotSentServer,1 transazione offerta non è ancora mandata sul server.
MsgScreenFewOfferTransactionsStillNotSentServer,%d delle transazioni offerte non sono ancora mandate sul server.
MsgScrOrderSelect,Seleziona
MsgScrOrderTitle,Titolo
MsgScrOrderInformation,Info
MsgScrOrderOrderIsOpen,L’ordine è aperto su %@. Chiudilo per poter modificarlo.
MsgScrOrderProductName,Nome del prodotto
MsgScrOrderSeat3,Posto 3
MsgScrOrderCourse1,Portata 1
MsgScrOrderMainMenu,Menu principale
MsgScrOrderOrderOverview,Riepilogo ordine
MsgScrOrderOrder,Numero ordine
MsgScrOrderYourBalanceIs,Saldo
MsgScrOrderSelectHotspotDuration,Seleziona durata per punto d’accesso
MsgScrOrderHotspotError,Errore punto d’accesso
MsgScrOrderFailedGetCodeHotspot,Impossibile ottenere il codice dal punto d’accesso
MsgScrOrderCardAttachedOrder,Carta allegata all’ordine
MsgScrOrderCardCantAttachedOrder,La carta non può essere allegata all’ordine
MsgScrOrderEmailSent,E-mail inviata
MsgScrOrderOrdersOutForDelivery,Ordini per la consegna
MsgScrOrderDolAmount,Importo in €
MsgScrOrderStreet,Via
MsgScrOrderOutTime,Tempo per consegna
MsgScrOrderDriverName,Nome autista
MsgScrOrderChangeDriver,Modifica nome autista
MsgScrOrderASSIGNDRIVER,ASSEGNA L'AUTISTA
MsgScrOrderOrdersAwaitingDelivery,Ordini in attesa di consegna
MsgScrOrderCustomerName,Nome
MsgScrOrderZip,CAP
MsgScrOrderTimeOrdered,Tempo dell'ordine
MsgScrOrderSetAttributes,Imposta attributi
MsgScrOrderSetAutoGratuity,Imposta costo aggiuntivo automatico
MsgScrOrderAutoGratuityOnOff,Costo servizio aggiuntivo automatico attivato/disattivato:
MsgScrOrderSetGratuity,Imposta costo servizio aggiuntivo %:
MsgScrOrderHold,Sospeso
MsgScrOrderMore,Più
MsgScrOrderStopped,Fermato
MsgScrOrderOrderSummary,Riepilogo ordine
MsgScrOrderSubtotal,Subtotale
MsgScrOrderDue,Dovuto
MsgScrOrderTotalDue,Totale dovuto:
MsgScrOrderBalance,Saldo:
MsgScrOrderChange,Modifica:
MsgScrOrderSettings,Impostazioni
MsgScrOrderBarcodeScanner,Scanner del barcode
MsgScrOrderDeviceStatus,Stato dispositivo
MsgScrOrderExit,Esci
MsgScrOrderEnterCallNamePlease,Inserisci nome di chiamata
MsgScrOrderNumber,Numero:
MsgScrOrderName,Nome:
MsgScrOrderExp,Scadenza:
MsgScrOrderAuth,Autorizzazione:
MsgScrOrder1Station,1 stazione
MsgScrOrderCustomerNameOrder ,Nome ed ordine del cliente 
MsgScrOrderApplyDiscount,Applica sconto
MsgScrOrderHelp,Guida
MsgScrOrderRemoveItems,Rimuovi articoli
MsgScrOrderThankYouApproved,Approvato. \nGrazie!
MsgScrOrderNotManagersPIN,PIN inserito non è un PIN amministratore! Riprova!
MsgScrOrderReceiptManager,Ricevuta Manager
MsgScrOrderSignHere,Registrati qui
MsgScrOrderAgreementToPay,"Accetto di pagare l'importo totale di cui sopra, secondo l’accordo dell’emittente della carta"
MsgScrOrderHowToDeliveReceipt,Con quale modalità vuoi ricevere la ricevuta?
MsgScrOrderDoYouWantaReceipt,Desideri stampare ricevuta?
MsgScrOrderTips,Mance
MsgScrOrderCannotAddOrderItem,Non è possibile aggiornare la quantità dell’articolo perchè il prezzo è stato modificato. Copia l'elemento o aggiungi uno nuovo.
MsgScrOrderNoOpenOrders,Nessun ordine aperto trovato
MsgScrOrderExchangedItems,Elementi scambiati:
MsgScrOrderSetTillBeforePerformAction,Prima di eseguire l’operazione desiderata\nè necessario impostare l’importo nella cassa.
MsgScrOrderSetTillContactManager,Cassa deve essere impostata.\nSi prega di contattare il responsabile
MsgScrOrderSetCallNameBeforePerformAction,Prima di eseguire l’operazione desiderata\nè necessario aggiungere un nome di chiamata.
MsgScrOrderSetCustomerBeforePerformAction,Prima di eseguire l’operazione desiderata\nè necessario aggiungere un cliente.
MsgScrOrderSetDiningBeforePerformAction,Prima i\n di eseguire l’operazione desiderata è necessario aggiungere un opzione di ristorazione.
MsgScrOrderSetSeatCountBeforePerformAction,Prima i\n di eseguire l’operazione desiderata è necessario impostare il conteggio posti.
MsgScrOrderSetSerialBeforePerformAction,L’elemento(i) in questo ordine richiede numeri di serie prima di passare alla schermata pagamento. Aggiungi numeri di serie o seleziona articoli per la consegna locale.
MsgScrOrderProductCannotBe,%@ impossibile %@.
MsgScrOrderProductCannotBeRemoveTheseProducts,%@ impossibile %@. Rimuovere questi prodotti dall’ordine?
MsgScrOrderProductCannotBeRemoveThisProduct,%@ impossibile %@. Rimuovere questo prodotto dall’ordine?
MsgScrOrderDonationError,Errore: Le donazioni sono state disabilitate. \nContatta il tuo responsabile..
BtnPromptGoToTill,Vai alla cassa
BtnPromptSelectCustomer,Seleziona un\ncliente
BtnPromptSelectCallName,Seleziona un\nnome di chiamata
BtnPromptAddSerialNumber,Aggiungi numeri di serie
BtnPromptChooseItemsForLocalDelivery,Scegli articolo(i) per la consegna locale
MsgLibIndexWrongQrCode,Codice QR errato
MsgIndexError,Errore indice
MsgLibStarPrinterError,Errore stampante Star
MsgLibStarIpAddrNotConf,Indirizzo IP non configurato
MsgLibMagTekPortableCardSwipe,Lettore di carte portatile
MsgLibMagTekInitializing,Inizializzazione...
MsgLibMagTekAccessoryConn,Accessorio collegato
MsgLibMagTekDeviceConn,Dispositivo collegato
MsgLibMagTekDeviceDisconn,Dispositivo scollegato
MsgLibMagTekMAGTEKERR,ERRORE MAGTEK
MsgLibMagTekFailedParseOfflData,Impossibile analizzare i dati processore off-line.
MsgLibMagTekDeviceReady,Dispositivo pronto
MsgLibMagTekDeviceNotOpened,Dispositivo non aperto
MsgLibMagTekDeviceNotConn,Dispositivo non collegato
MsgLibMagTekOpenediDynamo,iDynamo aperto
MsgLibMagTekOpeneduDynamo,uDynamo aperto
MsgLibKitchenNetStartFailed,Avvio di rete non riuscito
MsgLibKitchenItemsAreNotSent,I seguenti ordini non sono inviati:\n
MsgLibKitchenItemsAreNotRemoved,I seguenti ordini non sono spostati:\n
MsgLibKitchenFrom,da
MsgLibKitchenTo,a
MsgLibKitchenOrder,Numero ordine
MsgUtilsViewRedeemCode,Riscatta codice
MsgUtilsViewEnterRedemptionCode,Inserisci il codice di riscatto
MsgUtilsViewPassword,Parola chiave
MsgUtilsViewEnterPassword,Inserisci parola chiave
MsgUtilsViewEnterAManagerPINToApprove,Inserisci un PIN manager per l'approvazione.
MsgUtilsViewSwipeCardForLinkOrderToApprove,Striscia una carta di approvare
MsgUtilsViewLinkCard,Collega carta
MsgUtilsViewFindPreAuthCard,Ricerca per ordini collegati
MsgUtilsViewCardSwipeIsNotSetUp,Lettore di carte non è impostato per questa stazione.
MsgUtilsViewSwipeCardForLinkOrder,Striscia una carta
MsgUtilsViewLinkedFindNotFound,Ordine collegato non trovato
MsgUtilsViewLineNr,%s [Linea %d] %@
MsgUtilsViewEatInOrder,Ordine per servizio “Consuma qui”
MsgUtilsViewEatInInvoice,Fattura per servizio “Consuma qui”
MsgUtilsViewEatIn,Servizio “Consuma qui”
MsgUtilsViewEatInWebOrder,Ordine web per servizio “Consuma qui”
MsgUtilsViewEatInWebInvoice,Fattura web per servizio “Consuma qui”
MsgUtilsViewToGoOrder,Ordine da asporto
MsgUtilsViewToGoInvoice,Fattura ordine da asporto
MsgUtilsViewToGo,Da asporto
MsgUtilsViewToGoWebOrder,Ordine on-line
MsgUtilsViewToGoWebInvoice,Fattura ordine da asporto web
MsgUtilsViewRetailOrder,Ordine retail
MsgUtilsViewRetailInvoice,Fattura retail
MsgUtilsViewRetailWebOrder,Ordine retail web
MsgUtilsViewRetailWebInvoice,Fattura retail web
MsgUtilsViewDelivery,Consegna
MsgUtilsViewWebDelivery,Ordine consegna web
MsgUtilsViewWebDeliveryInvoice,Fattura consegna web
MsgUtilsViewCatering,Catering
MsgUtilsViewWebCatering,Ordine catering web
MsgUtilsViewWebCateringInvoice,Fattura catering web
MsgUtilsViewDriveThru,Drive-in
MsgUtilsViewWebDriveThru,Ordine drive-in web
MsgUtilsViewWebDriveThruInvoice,Fattura drive-in web
MsgUtilsViewWebOrder,Ordine on-line
MsgUtilsViewWebInvoice,Fattura web
MsgUtilsViewOther,Altro
MsgUtilsViewWebOther,Ordine on-line
MsgUtilsViewWebOtherInvoice,Altra fattura web
MsgUtilsViewWebOnlineKitchen,On-line
MsgDOMTotalOutstanding,Totale insoluto
MsgDOMRate,%@ tariffa
MsgDOMExchangeTotal,Scambio totale
MsgDOMReceiptTotal,Totale ricevuta
MsgDOMReceiptSumTotal,Importo totale della ricevuta
MsgDOMRewardSummary,Riepilogo carta fedeltà
MsgDOMRewardCardNumber,Numero di carta fedeltà
MsgDOMRedeemAuthNumber,Riscatta numero di autorizzazione
MsgDOMAuthNumber,Numero di autorizzazione
MsgDOMCoupon,Buono d’acquisto
MsgDOMCouponAmount,Importo del buono d’acquisto
MsgDOMCouponUsed,Buono d’acquisto utilizzato
MsgDOMRewardUsed,Carta fedeltà utilizzata
MsgDOMCustomerOwes,Cliente ha il debito
MsgDOMAddAuthNumber,Aggiungi numero di autorizzazione
MsgDOMPointsEarned,Punti guadagnati
MsgDOMTotalPoints,Totale punti
MsgDOMCashEarned,Contanti guadagnati
MsgDOMRewardBalance,Saldo carta fedeltà
MsgDOMRewardCashBalance,Saldo contante carta fedeltà
MsgDOMTotalSaved,Totale risparmiato
MsgDOMAdditionalPoints,%.2f punti necessari per ricevere un %@ premio.
MsgDOMAdditionalVisits,%d visite devono ricevere un %@ premio.
MsgDOMExchanged,[Scambiato]
MsgDOMExchangedWithDate,[Scambiato %@]
MsgDOMTOTALREFUNDED,TOTALE RIMBORSATO
MsgDOMVOIDED,ANNULLATO
MsgDOMRETURNED,RESO
MsgDOMCOMPS,OMAGGI
MsgDOMVOIDEDPAYMENTS,PAGAMENTI ANNULLATI
MsgDOMREFUNDEDPAYMENTS,PAGAMENTI RIMBORSATI
MsgDOMVOIDEDTRANSACTION,TRANSAZIONI ANNULLATE
MsgDOMREFUNDEDTRANSACTION,TRANSAZIONI RIMBORSATE
MsgDOMCourse,Pasti
MsgDOMItemToGo,[Vai all'articolo]
MsgDOMNO,NO
MsgDOMDeliveryDate,Data di consegna
MsgDOMWaitingfor,In attesa di
MsgDOMUser,Utente
MsgDOMPAYINRECEIPT,RICEVUTA CONTANTE IN ENTRATA
MsgDOMDrawerNumber,Numero di emittenti
MsgDOMReason,Motivo
MsgDOMPAYOUTRECEIPT,RICEVUTA CONTANTE IN USCITA
MsgDOMFireCourse,Inizio portata successiva %d
MsgDOMGiftCard,Carta regalo
MsgDOMCustPaid,Cliente ha pagato
MsgDOMCustChange,Cliente ha modificato
MsgDOMTrans,Trans
MsgDOMCard,Carta
MsgDOMCUTHERE,TAGLIARE QUI
MsgDOMTotalOutst,Totale insoluti
MsgDOMREFUNDED,RIMBORSATO
MsgDOMBREAKDOWN,RIPARTIZIONE
MsgDOMCouldntBeAuth,Sull’ordine %@ non può essere autorizzato per l’intero importo
MsgDOMCollectedSomeCouldnt, %.2f è stato raccolto. %.2f non può essere raccolto.
MsgDOMCaptureStatus,Stato di acquisizione
MsgDOMTRAININGMODE,MODALITÀ ALLENAMENTO
MsgREPRINT,RISTAMPA
MsgCouponsError,Errore
MsgCouponInvalidCoupon,Buono d’acquisto non valido
MsgCouponScanCoupon,Scansiona buono d’acquisto
MsgCouponCampaignDateError,Errore data di inizio/fine del buono d’acquisto
MsgApplyCoupon,Aggiungi buono d’acquisto
MsgApplyCouponPRNotAllowed,Buono d’acquisto PR non è disponibile in questo flusso
MsgInventoryInventory,Inventario
MsgInventoryInventoryManagement,Gestione inventario
MsgInventoryManageInventory,Gestisci inventario
MsgInventoryItemNameInventory,%@Inventario
MsgInventorySReceived,%.2f %@ ricevuto.
MsgInventoryQuantityUnits,%.2f%@
MsgInventoryProducts,PRODOTTI
MsgInventoryPOs,Ordine d’acquisto
MsgInventoryPO's,Ordini d’acquisto
MsgInventoryManagePOs,Gestisci ordini d’acquisto
MsgInventoryCancel,Annulla
MsgInventoryScanBarcode,Esegui la scansione del barcode
MsgInventoryPressScanButton,Premi il pulsante di scansione
MsgInventoryFetchingInventoryInformation,Recupero informazioni inventario...
MsgInventoryFetchingInventoryInformationForDefaultItems,Recupero informazioni inventario per articoli fondamentali…
MsgInventoryUpdatingInventoryInformation,Aggiornamento informazioni inventario...
MsgInventoryStartingInventoryIsNow,L’avvio dell’inventario è momentaneamente  “%.2f”
MsgInventoryCurrentInventory:,Inventario attuale:
MsgInventoryCurrentInventoryIs,L’inventario attuale è “%.2f”
MsgInventoryCurrentInventoryis,L’inventario attuale è “%.2f”\n L’inventario effettivo è “%.2f” \n Lo scarto della varianza persa è “%.2f” \n La perdita dello scarto è %0.2f%%”
MsgInventoryProductWithEnteredBarcodeWasNotFound,Nessun barcode di prodotto corrispondente trovato.
MsgInventoryProduct,Prodotto
MsgInventoryPOID#,ID ordine d’acquisto
MsgInventorySelect,Seleziona
MsgInventoryEnterPOID#,ID ordine d’acquisto
MsgInventoryEnterBarcode,Inserisci il codice a barre
MsgInventoryTouchToSelectaPurchaseOrder,Tocca per selezionare un ordine di acquisto
MsgInventorySelectaPurchaseOrder,Seleziona un ordine d’acquisto
MsgInventoryTouchToSelect,Tocca per selezionare
MsgInventorySearch,Cerca
MsgInventorySubmit,Invia
MsgInventoryPurchaseOrderSearch,Ricerca ordine di acquisto
MsgInventoryProductSearch,Ricerca prodotto
MsgInventoryNoMathesFound,Nessuna corrispondenza trovata.
MsgInventoryInventoryUpdated,Inventario aggiornato
MsgInventoryNothingUpdated,Niente aggiornato
MsgInventoryInvUnitsAdded,N. unità inv.\naggiunte
MsgInventoryAdded,Aggiunto
MsgInventoryCurrentInventory,Inventario\ncorrente
MsgInventoryPOID,ID ordine d’acquisto
MsgInventoryPOIDNumber,ID ordine d’acquisto %d
