LocaleIdentifier,RU
MsgScrCheckoutKioskProceedToPaymentStation,Перейдите к платежной станции
MsgScrCheckoutKioskToCompleteOrder,для завершения заказа.
MsgScrCheckoutKioskCallNumber,Короткий номер:
MsgScrModifiersKioskHowMany,Кол-во
MsgScrModifiersNoModifiersForProduct,Нет модификаторов для данного продукта.
MsgScrModifiersBasePrice,Базисная цена:
BtnModifiersSubPrice,Цена замены
MsgScrModifiersExtras,Дополнительно:
MsgScrModifiersPriceWithExtras,Цена с дополнительными услугами
MsgScrModifiersCustomized,Персонализированное:
MsgScrModifiersSelectedModifiers,Выбранные модификаторы
MsgScrModifiersTouchToJumpToCategory,"Нажмите, чтобы перейти к категории."
MsgScrMatrixPriceColon,Цена:
MsgScrMatrixSelectAttribute,Выберите (атрибут).
BtnLanguage,Язык
MsgSelectLanguage,Выберите язык.
MsgSelectWhereReceiptSent,Выберите продукт или ингредиент
MsgSelectYourEmailTitle,Выберите кассу.
MsgScrSettingsAmount,Сумма:
MsgScrSettingsAmount2,Сумма
MsgScrSettingsEnterTransaction,Введите номер транзакции
MsgScrSettingsManTransaction,Транзакция №
MsgScrSettingsCreditApproved,Кред. карта одобрена.
MsgScrSettingsCreditNotApproved,Кред. карта не одобрена.
MsgScrSettingsUnexpectedPaymentProcessor,Непредусмотренный платежный оператор. Проверьте настройки сервера.
MsgScrSettingsProcessingCredit,Обработка кред. карты
MsgScrSettingsCreditAmountMustBeGreaterThan0,Сумма операции по кред. карте не может быть равна НУЛЮ.
MsgScrSettingsTransactionNotCaptured,Транзакция не обработана.
MsgScrSettingsNoTransactionNumberFound,Транзакция с указанным номером не найдена.
MsgScrSettingsPleaseEnterTransactionNumber,Введите номер транзакции.
MsgScrSettingsEnterAmountToCredit,Введите сумму списания с кред. карты:
MsgScrSettingsRefundTips,Возместить чаевые
MsgScrSettingsDeleteLocks,Снять блокировку
MsgScrSettingsSelectUserLockPOS,Выберите пользователя для блокировки доступа к POS-станции.
MsgScrSettingsDeleteAllLocksPOS,В результате этой операции будет снята блокировка доступа к POS-станции для всех пользователей. Вы уверены?
MsgScrSettingsOwnersAndManagersCanLog,Менеджерам и владельцам всегда разрешен вход в систему и они будут указаны здесь.\nПоварам вход в систему не разрешен и они не будут указаны здесь.\nБлокировка мурти-пользователей поддерживается. 
MsgScrSettingsPINRole,Пинкод: %@
MsgScrSettingsFailedDeleteUserLocks,Не удалось снять блокировку пользователей.
MsgScrSettingsEnterPassword,Введите пароль:
MsgScrSettingsTableFiltering,Фильтрация таблицы:
MsgScrSettingsCheckNetwork2,Проверка сети:
MsgScrSettingsDoNotPrintPinPadReceipts,Не распечатывать PinPad чеки:
MsgScrSettingsDateTouchEmployee,Для печати выберите дату и сотрудника.
MsgScrSettingsTillNotSet,Сумма начальной наличности не установлена. Платежи принимаются с 3 часов утра.
MsgScrSettingsNoCashWithdraw,В кассе нет наличных для снятия
MsgScrSettingsBankDropManager,"Управление \""Сдача денег в банк\"""
MsgScrSettingsAmountTills,Сумма в Кассах
MsgScrSettingsEnterAmount,Введите сумму
MsgScrSettingsOpenCashDrawer,Открыть кассовый аппарат
MsgScrSettingsQuestQT720PinPad,Quest QT720 PinPad
MsgScrSettingsPinPadSerialNumber,Серийный номер PinPad:
MsgScrSettingsPinPadKernelName,Название ядра PinPad:
MsgScrSettingsPinPadKernelVersion,Версия ядра PinPad:
MsgScrSettingsSerialboxStatus,Статус Serial Box:
MsgScrSettingsCloudID,Идентиф. вирт. сервера:
MsgScrSettingsDebugLog,Журнал отладки
MsgScrSettingsConnected,Соединение установлено.
MsgScrSettingsFailedConnect,Не удалось установить соединение.
MsgScrSettingsNotConnected,Соединение не установлено.
MsgScrSettingsPinPadconnectionTimeout,Истекло время ожидания соединения с PinPad.
MsgScrSettingsPinPadconnectionFailed,Не удалось установить соединение с PinPad.
MsgScrSettingsGettingPinPadInfo,Получение информации PinPad
MsgScrSettingsLookPinPad,Посмотрите на экран PinPad.
MsgScrSettingsForce,Запустить
MsgScrSettingsPaymentsProcessing,Обработка платежей
MsgScrSettingsStillOffline,Работа по-прежнему ведется в автономном режиме. Проверьте подключение к сети.
MsgScrSettingsCashDrawerManagement,Управление кассовым аппаратом
MsgScrSettingsSetCashDrawer,Задать параметры кассового аппарата
MsgScrSettingsPushNotifications,Показывать уведомления
MsgScrSettingsOfflineCreditCardProcessingStart,Начать автономную обработку кредита
MsgScrSettingsOfflineCreditCardProcessingStop,остановить автономную обработку кредита
MsgScrSettingsPaymentsSettings,Платежи
MsgScrSettingsDisplayUnitSettings,Дисплей
MsgScrSettingsDisplayUnitSettingsTitle,Приветственное сообщение дисплея
MsgScrSettingsDisplayUnitSettingsEnterCustom,Введите собственное сообщение
MsgScrSettingsDisplayUnitSettingsCustomTitle,Введите собственное сообщение
MsgScrSettingsNetworkSyncFailureDetails,Информация о пересылке
MsgScrSettingsNetworkSyncFailureDescription,Описание
MsgScrSettingsFailedLogout,Не удалось войти в систему.
MsgScrSettingsOrderIsStillOpen,Заказ №%@ еще не завершен! Завершите заказ перед выходом из системы.
MsgScrSettingsClockInClockOut2,Приход/уход
MsgScrSettingsDoYouWantToClokInOrOut,Вы хотите зарегистрировать приход или уход?
MsgScrSettingsManager,Менеджер
MsgScrSettingsSalesSummary,Сводный отчет по продажам
MsgScrSettingsPrinters,Принтеры
MsgScrSettingsTaxFree,Не облагается налогом
MsgScrSettingsTimeSchedule,Расписание
MsgScrSettingsRewardCards,Бонусные карты
MsgScrSettingsDeclareTips,Заявить чаевые
MsgScrSettingsTipsProcessing,Обработка чаевых
MsgScrSettingsUpdateRPI,Обновить RPI-устройство
MsgScrSettingsShowRPIDevices,Показать RPI-устройства
MsgScrSettingsStanfordCards,Карты Stanford Card
MsgScrSettingsWetstockManagement,Контроль и учет нефтепродуктов
MsgScrSettingsTipManagement,Управление чаевыми
MsgScreenAllOrdersAreSentServer,Все заказы отправлены на сервер.
MsgScreenAllPaymentsAreSentPaymentProcessor,Все заказы отправлены платежному оператору.
MsgScreen1OrderStillNotSentServer,1 заказ еще не отправлен на сервер.
MsgScreen1PaymentStillNotSentPaymentProcessor,1 заказ еще не отправлен платежному оператору.
MsgScreenFewOrderStillNotSentServer,%d заказа(-ов) еще не отправлены на сервер.
MsgScreenFewOrdersFailedSentServer,Не удалось отправить на сервер%d заказа(-ов).
MsgScreen1OrderFailedSentServer,Не удалось отправить на сервер 1 заказ.
MsgScreenFewPaymentStillNotSentPaymentProcessor,%d заказа(-ов) еще не отправлены платежному оператору.
MsgScreenVersionInformation,Информация о версии
MsgScreenVersionEstabStation,Версия: %@.%@\nИдентиф. организации: %d\nНазвание станции: %@\n Идентиф. устройства: %@\n URL: %@
MsgScreenVersionEstablishmentStation,Версия: %@\nИдентиф. организации: %d\nНазвание станции: %@\n Идентификатор устройства: %@\n URL: %@
MsgScreenCertificate,NTEP CC# 13-014
MsgScrPinWarningPosDisabledNoPaymentMessage,POS-станция отключена. Кредитная карта отклонена. Добавьте в систему новую кредитную карту или обратитесь за помощью в службу поддержки.
MsgScrPinWarningPosWillBeDisabledWarning,До отключения данной станции осталось %i часа(-ов). Оплатите новой кредитной картой.
MsgScreenProductsAreLoaded,%d из %d товаров не загружено
MsgScreenAllOfferTransactionsAreSentServer,Все транзакции отправлены на сервер.
MsgScreen1OfferTransactionStillNotSentServer,Одна транзакция не была отправлена на сервер.
MsgScreenFewOfferTransactionsStillNotSentServer,%d транзакции не отправлены на сервер.
MsgScrOrderSelect,Выберите
MsgScrOrderTitle,Заголовок
MsgScrOrderInformation,Информация
MsgScrOrderOrderIsOpen,"Заказ открыт %@. Закройте, чтобы редактировать."
MsgScrOrderProductName,Название продукта
MsgScrOrderSeat3,Гость 3
MsgScrOrderCourse1,Блюдо 1
MsgScrOrderMainMenu,Главное меню
MsgScrOrderOrderOverview,Обзор заказа
MsgScrOrderOrder,Заказ №
MsgScrOrderYourBalanceIs,Ваш баланс:
MsgScrOrderSelectHotspotDuration,Выберите длительность подключения к точке доступа.
MsgScrOrderHotspotError,Ошибка точки доступа
MsgScrOrderFailedGetCodeHotspot,Не удалось получить код от точки доступа.
MsgScrOrderCardAttachedOrder,Карта
MsgScrOrderCardCantAttachedOrder,Карта не может быть привязана к заказу.
MsgScrOrderEmailSent,Эл. письмо отправлено.
MsgScrOrderOrdersOutForDelivery,Заказы в доставке
MsgScrOrderDolAmount,Сумма в долл.
MsgScrOrderStreet,Улица
MsgScrOrderOutTime,Время передачи в доставку
MsgScrOrderDriverName,Имя водителя
MsgScrOrderChangeDriver,Изменить водителя
MsgScrOrderASSIGNDRIVER,НАЗНАЧИТЬ ВОДИТЕЛЯ
MsgScrOrderOrdersAwaitingDelivery,Заказы
MsgScrOrderCustomerName,Название
MsgScrOrderZip,Почтовый индекс
MsgScrOrderTimeOrdered,Время заказа
MsgScrOrderSetAttributes,Задать атрибуты
MsgScrOrderSetAutoGratuity,Установить чаевые по умолчанию
MsgScrOrderAutoGratuityOnOff,Чаевые по умолчанию вкл./выкл.:
MsgScrOrderSetGratuity,Установить размер чаевых
MsgScrOrderHold,Отложить
MsgScrOrderMore,Еще
MsgScrOrderStopped,Остановлено
MsgScrOrderOrderSummary,Общая информация по заказу
MsgScrOrderSubtotal,Подытог:
MsgScrOrderDue,К оплате:
MsgScrOrderTotalDue,Итого к оплате:
MsgScrOrderBalance,Баланс:
MsgScrOrderChange,Сдача:
MsgScrOrderSettings,Настройки
MsgScrOrderBarcodeScanner,Сканер баркодов
MsgScrOrderDeviceStatus,Статус устройства
MsgScrOrderExit,Выйти
MsgScrOrderEnterCallNamePlease,"Пожалуйста, введите контактное лицо"
MsgScrOrderNumber,Номер :
MsgScrOrderName,Наименование:
MsgScrOrderAuth,Авторизация №:
MsgScrOrder1Station,1 Станция
MsgScrOrderCustomerNameOrder ,Имя и заказ клиента
MsgScrOrderApplyDiscount,Применить скидку
MsgScrOrderHelp,Помощь
MsgScrOrderRemoveItems,Удалить
MsgScrOrderThankYouApproved,Одобрено.\nСпасибо!
MsgScrOrderNotManagersPIN,Ошибка! Введите код менеджера!
MsgScrOrderReceiptManager,Управление чеками
MsgScrOrderSignHere,Подпись
MsgScrOrderAgreementToPay,Я согласен оплатить указанную выше сумму в соответствии с соглашением эмитента карты.
MsgScrOrderHowToDeliveReceipt,Каким образом вы предпочитаете получить чек?
MsgScrOrderDoYouWantaReceipt,Распечатать чек?
MsgScrOrderTips,Чаевые
MsgScrOrderCannotAddOrderItem,"Невозможно изменить кол-во, потому-что изменилась цена. Пожалуйста, сделайте копию или создайте новый продукт."
MsgScrOrderNoOpenOrders,Не найдены открытые заказы.
MsgScrOrderExchangedItems,Обменянный товар:
MsgScrOrderSetTillBeforePerformAction,Необходимо задать параметры кассы\nдо выполнения требуемого действия.
MsgScrOrderSetTillContactManager,"Эта касса должна быть настроена.\n Пожалуйста, обратитесь к своему менеджеру"
MsgScrOrderSetCallNameBeforePerformAction,Необходимо указать контактное лицо\nдо выполнения требуемого действия.
MsgScrOrderSetCustomerBeforePerformAction,Необходимо добавить клиента\nдо выполнения требуемого действия.
MsgScrOrderSetDiningBeforePerformAction,Добавить тип заказа перед исполнением\n
MsgScrOrderSetSeatCountBeforePerformAction,Добавить количество гостей перед исполнением\n
MsgScrOrderSetSerialBeforePerformAction,"Прежде чем перейти к оплате, необходимо указать серийные номера для позиций данного заказа. Добавьте серийные номера или выберите позиции для локальной доставки."
MsgScrOrderProductCannotBe,«%@» невозможно %@.
MsgScrOrderProductCannotBeRemoveTheseProducts,«%@» невозможно %@.  Удалить данные продукты из заказа?
MsgScrOrderProductCannotBeRemoveThisProduct,«%@» невозможно %@.  Удалить данный продукт из заказа?
MsgScrOrderDonationError,Ошибка: возможность внесения пожертвований отключена.\nОбратитесь к менеджеру.
BtnPromptGoToTill,Перейдите в раздел «Касса».
BtnPromptSelectCustomer,Выберите\nклиента.
BtnPromptSelectCallName,Выберите\nконтактное лицо.
BtnPromptAddSerialNumber,Добавить серийные номера
BtnPromptChooseItemsForLocalDelivery,Выбрать позиции для локальной доставки
MsgLibIndexWrongQrCode,Неверный QR-код
MsgIndexError,Ошибка Index
MsgLibStarPrinterError,Ошибка принтера Star
MsgLibStarIpAddrNotConf,IP-адрес не задан.
MsgLibMagTekPortableCardSwipe,Портативный кардридер
MsgLibMagTekInitializing,Инициализация...
MsgLibMagTekAccessoryConn,Аксессуар подключен.
MsgLibMagTekDeviceConn,Устройство подключено.
MsgLibMagTekDeviceDisconn,Устройство отключено.
MsgLibMagTekMAGTEKERR,ОШИБКА MAGTEK
MsgLibMagTekFailedParseOfflData,Не удалось интерпретировать автономные данные платежного оператора.
MsgLibMagTekDeviceReady,Устройство готово.
MsgLibMagTekDeviceNotOpened,Устройство не открыто.
MsgLibMagTekDeviceNotConn,Устройство не подключено.
MsgLibMagTekOpenediDynamo,Открыт доступ к iDynamo.
MsgLibMagTekOpeneduDynamo,Открыт доступ к uDynamo.
MsgLibKitchenNetStartFailed,Не удалось подключиться к сети.
MsgLibKitchenItemsAreNotSent,Следующие заказы не отправлены:\n
MsgLibKitchenItemsAreNotRemoved,Следующие заказы не удалены:\n
MsgLibKitchenFrom,с
MsgLibKitchenTo,на
MsgLibKitchenOrder,Заказ №
MsgUtilsViewRedeemCode,Применить код
MsgUtilsViewEnterRedemptionCode,Введите бонусный код
MsgUtilsViewPassword,Пароль
MsgUtilsViewEnterPassword,Введите пароль
MsgUtilsViewEnterAManagerPINToApprove,чтобы утвердить Введите PIN-код менеджера 
MsgUtilsViewSwipeCardForLinkOrderToApprove,"Пожалуйста, swipe card, чтобы одобрить"
MsgUtilsViewLinkCard,Привязать карту
MsgUtilsViewFindPreAuthCard,Поиск связанных заказов
MsgUtilsViewCardSwipeIsNotSetUp,Кардридер не настроен на работу с данной станцией.
MsgUtilsViewSwipeCardForLinkOrder,Проведите картой через кардридер.
MsgUtilsViewLinkedFindNotFound,Связанные заказы не найдены.
MsgUtilsViewLineNr,%s [Строка %d] %@
MsgUtilsViewEatInOrder,Заказ в зале
MsgUtilsViewEatInInvoice,Счет за заказ в зале
MsgUtilsViewEatIn,В зале
MsgUtilsViewEatInWebOrder,Интернет-заказ в зале
MsgUtilsViewEatInWebInvoice,Эл. счет за заказ в зале
MsgUtilsViewToGoOrder,Заказ с собой
MsgUtilsViewToGoInvoice,Счет за заказ с собой
MsgUtilsViewToGo,С собой
MsgUtilsViewToGoWebOrder,Онлайн-заказ
MsgUtilsViewToGoWebInvoice,Эл. счет за заказ с собой
MsgUtilsViewRetailOrder,Розничные заказ
MsgUtilsViewRetailInvoice,Розничная Счет-фактура
MsgUtilsViewRetailWebOrder,Розничный Интернет Заказ
MsgUtilsViewRetailWebInvoice,Розничная Веб- счет-фактура
MsgUtilsViewDelivery,Доставка
MsgUtilsViewWebDelivery,Интернет-заказ на доставку
MsgUtilsViewWebDeliveryInvoice,Эл. счет за заказ на доставку
MsgUtilsViewCatering,Выездной заказ
MsgUtilsViewWebCatering,Интернет-заказ на выездное обслуживание
MsgUtilsViewWebCateringInvoice,Эл. счет за выездной заказ
MsgUtilsViewDriveThru,Автозаказ
MsgUtilsViewWebDriveThru,Автозаказ через Интернет
MsgUtilsViewWebDriveThruInvoice,Эл. счет за автозаказ
MsgUtilsViewWebOrder,Онлайн-заказ
MsgUtilsViewWebInvoice,Электронный счет
MsgUtilsViewOther,Прочее
MsgUtilsViewWebOther,Онлайн-заказ
MsgUtilsViewWebOtherInvoice,Эл. счет за другой заказ
MsgUtilsViewWebOnlineKitchen,В сети
MsgDOMTotalOutstanding,Итого к оплате:
MsgDOMRate,Тариф %@
MsgDOMExchangeTotal,Всего обменять
MsgDOMReceiptTotal,Итого по чеку:
MsgDOMReceiptSumTotal,Итог. сумма по чеку:
MsgDOMRewardSummary,Общая информация по бонусам
MsgDOMRewardCardNumber,Номер бонусной карты
MsgDOMRedeemAuthNumber,Использовать код авториз.
MsgDOMAuthNumber,Номер разрешения
MsgDOMCoupon,Купон
MsgDOMCouponAmount,Сумма купона:
MsgDOMCouponUsed,Использован купон:
MsgDOMRewardUsed,Использовано баллов:
MsgDOMCustomerOwes,К оплате клиентом:
MsgDOMAddAuthNumber,Добавить код авториз.
MsgDOMPointsEarned,Начислено баллов:
MsgDOMTotalPoints,Итого баллов:
MsgDOMCashEarned,Получено наличными:
MsgDOMRewardBalance,Бонусный баланс:
MsgDOMRewardCashBalance,Баланс бонусных баллов:
MsgDOMTotalSaved,Вы сэкономили:
MsgDOMAdditionalPoints,Необходимо %.2f баллов для получения вознаграждения %@.
MsgDOMAdditionalVisits,Необходимо %d посещений для получения вознаграждения %@.
MsgDOMExchanged,[Обменяно]
MsgDOMExchangedWithDate,[Обменяно %@]
MsgDOMTOTALREFUNDED,ИТОГО ВОЗМЕЩЕНО:
MsgDOMVOIDED,АННУЛИРОВАНО
MsgDOMRETURNED,ВОЗВРАЩЕНО
MsgDOMCOMPS,БЕСПЛАТНО
MsgDOMVOIDEDPAYMENTS,АННУЛИРОВАННЫЕ ПЛАТЕЖИ
MsgDOMREFUNDEDPAYMENTS,ВОЗМЕЩЕННЫЕ ПЛАТЕЖИ
MsgDOMVOIDEDTRANSACTION,АННУЛИРОВАННЫЕ ТРАНЗАКЦИИ
MsgDOMREFUNDEDTRANSACTION,ВОЗМЕЩЕННЫЕ ТРАНЗАКЦИИ
MsgDOMCourse,Блюдо
MsgDOMItemToGo,[С собой]
MsgDOMNO,НЕТ
MsgDOMDeliveryDate,Дата доставки
MsgDOMWaitingfor,Ожидание
MsgDOMUser,Пользователь
MsgDOMPAYINRECEIPT,ЧЕК ПО ВНЕСЕНИЮ
MsgDOMDrawerNumber,Кассовый аппарат №
MsgDOMReason,Причина
MsgDOMPAYOUTRECEIPT,ЧЕК ПО ВЫПЛАТЕ
MsgDOMFireCourse,Подтвердить блюдо %d
MsgDOMGiftCard,Подарочная карта
MsgDOMCustPaid,Оплачено клиентом:
MsgDOMCustChange,Сдача клиенту:
MsgDOMTrans,Транз.
MsgDOMCard,Карта
MsgDOMCUTHERE,ОБРЕЗАТЬ ЗДЕСЬ
MsgDOMTotalOutst,Итого к опл.:
MsgDOMREFUNDED,ВОЗМЕЩЕНО
MsgDOMBREAKDOWN,РАЗБИВКА
MsgDOMCouldntBeAuth, по заказу %@ невозможно на полную сумму.
MsgDOMCollectedSomeCouldnt,%.2f получено. %.2f не может быть получено.
MsgDOMCaptureStatus,Статус обработки
MsgDOMTRAININGMODE,РЕЖИМ ОБУЧЕНИЯ
MsgREPRINT,ПОВТОРНАЯ ПЕЧАТЬ
MsgCouponsError,Ошибка
MsgCouponInvalidCoupon,Недействительный купон
MsgCouponScanCoupon,Отсканируйте купон.
MsgCouponCampaignDateError,ошибка начала(конца) даты купона
MsgApplyCoupon,Применить купон
MsgApplyCouponPRNotAllowed,PR- купон не доступен в этом потоке
MsgInventoryInventory,Складские запасы
MsgInventoryInventoryManagement,Управление складскими запасами
MsgInventoryManageInventory,Редактировать складские запасы
MsgInventoryItemNameInventory,Складские запасы по %@
MsgInventorySReceived,Принято %.2f %@.
MsgInventoryQuantityUnits,%.2f %@
MsgInventoryProducts,ПРОДУКТЫ
MsgInventoryPOs,Заказы на пост.
MsgInventoryPO's,Заказы на пост.
MsgInventoryManagePOs,Редактировать заказы на пост.
MsgInventoryCancel,Отмена
MsgInventoryScanBarcode,Отсканировать баркод
MsgInventoryPressScanButton,Нажмите кнопку «Сканировать».
MsgInventoryFetchingInventoryInformation,Получение информации по складским запасам...
MsgInventoryFetchingInventoryInformationForDefaultItems,Получение информации по складским запасам основных позиций...
MsgInventoryUpdatingInventoryInformation,Обновление информации по складским запасам...
MsgInventoryStartingInventoryIsNow,"Начальные складские запасы \""%.2f\"""
MsgInventoryCurrentInventory:,Текущие складские запасы:
MsgInventoryCurrentInventoryIs,Текущие складские запасы: %.2f.
MsgInventoryCurrentInventoryis,"Текущие складские запасы \""%.2f\""\nФактические складские запасы \""%.2f\"" \nРазница из-за брака \""%.2f\"" \nБрак \""%0.2f%%\"""
MsgInventoryProductWithEnteredBarcodeWasNotFound,Товар с таким баркодом не найден.
MsgInventoryProduct,Продукт
MsgInventoryPOID#,№ заказа на пост.
MsgInventorySelect,Выберите
MsgInventoryEnterPOID#,Введите номер заказа на пост.
MsgInventoryEnterBarcode,Ввести баркод
MsgInventoryTouchToSelectaPurchaseOrder,Нажмите чтобы выбрать заказ на поставку
MsgInventorySelectaPurchaseOrder,Выберите заказ на поставку
MsgInventoryTouchToSelect,Нажмите для выбора
MsgInventorySearch,Поиск
MsgInventorySubmit,Отправить
MsgInventoryPurchaseOrderSearch,Поиск заказа на поставку
MsgInventoryProductSearch,Поиск товара
MsgInventoryNoMathesFound,Совпадения не найдены.
MsgInventoryInventoryUpdated,Складские запасы обновлены.
MsgInventoryNothingUpdated,Ничего не обновлено.
MsgInventoryInvUnitsAdded,№ продуктов для запаса\nДобавлено
MsgInventoryAdded,Добавлено
MsgInventoryCurrentInventory,Текущие\nскладские запасы
MsgInventoryPOID,№ заказа на пост.
MsgInventoryPOIDNumber,№ заказа на пост. %d
MsgInventoryPOsIncluding,Заказы на поставку: %@
MsgInventoryPurchaseOrderID,Номер заказа на поставку
MsgInventoryVendorName,Наименование поставщика
MsgInventoryVendorInvoiceNumber,Счет поставщика №
MsgInventoryDate,Дата
MsgInventoryItem,Позиция
MsgInventoryCountDuplicates,"Найдено %ld дубликатов, они будут удалены перед submit"
MsgInventoryCurrent,Текущее значение
MsgInventoryReceive,Принять
MsgInventoryActual,Фактический
MsgInventoryWaste,Списать
MsgInventoryDamage,Брак
MsgInventoryName,Название
MsgInventoryQuantity,Кол-во
MsgInventoryQty,Кол-во
MsgInventoryUnit,Ед. изм.
MsgInventoryClosed,Закрытый
MsgInventoryRec,Получ.
MsgInventoryProductResultList,Список товаров
MsgInventorySelectProductOrIngredient,Выберите продукт или ингредиент
MsgInventoryPleaseSelectUnit,Выберите единицу измерения
MsgInventoryPleaseSelectReason,Выберите единицу измерения
MsgInventoryMoreDetails,Детали заказа
MsgInventoryIngredient,Ингредиент
MsgInventoryObtainingPurchaseOrder,Получение заказа на поставку...
MsgInventoryObtainingPurchaseOrders,Получение заказов на поставку...
MsgInventoryUpdateReceivedInfo,Обновление информации о принятых товарах...
MsgInventoryErrorOccurredFetchFailed,Не удалось получить данные по складским запасам!
MsgInventoryErrorOccurredInternet,Произошла ошибка. Проверьте подключение к Интернету.
MsgInventoryEnterAmount,Введите сумму
MsgInventoryPriorInventory,Прежние складские запасы (%@)
MsgInventoryActualInventory,Фактические складские запасы (%@)
MsgInventoryVariance,Разница (%@)
MsgInventoryVariancePerc,Разница (%%)
MsgInventoryReason,Причина
MsgInventoryEnterReason,Укажите причину.
MsgInventoryEnterCostPerUnit,Цена за единицу
MsgInventoryNone,Нет
MsgInventoryUpdate,Обновить
MsgInventoryUpdatePrice,На сервере
MsgInventoryUpdateCost,Обновить стоимость
MsgInventoryAdjustCost,Величина\nкорректировки
MsgInventoryPriceUpdated,Цена обновлена.
MsgInventoryCostUpdated,Стоимость обновлена.
MsgInventoryNewPrice,Новая цена: %@
BtnShowResultsPrinterDetails,Печатать Информацию
BtnShowResultsPrinterSummary,Распечатать результат
MsgInventoryCurrentPrice,Текущая цена: %@
MsgInventoryCurrentCost,Текущая стоимость: %@
MsgInventoryNewCost,Новая стоимость: %@
MsgInventoryCurrent:,Текущие склад. запасы: %@%@
MsgInventoryCurrentQuantityUnits,Текущие склад. запасы: %.2f %@s
MsgInventoryThePriceOf,Цена %@ была изменена на %@. Обновите конфигурацию других станций.
MsgInventoryTheCostOf,Стоимость %@ была изменена на %@. Обновите конфигурацию других станций.
MsgInventoryPrice,Цена
MsgInventoryCost,Стоимость:
MsgInventoryPleaseSpecifyReason,Укажите причину.
MsgInventoryPleaseCorrectQuantity,Укажите корректное количество.
MsgInventoryNA,Не применимо
MsgInventoryEnterSerialNumber,Введите серийные номера\n(каждый номер с новой строки)
MsgInventoryStatus,Статус
MsgInventoryFilterBySerialNumber,Фильтр по серийному номеру
MsgInventorySerialNumber,Серийный номер
MsgInventorySerialNumbers,Серийный(-е) номер(-а)
MsgInventoryFetchingSerialNumbers,Получение серийного(-ых) номера(-ов)...
MsgInventoryInStock,В наличии
MsgInventorySold,Продано
MsgInventoryWastage,Потери
MsgInventoryEnsureThisValue,Убедитесь
MsgInventoryQuantityAndNumber,Количество единиц на складе и серийный номер не совпадают.
MsgInventorySerialNumberAlreadyExists,Серийный номер уже существует.
MsgInventorySynchronize,Синхронизировать
MsgInventoryScannedItemCannotBeAdded,"Товар не найден и не может быть добавлен к заказу, который уже оплачен."
MsgInventoryResultUnmatched,Без совпадений
MsgInventoryResultShrinkage,усадка
MsgInventoryResultMatched,Соответствует
MsgActualSerialResultsList,список фактических Serial Results
MsgInventoryResultReceive,Получить?
MsgInventoryResultReceiveAll,Получать все ?
MsgInventoryResultWaste,отходы/убытки
MsgInventoryResultWasteAll,Списать все как отходы?
MsgInventoryReadyForScanOrInput,Готов к сканированию или ручному вводу
MsgInventoryEnteredSerialNumber,серийный номер введен 
MsgInventoryNoSelectingItems %@,Вы не выбрали ни одного %@ пункта. Все равно продолжать?
MsgInventoryInputReason,Ввод Причина
MsgInventoryReceivedSerialNumbers,Получено
MsgInventoryWastedSerialNumbers,Списано как отходы
MsgInventoryMatchedSerialNumbers,Соответствует
MsgInventoryCheckingInventory,Проверка складских запасов...
MsgInventorySerialNumberIs,с серийным номером
MsgInventorySerialNumberSold,с отметкой «Продано»
MsgInventorySerialNumberWastedV2,Отмечено как отходы
MsgInventorySerialNumberNotMatches,отсутствует в складских запасах
MsgPunchhLoadConfigurationError,Ошибка конфигурации загрузки
MsgPunchhUserInfo, Информация о Punchh пользователе
MsgPunchhCreateUserInfo,Создать Punchh пользователя
MsgPunchhEnterUserInfo,ввести информацию Punchh пользователя
MsgPunchhEnterPhoneEmailError,Введите адрес электронной почты или телефон
MsgPunchhLookupByPhoneOrEmailError,Поиск по нескольким параметрам не поддерживается.\nПожалуйста ищите по одному из параметров: телефон/электронная почта/карточка
MsgPunchhFirstLastNameError,Введите имя или фамилию
MsgPunchhCustomerPhoneEmailError,Клиент не имеет телефона или электронной почты
MsgPunchhCustomerLookup,Найти Punchh пользователя
MsgPunchhUserCreate,Создать Punchh пользователя
MsgPunchhLoadingUserRedemption,информация о выкупке загружается
MsgPunchhRedemptionCode,Код Redemption
MsgPunchhEnterRedemptionCode,Введите бонусный код
MsgPunchhRedemptionCodeError,Введите цифровой код выплаты
MsgPunchhApplyRedemption,Применям скидку ...
MsgPunchhSuccessfullyRedeemed,Успешно погашены
MsgPunchhPoints,Punchh баллы
MsgPunchhNoRedeemableRewards,У пользователя %@ %@ нет баллов для погашения
MsgPunchhCheckInUser,регистрировать клиента
MsgPunchhSendingOrder,детали квитанции отправляются
MsgPunchhSendingOrderError,не удалось Отправить квитанцию
MsgPunchhSendingOrderSuccess,Rececipt отправлен успешно
MsgPunchhBankedRewards,Редактировать бонусную карту
MsgPunchhUnredeemCards,Списать баллы
MsgPunchhUserManage,управлять Punchh пользователем
MsgPunchhNoRedeemableRewardsYes,у пользователя нет redeemable rewards
MsgPunchhUsers,использователи Punchh Loyalty
MsgPunchhReceipts,Punchh Квитанции
MsgPunchhCreateError,Невозможно создать Punchh пользователя\n .Неизвесная ошибка.
MsgPunchhSelectItemError,Выберите
MsgPunchhRewardsAvailableCaption,Доступные вознаграждения
MsgPunchhSwipeOrScanTitle,Отсканируйте или проведите бонусной картой через кардридер.
MsgPunchhReaderOrScannerWaiting,Отсканируйте или проведите бонусной картой через кардридер.
MsgPunchhCaptionPoints,Бонусные баллы
MsgPunchhRedeemCard,Списать баллы
