LocaleIdentifier,TH
MsgOrderAddExtraItemTitle,เพิ่มรายการพิเศษ
MsgOrderAddExtraItemName,ชื่อ
MsgOrderAddExtraItemPrice,ราคา
MsgOrderAddExtraItemTax,เก็บภาษี:
BtnOrderAddExtraItemWeight,น้ำหนัก
MsgOrderAddExtraItemSelectName,เลือกชื่อ
MsgOrderAddExtraItemSaveToServer,บันทึกไปยังเซิร์ฟเวอร์
MsgOrderAddExtraItemTaxFreeItem,ไม่มีภาษี
MsgOrderAddExtraItemSaving,กำลังบันทึก
MsgOrderAddExtraItemTaxSavingWarning,ภาษีศุลกากรจะไม่ถูกบันทึกไปยังเซิร์ฟเวอร์ แต่จะถูกจัดเก็บไปที่รายการคำสั่งซื้อ
MsgOrderAddExtraItemNoMatchFound,ไม่พบคู่ที่เหมือนกัน
MsgOrderExtraItem,รายการ
BtnOrderAddItem,เพิ่มรายการ
MsgOrderAddItemCopying,การคัดลอกรายการ
MsgOrderPrintReceiptsTitle,พิมพ์ใบเสร็จ
MsgOrderPrintReceiptsPrintWhat,คำสั่งซื้อมีใบเสร็จบัตรเครดิต ใบเสร็จใดที่คุณต้องการพิมพ์?
MsgOrderPrintReceiptsSplitPrintWhat,ใบเสร็จใดที่คุณต้องการพิมพ์?
BtnOrderPrintReceiptsGuest,ลูกค้า
BtnOrderPrintReceiptsSummary,สรุป
BtnOrderPrintReceiptsCredit,เครดิต
MsgOrderRefundCustomer,โปรดคืนเงินแก่ลูกค้า %@
MsgOrderRefundCompleted,%@ คืนเงินให้แก่ %@
MsgOrderRefundToNewCard,ป้อนบัตรของขวัญ #
MsgOrderFailedToAddGiftCard,ยกเลิกบัตรของขวัญล้มเหลว
MsgOrderPrintReceiptTitle,พิมพ์ใบเสร็จ
MsgOrderPrintReceiptActions,คุณต้องการพิมพ์ใบเสร็จหรือไม่?
MsgOrderPrintInvoiceTitle,ตัวเลือกใบแจ้งหนี้
MsgOrderPrintInvoiceActions,คุณต้องการรับใบแจ้งหนี้ด้วยวิธีใด?
BtnOrderPrintReceiptEmail,อีเมล
BtnOrderPrintReceiptSignature,ลายมือชื่อ
MsgOrderInvoiceTemplateIsInvalid,เทมเพลตใบแจ้งหนี้ไม่ถูกต้อง\nโปรดติดต่อฝ่ายช่วยเหลือลูกค้า
MsgOrderWaitLoayalTreeRewardsTitle,การบริการ LoyalTree
MsgOrderLoaylTreeMsg,รอการตอบสนองขอ LoyalTree ...
MsgOrderSelectOwner,เลือกเจ้าของโต๊ะ
MsgOrderSelectEmployee,เลือกพนักงาน
MsgOrderSelectProducts,เลือกผลิตภัณฑ์
MsgOrderSelectProductsForLayaway,เลือกผลิตภัณฑ์เพื่อเอาออกจากสินค้าคงเหลือ
MsgOrderAddQuantity,เพิ่มจำนวน
MsgOrderSetQuantity,ตั้งค่าจำนวน
MsgOrderEnterQuantity,ป้อนจำนวน
MsgOrderQuantityCouldNotBeChanged,ไม่สามารถเปลี่ยนแปลงจำนวนได้
MsgOrderSelectOrder,เลือกคำสั่งซื้อ
MsgOrderSelectTable,เลือกโต๊ะ
MsgOrderReprint,พิมพ์อีกครั้ง
MsgOrderSendToKitchen,ส่งไปยังห้องครัว
MsgOrderReachedMaxQty,ผลิตภัณฑ์ถึงจำนวนสูงสุดแล้ว  ไม่อาจเพิ่มผลิตภัณฑ์ไปยังคำสั่งซื้อนี้ได้อีก
MsgOrderLocked,คำสั่งซื้อถูกแก้ไขโดย %@ บนเครื่องบริการ %@
MsgOrderLockedPrinting,งานพิมพ์คำสั่งซื้ออยู่ระหว่างดำเนินการ
MsgOrderChangedSaveFailed,คำสั่งซื้อถูกเปลี่ยนแปลง การบันทึกล้มเหลว
MsgOrderSaveFailed,การบันทึกคำสั่งซื้อล้มเหลว
MsgOrderCollisionDetected,คำสั่งซื้อถูกเปลี่ยนแปลงบน POS หลัก คำสั่งซื้อภายในถูกเขียนทับ เนื่องจากคำสั่งซื้อแตกต่างจากสำเนาต้นฉบับ
MsgOrderCollisionDetectedItems,%d ลบรายการ
MsgOrderCollisionDetectedPaymentsRefunds,%dขอคืนเงินการชำระเงินเฉพาะส่วนโดยรวมทั้งหมด %@\n
MsgOrderCollisionDetectedPayments,%d จำนวนเงินโดยรวมทั้งหมดของการชำระเงินเฉพาะส่วนที่เกิน %@\nคุณต้องการขอคืนเงินที่ชำระเงินเกินหรือไม่?
MsgOrderDeletedSaveFailed,คำสั่งซื้อได้รับการซิงก์ข้อมูลกับเซิร์ฟเวอร์คลาวด์ และได้ลบออกจากเครื่องบริการ POS หลัก
MsgOrderDeletedLoadFailed,คำสั่งซื้อได้รับการซิงก์ข้อมูลกับเซิร์ฟเวอร์คลาวด์ และได้ลบออกจากเครื่องบริการ POS หลัก
MsgOrderMainNotReachable,ไม่สามารถเข้าถึงเครื่องบริการ POS หลัก
MsgOrderCloudNotReachable,ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์คลาวด์ได้ โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ
MsgOrderLoadEmpty,คำสั่งซื้อว่างเปล่า และไม่สามารถโหลดได้
MsgOrderPrinting,การพิมพ์คำสั่งซื้อ #%@
MsgOrderOnline,คำสั่งซื้อออนไลน์
MsgOrderNotPrinted,ไม่ถูกพิมพ์
MsgOrderNotFound,ไม่พบ
MsgOrderSelectPrinter,เลือกเครื่องพิมพ์
MsgOrderSelectLanguage,เลือกภาษาสำหรับใบเสร็จ
MsgOrderDefaultLanguage,ภาษาที่ตั้งไว้เป็นค่าเริ่มต้น
MsgOrderHeldOrder,คำสั่งซื้อที่ถูกระงับไว้
MsgOrderHeldOrders,คำสั่งซื้อที่ถูกระงับไว้
MsgOrderUnsyncedOrder,คำสั่งซื้อที่ไม่ถูกซิงก์
MsgOrderUnsyncedOrders,คำสั่งซื้อที่ไม่ถูกซิงก์
MsgOrderOpenWebOrder,คำสั่งซื้อออนไลน์
MsgOrderOpenWebOrders,คำสั่งซื้อออนไลน์
MsgOrderUnprinted,คำสั่งซื้อที่ไม่ได้ถูกพิมพ์
MsgOrderUnprintedWebOrder,คำสั่งซื้อบนเว็บที่ไม่ถูกพิมพ์
MsgOrderUnprintedWebOrders,คำสั่งซื้อบนเว็บที่ไม่ถูกพิมพ์
MsgOrderDeliveryCharge,ค่าใช้จ่ายการจัดส่ง
MsgOrderTargetTableHasOrder,มีคำสั่งซื้อที่เปิดอยู่บน %@  %@ ที่เลือกไว้จะกลายเป็นส่วนหนึ่งของคำสั่งซื้อนั้น  ดำเนินการต่อหรือไม่?
MsgOrderBagCharge,เรียกเก็บค่าถุง
MsgOrderEnterSerialNumber,ป้อนหมายเลขลำดับ
MsgOrderEnterCallNumber,ป้อนหมายเลขโทรศัพท์
MsgOrderEnterSerialNumberForProduct,ป้อนหมายเลขลำดับสำหรับ %@
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,หมายเลขลำดับว่างเปล่า\nโปรดป้อนหมายเลขลำดับที่ถูกต้อง
MsgOrderSerialNumberShort,หมายเลขลำดับ
MsgOrderFindOrdersBySerialNumber,ค้นหาคำสั่งซื้อด้วยหมายเลขลำดับ
MsgOrderFoundProductsWithSN,ค้นพบผลิตภัณฑ์ที่มีหมายเลขลำดับ %@
MsgOrderSearchBySN,คำสั่งซื้อตามหมายเลขลำดับ: 
MsgOrderSearchBySNFromAnotheEstablishment,คำสั่งซื้อ %@ ถูกสร้างบนเครื่องบริการอื่น  หากคุณจำเป็นต้องคืนค่ารายการนี้ โปรดไปที่ การตั้งค่า/การคืนค่า
MsgReceiptlessReturnSearchBySN,ค้นหาโดยหมายเลขลำดับ
MsgOrderSerialNumberMissingTitle,ไม่มีหมายเลขลำดับ
MsgOrderAddSerialNumbersBeforeContinuing,โปรดขอคืนเงินคงเหลือเพิ่ม ก่อนทำการปิด
MsgOrderNewInvoice,ใบแจ้งหนี้ใหม่: %@
MsgOrderNewOrder,คำสั่งซื้อใหม่: %@
MsgOrderOrderedBy,สั่งซื้อโดย: %@
MsgOrderMaximumGeneralTitle,จำนวนคำสั่งซื้อถึงค่าสูงสุดแล้ว
MsgInvoiceMaximumGeneralTitle,จำนวนใบแจ้งหนี้ถึงค่าสูงสุดแล้ว
MsgOrderMaximumGeneralMessage,ดำเนินการเพิ่มรายการต่อ
MsgOrderMoveNotAllowedBecauseOfSplitBills,ไม่สามารถรวบคำสั่งซื้อกับใบแจ้งหนี้ได้
MsgPrintManagementTitle,การบริหารจัดการเครื่องพิมพ์
MsgPrintManagementPrinterDetails,รายละเอียดเครื่องพิมพ์
MsgPrintManagementSetFontSize,ตั้งค่าขนาดตัวอักษร
MsgPrintInvalidConfig,การกำหนดค่าเครื่องพิมพ์ไม่ถูกต้อง
MsgPrintReceiptOptionsTitle,ตัวเลือกวิธีการพิมพ์
MsgPrintReceiptOptionsLabelSize,ขนาดลาเบล
