LocaleIdentifier,QA
MsgScreenFewOrderStillNotSentServer,Ж%d orders are still not sent to the server.
MsgScreenFewOrdersFailedSentServer,Ж%d orders are failed to send to the server.
MsgScreen1OrderFailedSentServer,Ж1 order is failed to send to the server.
MsgScreenFewPaymentStillNotSentPaymentProcessor,Ж%d payments are still not sent to the payment processor.
MsgScreenVersionInformation,ЖVersion Information
MsgScreenVersionEstabStation,ЖVersion: %@-%@\nEstablishment ID: %d\nStation Name: %@\n Device ID: %@\n URL: %@
MsgScreenVersionEstablishmentStation,ЖVersion: %@\nEstablishment ID: %d\nStation Name: %@\n Device ID: %@\n URL: %@
MsgScreenCertificate,ЖNTEP CC# 13-014
MsgScrPinWarningPosDisabledNoPaymentMessage,ЖPOS station is disabled for non-payment. Please go to the Management Console and click the Billing link in the upper right to add a new credit card or call our billing team at (415) 744-1433 x3 between 6AM - 5PM PST
MsgScrPinWarningPosWillBeDisabledWarning,ЖYou have %i hours before this station is disabled. You must make a payment with a new credit card
MsgScreenProductsAreLoaded,Ж%d of %d products are not loaded
MsgScreenAllOfferTransactionsAreSentServer,ЖAll offer transactions are sent to the server.
MsgScreen1OfferTransactionStillNotSentServer,Ж1 offer transaction is still not sent to the server.
MsgScreenFewOfferTransactionsStillNotSentServer,Ж%d offer transactions are still not sent to the server.
MsgScrOrderSelect,ЖSelect
MsgScrOrderTitle,ЖTitle
MsgScrOrderInformation,ЖInformation
MsgScrOrderOrderIsOpen,ЖOrder is open on %@.  Please close it to modify.
MsgScrOrderProductName,ЖProduct Name
MsgScrOrderSeat3,ЖSeat 3
MsgScrOrderCourse1,ЖCourse 1
MsgScrOrderMainMenu,ЖMain Menu
MsgScrOrderOrderOverview,ЖOrder Overview
MsgScrOrderOrder,ЖOrder #
MsgScrOrderYourBalanceIs,ЖYour balance is
MsgScrOrderSelectHotspotDuration,ЖSelect Hotspot Duration
MsgScrOrderHotspotError,ЖHotspot Error
MsgScrOrderFailedGetCodeHotspot,ЖFailed to get code from hotspot.
MsgScrOrderCardAttachedOrder,ЖCard Attached to Order
MsgScrOrderCardCantAttachedOrder,ЖCard cannot be attached to the order.
MsgScrOrderEmailSent,ЖEmail Sent
MsgScrOrderOrdersOutForDelivery,ЖOrders Out for Delivery
MsgScrOrderDolAmount,Ж$ Amount
MsgScrOrderStreet,ЖStreet
MsgScrOrderOutTime,ЖOut Time
MsgScrOrderDriverName,ЖDriver Name
MsgScrOrderChangeDriver,ЖChange Driver
MsgScrOrderASSIGNDRIVER,ЖASSIGN DRIVER
MsgScrOrderOrdersAwaitingDelivery,ЖOrders Awaiting Delivery
MsgScrOrderCustomerName,ЖName
MsgScrOrderZip,ЖZip
MsgScrOrderTimeOrdered,ЖTime Ordered
MsgScrOrderSetAttributes,ЖSet Attributes
MsgScrOrderSetAutoGratuity,ЖSet Auto Gratuity
MsgScrOrderAutoGratuityOnOff,ЖAuto Gratuity On/Off:
MsgScrOrderSetGratuity,ЖSet Gratuity %:
MsgScrOrderHold,ЖHold
MsgScrOrderMore,ЖMore
MsgScrOrderStopped,ЖStopped
MsgScrOrderOrderSummary,ЖOrder Summary
MsgScrOrderSubtotal,ЖSubtotal
MsgScrOrderDue,ЖDue
MsgScrOrderTotalDue,ЖTotal Due:
MsgScrOrderBalance,ЖBalance:
MsgScrOrderChange,ЖChange:
MsgScrOrderSettings,ЖSettings
MsgScrOrderBarcodeScanner,ЖBarcode Scanner
MsgScrOrderDeviceStatus,ЖDevice Status
MsgScrOrderExit,ЖExit
MsgScrOrderEnterCallNamePlease,ЖEnter call name please
MsgScrOrderNumber,ЖNumber :
MsgScrOrderName,ЖName:
MsgScrOrderExp,ЖExp:
MsgScrOrderAuth,ЖAuth #:
MsgScrOrder1Station,Ж1 Station
MsgScrOrderCustomerNameOrder ,ЖCustomer Name and Order 
MsgScrOrderApplyDiscount,ЖApply Discount
MsgScrOrderHelp,ЖHelp
MsgScrOrderRemoveItems,ЖRemove Items
MsgScrOrderThankYouApproved,ЖApproved.\nThank you!
MsgScrOrderNotManagersPIN,ЖPIN Entered is not a Manager PIN! Please try again!
MsgScrOrderReceiptManager,ЖReceipt Manager
MsgScrOrderSignHere,ЖSign Here
MsgScrOrderAgreementToPay,ЖI agree to pay the above total amount according to card issuer agreement.
MsgScrOrderHowToDeliveReceipt,ЖHow would you like the receipt delivered?
MsgScrOrderDoYouWantaReceipt,ЖWould you like a receipt?
MsgScrOrderTips,ЖTips
MsgScrOrderCannotAddOrderItem,ЖCannot update the item quantity because the item price has been changed. Please copy the item or add a new one.
MsgScrOrderNoOpenOrders,ЖNo open orders found.
MsgScrOrderExchangedItems,ЖExchanged Items:
MsgScrOrderAdjustCourseBuffer,ЖAdjust Course Buffer
MsgScrOrderOverrideAutoFireFeature,ЖThis will override the auto-fire feature.\n Remaining courses of this order must be sent manually.
MsgScrOrderSetTillBeforePerformAction,ЖThe till must be set before the\n desired action can be performed.
MsgScrOrderSetTillContactManager,ЖTill must be set.\nPlease contact your manager
MsgScrOrderSetCallNameBeforePerformAction,ЖA call name must be added before the\n desired action can be performed.
MsgScrOrderSetCustomerBeforePerformAction,ЖA customer must be added before the\n desired action can be performed.
MsgScrOrderSetDiningBeforePerformAction,ЖDining option must be added before the\n desired action can be performed.
MsgScrOrderSetSeatCountBeforePerformAction,ЖSeat count must be set before the\n desired action can be performed.
MsgScrOrderSetSerialBeforePerformAction,ЖItem(s) in this order require serial numbers before moving to the payment screen. Please either add serial numbers or select items for local delivery.
MsgScrOrderProductCannotBe,Ж%@ cannot be %@.
MsgScrOrderProductCannotBeRemoveTheseProducts,Ж%@ cannot be %@.  Remove these products from the order?
MsgScrOrderProductCannotBeRemoveThisProduct,Ж%@ cannot be %@.  Remove this product from the order?
MsgScrOrderDonationError,ЖError: Donations have been deactivated.\nPlease contact your manager.
BtnPromptGoToTill,ЖGo To Till
BtnPromptSelectCustomer,ЖSelect a\nCustomer
BtnPromptSelectCallName,ЖSelect a\nCall Name
BtnPromptAddSerialNumber,ЖAdd Serial Numbers
BtnPromptChooseItemsForLocalDelivery,ЖChoose Item(s) for Local Delivery
MsgLibAdyenVoidTransFailed,ЖFailed to Void Transaction
MsgLibAdyenVoidTrans,ЖVoid Transaction
MsgLibAdyenFailed,ЖFailed
MsgLibAdyenApproved,ЖApproved
MsgLibAdyenDeclined,ЖDeclined
MsgLibAdyenCancelled,ЖCancelled
MsgLibAdyenSignaturePrompt,ЖSignature Prompt
MsgLibIndexPayIndexRefundFailed,ЖIndex Refund Failed
MsgLibIndexWaitingForCustomerResponse,ЖWaiting for customer's response...
MsgLibIndexWaitingForCustomer,ЖWaiting for customer to confirm...
MsgLibIndexAskCustomerEnterEmail,ЖPlease ask customer to enter email address for rewards + receipt.
MsgLibIndexAskCustomerEnterEmailOrScan,ЖAsk customer to enter Email\nor\nScan Mobile QR.
MsgLibIndexFurtherActions,ЖFurther Actions
MsgLibIndexWaitingForPin,ЖWaiting for PIN from Display Unit...
MsgLibIndexChallengeQuestion,ЖChallenge Question
MsgLibIndexFailedToLogin,ЖFailed to Log In to Index.
MsgLibIndexFailedToPreview,ЖFailed to Preview
MsgLibIndexFailedToAttachLoyalty,ЖFailed to Attach Loyalty
MsgLibIndexFailedToCreateLoyalty,ЖFailed to Create Loyalty
MsgLibIndexEnterEmail,ЖEnter Email Address
MsgLibIndexEnterValidEmail,ЖEnter Valid Email Address
MsgLibIndexCancelTransactionConfirm,ЖCurrent payment will be cancelled. Are you sure?
MsgLibIndexSkipRewardsConfirm,ЖEmail address will not be attached. Are you sure?
MsgLibIndexIndexNotAllowed,ЖIndex is not allowed for this payment.
MsgLibIndexGratuityAmountExceed,ЖGratuity amount cannot exceed the receipt amount.
MsgLibIndexSimulateOffline,ЖSimulate Offline
MsgLibIndexPaymentIsNotAllowedInOffline,ЖThis payment not supported offline. Please try another payment method!
MsgLibIndexWrongQrCode,ЖWrong QR code.
MsgIndexError,ЖIndex Error
BtnSkipRewards,ЖSkip Rewards
ActionCreateLoyalty,ЖCreate Loyalty
ActionAttachLoyalty,ЖAttach Existing Loyalty
ActionContinue,ЖContinue
MsgLibInfineaTabBatteryCheck,ЖBattery Check
MsgLibInfineaTabCRITICALWARNING,ЖCRITICAL WARNING
MsgLibInfineaTabBatteryAt,ЖBattery at %d%%\nPlease charge the card swipe immediately or lose complete functionality of the swipe!
MsgLibInfineaTabDisconnected,ЖDisconnected
MsgLibStarPrinterError,ЖStar Printer Error
MsgLibStarIpAddrNotConf,ЖIP Address not Configured
MsgLibRBATryAgain,Ж348 - Try Again
MsgLibRBANoPinpad,ЖPinPad not connected!\nPlease log out and log in again.
MsgLibRBAProcessPINdata,ЖProcessing PinPad Data...
MsgLibQuestPayment,ЖQuest Payment
MsgLibQuestIsSignatureCorr,ЖIs the signature correct?
MsgLibBBPortablePrinterStatus,ЖPortable Printer Status
MsgLibBBP25iHasConn,ЖP25i is Connected
MsgLibBBP25iHasDisConn,ЖP25i is Disconnected
MsgLibBBPortablePrinterError,ЖPortable Printer Error
MsgLibBBP25iNotConn,ЖP25i is not Connected. Please check the cable.
MsgLibBBBusy,ЖBusy printing... Try again later...
MsgLibBBTextLength0,ЖNothing to print. Text length is ZERO.
MsgLibMagTekPortableCardSwipe,ЖPortable Card Swipe
MsgLibMagTekInitializing,ЖInitializing...
MsgLibMagTekAccessoryConn,ЖAccessory Connected
MsgLibMagTekDeviceConn,ЖDevice Connected
MsgLibMagTekDeviceDisconn,ЖDevice Disconnected
MsgLibMagTekMAGTEKERR,ЖMAGTEK ERROR
MsgLibMagTekFailedParseOfflData,ЖFailed to parse offline processor data.
MsgLibMagTekDeviceReady,ЖDevice Ready
MsgLibMagTekDeviceNotOpened,ЖDevice Not Opened
MsgLibMagTekDeviceNotConn,ЖDevice Not Connected
MsgLibMagTekOpenediDynamo,ЖOpened iDynamo
MsgLibMagTekOpeneduDynamo,ЖOpened uDynamo
MsgLibLevelUpLevelUpError,ЖLevelUp Error
MsgLibLevelUpTipOver100,ЖTip percentage exceeds 100%! Please rescan QR code!
MsgLibLevelUpTipWarn,ЖLevelUp Tip Warning
MsgLibLevelUpEnterQRCode,ЖEnter QR Code
MsgLibLevelUpScanQRCode,ЖPlease ask the customer to scan their QR Code now.
MsgLibLevelUpNoQRCodeScan,ЖNo QR Code scanned.
MsgLibLevelUpTransFailed,ЖTransaction failed! Try again or pay using a different method.
MsgLibLevelUpInvalidAuth,ЖInvalid Authentication
MsgLibLevelUpCheckMerchantFundedCredit,ЖChecking Merchant-Funded Credit available...
MsgLibLevelUpCheckCreditFail,ЖLevelUp check Credit Error
MsgLibLevelUpTokenFailed,ЖMerchant token is invalid or not valid for the chosen location
MsgLibLevelUpDiscount,ЖLevelUp discount
MsgLibLevelupTipOverError,ЖTip (%@) is over 100%% of spend value. Please contact LevelUp to correct this!
MsgLibLevelUpRefunding,ЖRefunding...
MsgLibLevelUpRefundError,ЖLevelUp unable to refund
MsgLibLevelUpGiftPaymentError,"ЖPlease use another form of payment for Gift card(cash, credit etc.)"
MsgLibKitchenNetStartFailed,ЖNetworking Start Failed
MsgLibKitchenItemsAreNotSent,ЖThe following orders were not sent:\n
MsgLibKitchenItemsAreNotRemoved,ЖThe following orders were not removed:\n
MsgLibKitchenFrom,Жfrom
MsgLibKitchenTo,Жto
MsgLibKitchenOrder,ЖOrder #
MsgUtilsViewRedeemCode,ЖRedeem Code
MsgUtilsViewEnterRedemptionCode,ЖEnter Redemption Code
MsgUtilsViewPassword,ЖPassword
MsgUtilsViewEnterPassword,ЖEnter Password
MsgUtilsViewEnterAManagerPINToApprove,ЖEnter a Manager PIN to approve.
MsgUtilsViewSwipeCardForLinkOrderToApprove,ЖPlease swipe a card to approve
MsgUtilsViewLinkCard,ЖLink Card
MsgUtilsViewFindPreAuthCard,ЖSearch For Linked Orders
MsgUtilsViewCardSwipeIsNotSetUp,ЖCard swipe is not set up for this station.
MsgUtilsViewSwipeCardForLinkOrder,ЖPlease swipe a card.
MsgUtilsViewLinkedFindNotFound,ЖLinked order not found.
MsgUtilsViewLineNr,Ж%s [Line %d] %@
MsgUtilsViewEatInOrder,ЖEat In Order
MsgUtilsViewEatInInvoice,ЖEat In Invoice
MsgUtilsViewEatIn,ЖEat In
MsgUtilsViewEatInWebOrder,ЖEat In Online Order
MsgUtilsViewEatInWebInvoice,ЖEat In Online Invoice
MsgUtilsViewToGoOrder,ЖTo Go Order
MsgUtilsViewToGoInvoice,ЖTo Go Invoice
MsgUtilsViewToGo,ЖTo Go
MsgUtilsViewToGoWebOrder,ЖTo Go Online Order
MsgUtilsViewToGoWebInvoice,ЖTo Go Online Invoice
MsgUtilsViewRetailOrder,ЖRetail Order
MsgUtilsViewRetailInvoice,ЖRetail Invoice
MsgUtilsViewRetailWebOrder,ЖRetail Online Order
MsgUtilsViewRetailWebInvoice,ЖRetail Online Invoice
MsgUtilsViewDelivery,ЖDelivery
MsgUtilsViewWebDelivery,ЖDelivery Online Order
MsgUtilsViewWebDeliveryInvoice,ЖDelivery Online Invoice
MsgUtilsViewCatering,ЖCatering
MsgUtilsViewWebCatering,ЖCatering Online Order
MsgUtilsViewWebCateringInvoice,ЖCatering Online Invoice
MsgUtilsViewDriveThru,ЖDrive Thru
MsgUtilsViewWebDriveThru,ЖDrive Thru Online Order
MsgUtilsViewWebDriveThruInvoice,ЖDrive Thru Online Invoice
MsgUtilsViewWebOrder,ЖOnline Order
MsgUtilsViewWebInvoice,ЖOnline Invoice
MsgUtilsViewOther,ЖOther
MsgUtilsViewWebOther,ЖOther Online Order
MsgUtilsViewWebOtherInvoice,ЖOther Online Invoice
MsgUtilsViewWebOnlineKitchen,ЖOnline
MsgDOMTotalOutstanding,ЖTotal Outstanding
MsgDOMRate,Ж%@ Rate
MsgDOMExchangeTotal,ЖExchange Total
MsgDOMReceiptTotal,ЖReceipt Total
MsgDOMReceiptSumTotal,ЖReceipt Sum Total
MsgDOMRewardSummary,ЖReward Summary
MsgDOMRewardCardNumber,ЖReward Card Number
MsgDOMRedeemAuthNumber,ЖRedeem Auth Number
MsgDOMAuthNumber,ЖAuth Number
MsgDOMCoupon,ЖCoupon
MsgDOMCouponAmount,ЖCoupon Amount
MsgDOMCouponUsed,ЖCoupon Used
MsgDOMRewardUsed,ЖReward Used
MsgDOMCustomerOwes,ЖCustomer Owes
MsgDOMAddAuthNumber,ЖAdd Auth Number
MsgDOMPointsEarned,ЖPoints Earned
MsgDOMTotalPoints,ЖTotal Points
MsgDOMCashEarned,ЖCash Earned
MsgDOMRewardBalance,ЖReward Balance
MsgDOMRewardCashBalance,ЖReward Cash Balance
MsgDOMTotalSaved,ЖTotal Saved
MsgDOMAdditionalPoints,Ж%.2f points needed to receive a %@ reward.
MsgDOMAdditionalVisits,Ж%d visits needed to receive a %@ reward.
MsgDOMExchanged,Ж[Exchanged]
MsgDOMExchangedWithDate,Ж[Exchanged %@]
MsgDOMTOTALREFUNDED,ЖTOTAL REFUNDED
MsgDOMVOIDED,ЖVOIDED
MsgDOMRETURNED,ЖRETURNED
MsgDOMCOMPS,ЖCOMPS
MsgDOMVOIDEDPAYMENTS,ЖVOIDED PAYMENTS
MsgDOMREFUNDEDPAYMENTS,ЖREFUNDED PAYMENTS
MsgDOMVOIDEDTRANSACTION,ЖVOIDED TRANSACTION
MsgDOMREFUNDEDTRANSACTION,ЖREFUNDED TRANSACTION
MsgDOMCourse,ЖCourse
MsgDOMItemToGo,Ж[Item to go]
MsgDOMNO,ЖNO
MsgDOMDeliveryDate,ЖDelivery Date
MsgDOMWaitingfor,ЖWaiting for
MsgDOMUser,ЖUser
MsgDOMPAYINRECEIPT,ЖPAY-IN RECEIPT
MsgDOMDrawerNumber,ЖDrawer Number
MsgDOMReason,ЖReason
MsgDOMPAYOUTRECEIPT,ЖPAY-OUT RECEIPT
MsgDOMFireCourse,ЖFire Course %d
MsgDOMGiftCard,ЖGift Card
MsgDOMCustPaid,ЖCust Paid
MsgDOMCustChange,ЖCust Change
MsgDOMTrans,ЖTrans
MsgDOMCard,ЖCard
MsgDOMCUTHERE,ЖCUT HERE
MsgDOMTotalOutst,ЖTotal Outst
MsgDOMREFUNDED,ЖREFUNDED
MsgDOMBREAKDOWN,ЖBREAKDOWN
MsgDOMCouldntBeAuth,Ж on order %@ could not be authorized for full amount.
MsgDOMCollectedSomeCouldnt,Ж\n%.2f was collected. %.2f could not be collected.
MsgDOMCaptureStatus,ЖCapture Status
MsgDOMTRAININGMODE,ЖTRAINING MODE
MsgREPRINT,ЖREPRINT
MsgCouponsError,ЖError
MsgCouponInvalidCoupon,ЖInvalid Coupon
MsgCouponScanCoupon,ЖScan Coupon
MsgCouponCampaignDateError,ЖCoupon start(end) date error
MsgApplyCoupon,ЖApply Coupon
MsgApplyCouponPRNotAllowed,ЖPR coupon is not available in this flow
MsgCouponIsNotAvailable,ЖCoupon is not available at this site.
MsgInventoryInventory,ЖInventory
MsgInventoryInventoryManagement,ЖInventory Management
MsgInventoryManageInventory,ЖManage Inventory
MsgInventoryItemNameInventory,Ж%@ Inventory
MsgInventorySReceived,Ж%.2f %@ Received.
MsgInventoryQuantityUnits,Ж%.2f %@
MsgInventoryProducts,ЖProducts
MsgInventoryPOs,ЖPOs
MsgInventoryPO's,ЖPO's
MsgInventoryManagePOs,ЖManage PO's
MsgInventoryCancel,ЖCancel
MsgInventoryScanBarcode,ЖScan Barcode
MsgInventoryPressScanButton,ЖPress Scan Button
MsgInventoryFetchingInventoryInformation,ЖFetching inventory information...
MsgInventoryFetchingInventoryInformationForDefaultItems,ЖFetching inventory information for key items...
MsgInventoryUpdatingInventoryInformation,ЖUpdating inventory information...
MsgInventoryStartingInventoryIsNow,"ЖStarting Inventory is now \""%.2f\"""
MsgInventoryCurrentInventory:,ЖCurrent Inventory:
MsgInventoryCurrentInventoryIs,"ЖCurrent Inventory is \""%.2f\"""
MsgInventoryCurrentInventoryis,"ЖCurrent Inventory is \""%.2f\""\n Actual Inventory is \""%.2f\"" \n Waste Loss Variance is \""%.2f\"" \n Waste Loss is \""%0.2f%%\"""
MsgInventoryProductWithEnteredBarcodeWasNotFound,ЖNo product matching barcode found.
MsgInventoryProduct,ЖProduct
MsgInventoryPOID#,ЖPO ID#
MsgInventorySelect,ЖSelect
MsgInventoryEnterPOID#,ЖEnter PO ID#
MsgInventoryEnterBarcode,ЖEnter Barcode
MsgInventoryTouchToSelectaPurchaseOrder,ЖTouch to Select a Purchase Order
MsgInventorySelectaPurchaseOrder,ЖSelect a Purchase Order
MsgInventoryTouchToSelect,ЖTouch to Select
MsgInventorySearch,ЖSearch
MsgInventorySubmit,ЖSubmit
MsgInventoryPurchaseOrderSearch,ЖPurchase Order Search
MsgInventoryProductSearch,ЖProduct Search
MsgInventoryNoMathesFound,ЖNo Matches Found.
MsgInventoryInventoryUpdated,ЖInventory Updated
MsgInventoryNothingUpdated,ЖNothing Updated
MsgInventoryInvUnitsAdded,Ж# Inv. Units\nAdded
MsgInventoryAdded,ЖAdded
MsgInventoryCurrentInventory,ЖCurrent\nInventory
MsgInventoryPOID,ЖPO ID
MsgInventoryPOIDNumber,ЖPO ID %d
MsgInventoryPOsIncluding,ЖPOs Including: %@
MsgInventoryPurchaseOrderID,ЖPurchase Order ID#
MsgInventoryVendorName,ЖVendor Name
MsgInventoryVendorInvoiceNumber,ЖVendor Invoice #
MsgInventoryDate,ЖDate
MsgInventoryItem,ЖItem
MsgInventoryCountDuplicates,"ЖFound %ld duplicates, they will be removed before submission"
MsgInventoryCurrent,ЖCurrent
MsgInventoryReceive,ЖReceive
MsgInventoryActual,ЖActual
MsgInventoryWaste,ЖWaste
MsgInventoryDamage,ЖDamage
MsgInventoryName,ЖName
MsgInventoryQuantity,ЖQuantity
MsgInventoryQty,ЖQty.
MsgInventoryUnit,ЖUnit
MsgInventoryClosed,ЖClosed
MsgInventoryRec,ЖRec.
MsgInventoryProductResultList,ЖProduct Result List
MsgInventorySelectProductOrIngredient,ЖSelect Product or Ingredient
MsgInventoryPleaseSelectUnit,ЖPlease Select a Unit
MsgInventoryPleaseSelectReason,ЖPlease Select a Reason
MsgInventoryMoreDetails,ЖMore Details
MsgInventoryIngredient,ЖIngredient
MsgInventoryObtainingPurchaseOrder,ЖObtaining purchase order...
MsgInventoryObtainingPurchaseOrders,ЖObtaining purchase orders...
MsgInventoryUpdateReceivedInfo,ЖUpdating received info...
MsgInventoryErrorOccurredFetchFailed,ЖInventory Fetching Failed!
MsgInventoryErrorOccurredInternet,ЖError occurred. Please check your internet connection!
MsgInventoryEnterAmount,ЖEnter Amount
MsgInventoryPriorInventory,ЖPrior Inventory (%@)
MsgInventoryActualInventory,ЖActual Inventory (%@)
MsgInventoryVariance,ЖVariance (%@)
MsgInventoryVariancePerc,ЖVariance (%%)
MsgInventoryReason,ЖReason
MsgInventoryEnterReason,ЖEnter Reason
MsgInventoryEnterCostPerUnit,ЖCost Per Unit
MsgInventoryNone,ЖNone
MsgInventoryUpdate,ЖUpdate
MsgInventoryUpdatePrice,ЖUpdate Price
MsgInventoryUpdateCost,ЖUpdate Cost
MsgInventoryPriceUpdated,ЖPrice Updated
MsgInventoryCostUpdated,ЖCost Updated
MsgInventoryNewPrice,ЖNew Price: %@
BtnShowResultsPrinterDetails,ЖPrint Details
BtnShowResultsPrinterSummary,ЖPrint Summary
MsgInventoryCurrentPrice,ЖCurrent Price: %@
MsgInventoryCurrentCost,ЖCurrent Cost: %@
MsgInventoryNewCost,ЖNew Cost: %@
MsgInventoryCurrent:,ЖCurrent: %@%@
MsgInventoryCurrentQuantityUnits,ЖCurrent: %.2f %@s
MsgInventoryThePriceOf,ЖThe price of %@ has been changed to %@. Please refresh other stations to distribute the change.
MsgInventoryTheCostOf,ЖThe cost of %@ has been changed to %@. Please refresh other stations to distribute the change.
MsgInventoryPrice,ЖPrice
MsgInventoryCost,ЖCost
MsgInventoryPleaseSpecifyReason,ЖPlease specify a reason
MsgInventoryPleaseCorrectQuantity,ЖPlease specify the correct quantity.
MsgInventoryNA,ЖN/A
MsgInventoryEnterSerialNumber,ЖEnter Serial Numbers\n(separated by new line)
MsgInventoryStatus,ЖStatus
MsgInventoryFilterBySerialNumber,ЖFilter by Serial Number
MsgInventorySerialNumber,ЖSerial Number
MsgInventorySerialNumbers,ЖSerial Number(s)
MsgInventoryFetchingSerialNumbers,ЖFetching Serial Number(s)...
MsgInventoryInStock,ЖIn Stock
MsgInventorySold,ЖSold
MsgInventoryWastage,ЖWastage
MsgInventoryEnsureThisValue,ЖEnsure the cost value is greater than 0.005.
MsgInventoryQuantityAndNumber,ЖInventory quantity and serial number count do not match.
MsgInventorySerialNumberAlreadyExists,ЖSerial number already exists.
MsgInventorySynchronize,ЖSynchronize
MsgInventoryScannedItemCannotBeAdded,ЖThe item has not been found and cannot be added to the order since it has already been paid.
MsgInventoryResultUnmatched,ЖUnmatched
MsgInventoryResultShrinkage,ЖShrinkage
MsgInventoryResultMatched,ЖMatched
MsgActualSerialResultsList,ЖActual Serial Results List
MsgInventoryResultReceive,ЖReceive?
MsgInventoryResultReceiveAll,ЖReceive All?
MsgInventoryResultWaste,ЖWaste?
MsgInventoryResultWasteAll,ЖWaste All?
MsgInventoryReadyForScanOrInput,ЖReady for scan or manual input
MsgInventoryEnteredSerialNumber,ЖEntered Serial #'s
MsgInventoryNoSelectingItems %@,ЖYou have not selected any %@ items. Proceed anyway?
MsgInventoryInputReason,ЖInput Reason
MsgInventoryReceivedSerialNumbers,ЖReceived
MsgInventoryWastedSerialNumbers,ЖWasted
MsgInventoryMatchedSerialNumbers,ЖMatched
MsgInventoryCheckingInventory,ЖChecking Inventory...
MsgInventorySerialNumberIs,Жwith serial number
MsgInventorySerialNumberSold,Жmarked as Sold
MsgInventorySerialNumberWastedV2,Жmarked as Wasted
MsgInventorySerialNumberNotMatches,Жdoes not exist in Inventory
MsgPunchhLoadConfigurationError,ЖLoad configuration error
MsgPunchhUserInfo,ЖPunchh User Information
MsgPunchhCreateUserInfo,ЖCreate Punchh User
MsgPunchhEnterUserInfo,ЖEnter Punchh User Information
MsgPunchhEnterPhoneEmailError,ЖYou should enter email or phone
MsgPunchhLookupByPhoneOrEmailError,ЖLookup by multiple params isn't supported.\nPlease use either phone/email/card
MsgPunchhFirstLastNameError,ЖYou should enter first or last name
MsgPunchhCustomerPhoneEmailError,ЖThe customer has no phone or email
MsgPunchhCustomerLookup,ЖPunchh user lookup...
MsgPunchhUserCreate,ЖCreate Punchh User
MsgPunchhLoadingUserRedemption,ЖLoading redemption information...
MsgPunchhLoadingUserVisitsRedemption,ЖLoading visits redemption information...
MsgPunchhRedemptionCode,ЖRedemption Code
MsgPunchhEnterRedemptionCode,ЖEnter Redemption Code
MsgPunchhRedemptionCodeError,ЖYou should enter Redemption Code
MsgPunchhApplyRedemption,ЖApplying discount...
MsgPunchhSuccessfullyRedeemed,ЖSuccessfully redeemed
MsgPunchhPoints,ЖPunchh points
MsgPunchhNoRedeemableRewards,ЖUser %@ %@ has no redeemable rewards
MsgPunchhCheckInUser,ЖCheckin customer...
MsgPunchhSendingOrder,ЖSending receipt details...
MsgPunchhSendingOrderError,ЖSending receipt fail
MsgPunchhSendingOrderSuccess,ЖSending receipt success
MsgPunchhBankedRewards,ЖBanked Reward
MsgPunchhUnredeemCards,ЖUnredeemed cards
MsgPunchhUserManage,ЖManage Punchh User
MsgPunchhNoRedeemableRewardsYes,ЖUser has no redeemable rewards
MsgPunchhUsers,ЖPunchh Loyalty Users
MsgPunchhReceipts,ЖPunchh Receipts
MsgPunchhCreateError,ЖUnable to create Punchh User\n.Unknown error.
MsgPunchhCreateRedemption,ЖUnable to create redemption.
MsgPunchhVoidDiscount,ЖVoid discount...
MsgPunchhRewardsAvailable,ЖBanked Rewards Available
MsgPunchhRedeemRewards,ЖRedeem Banked Rewards
MsgPunchhSelectItemError,ЖPlease select item
MsgPunchhRewardsAvailableCaption,ЖRewards Available
MsgPunchhSwipeOrScanTitle,ЖScan or Swipe
MsgPunchhReaderOrScannerWaiting,ЖWaiting for Scan or Swipe QR Code/Reward Card
MsgPunchhButtonCardOrQRCode,ЖQR Code/Card
MsgPunchhCaptionPoints,ЖPoints Balance
MsgPunchhRedeemCard,ЖRedeem Card
MsgPunchhPointsEarned,ЖYou have earned %@ points
MsgPunchhBankedRewardsEarned,ЖYou have earned %@ banked rewards
MsgPunchhVisitsEarned,ЖYou have earned 1 visit
MsgComoScannerWaiting,ЖWaiting for Scan Redeem Code
MsgComoVerificationCode,ЖVerification Code
MsgComoEnterRedeemCode,ЖEnter Redeem Code
MsgComoEnterVerificationCode,ЖEnter Verification Code
MsgComoUpdatingMemberInfo,ЖUpdating Member Info
MsgComoIdentifiedBy,ЖIdentified by:
MsgComoBudget,ЖComo Budget
MsgComoBudgetWeighted,ЖBudget Weighted
MsgComoNoGifts,ЖYou don't have gifts
MsgComoShowGifts,ЖShow Gifts
MsgComoUseCode,ЖUse Code
MsgComoPay,ЖPay with COMO
MsgComoValidUntil,ЖValid until
MsgComoTitleActions,ЖCOMO actions
MsgComoTitleSelectDiscount,ЖSelect discount
MsgComoVoidReason,ЖCOMO order update
MsgComoHudTextUpdatingMemberInfo,ЖUpdating Member Info
MsgComoHudTextGettingMemberInfo,ЖGetting Member Info
MsgComoHudTextGettingBenefits,ЖGetting Benefits
MsgComoHudTextApplyingRewards,ЖApplying Your Rewards
MsgComoItemCodeHasNotBeenApplied,ЖItem code %@ has not been applied
MsgComoDealCodeHasNotBeenApplied,ЖDeal code %@ has not been applied
MsgComoShowUnredeemable,ЖShow unredeemable
MsgComoUnredeemableGifts,ЖUnredeemable Gifts
MsgComoNoUnredeemableGifts,ЖYou don't have unredeemable gifts
