LocaleIdentifier,PL
MsgScrSettingsCaptureFailed,Przechwycenie nieudane
MsgScrSettingsTransactionCaptureFailed,Przechwycenie transakcji nieudane. Spróbuj ponownie później..
MsgScrSettingsCaptureAllStations,Przechwyć wszystkie stanowiska
MsgScrSettingsDoUWant2CaptueAllPayments,"Przechwycić wszystkie płatności ze wszystkich zsynchronizowanych stanowisk POS? Upewnij się, że inne stanowiska POS są aktywne i połączone z internetem."
MsgScrSettingsCaptureAllTransaction,Przechwyć wszystkie transakcje
MsgScrSettingsEnsureAllInfoIsCorr,"Przed uruchomieniem sprawdź, czy wszystkie informacje są poprawne. Operacja może zająć dużo czasu (w zależności od liczby transakcji i jakości połączenia z internetem).\n\nTransakcji do przechwycenia: %d.\n\nWykonać zadanie?"
MsgScrSettingsNothingToCapture,Brak elementów do przechwycenia
MsgScrSettingsCaptureAllCaptureView,Opcja 'Przechwyć wszystko' jest dostępna tylko na ekranie przechwytywania.
MsgScrSettingsNoPaymentsFound,Nie znaleziono płatności
MsgScrSettingsNrPayments,Płatności: %d
MsgScrSettingsCaptureAll,Przechwyć wszystko
MsgScrSettingsJobRequestAllSyncPosStations,Przesłano żądanie do wszystkich synchronizowanych stanowisk POS. Sprawdź stanowiska za kilka minut.
MsgScrSettingsLoading3Dots,Wczytywanie...
MsgScrSettingsLockedPreauthorization,Zablokowano autoryzację wstępną
MsgScrSettingsToBeCaptured,Do przechwycenia
MsgScrSettingsNotAccepted,"Nie zaakceptowano! Skontaktuj się z dostawcą usług płatniczych, aby przechwycić ręcznie."
MsgScrSettingsExccedAmount,Nie można przechwycić więcej niż %@!
MsgScrSettingsConfirmation,Potwierdzenie
MsgScrSettingsDeletePaymentFromBatch,Usuń płatność z grupy.
MsgScrSettingsLastStatus,Ostatni status:
MsgScrSettingsTipOVER25,Napiwek PRZEKRACZA 25%!
MsgScrSettingsTotal,Łącznie:
MsgScrSettingsTip,Napiwek:
MsgScrSettingsDisplayUnitSett,Ustawienia urządzenia wyświetlającego
MsgScrSettingsDisplayUnitWelcomeMess,Wiadomość powitalna na urządzeniu wyświetlającym:
MsgScrSettingsCustomWelcomeMess,Niestandardowa wiadomość powitalna:
MsgScrSettingsWelcome2ManagerSett,Witamy w ustawieniach menedżera
MsgScrSettingsEstablishment,Lokal
MsgScrSettingsPOSID,ID STACJI POS
MsgScrSettingsAdvanced,Zaawansowane
MsgScrSettingsAdvancedEmployeeLock,Pozwól pracownikom blokować iPady
MsgScrSettingsEnableCashRegisterMode,Włącz tryb kasy fiskalnej
MsgScrSettingsEnableTroubleshootMode,Włącz tryb rozwiązania problemów
MsgScrSettingsRecentLog,Rejestr płatności
MsgScrSettingsUploadToServer,Prześlij rejestry na serwer
MsgScrSettingsUploadLogs,Prześlij rejestry na serwer
MsgScrSettingsLastUploadDateLessMinuteAgo,Czas ostatniego przesyłania: mniej niż 1 min temu
MsgScrSettingsLastUploadDateMinutesAgo,Czas ostatniego przesyłania: %d min temu
MsgScrSettingsLastUploadDate,Czas ostatniego przesyłania: %@
MsgScrSettingsTroubleshootModeLogs,Rejestry trybu rozwiązania problemów
MsgScrSettingsCustomMenus,Ustawienia niestandardowego menu
MsgScrSettingsShowCustomMenus,Pokaż menu niestandardowe
MsgScrSettingsCustomMenu,Menu niestandardowe
MsgScrSettingsManualMenu,Ręczne menu
MsgScrSettingsPOSUIStyle,Styl POS UI
MsgScrSettingsPOSUIStyleRevelLight,Revel Light
MsgScrSettingsPOSUIStyleRevelDark,Revel Dark
MsgPopupIdleTimerTitle,Brak aktywności
MsgPopupIdleTimerMessage,Czy nadal tu jesteś?
MsgPopupStartOverTitle,Zacznij od nowa
MsgPopupStartOverConfirmation,Czy na pewno?
MsgPopupTransactionFailedMessage,"Naciśnij „Wstecz”, aby spróbować ponownie lub „Ręcznie”, aby wprowadzić dane karty ręcznie."
MsgPopupCashInformationIncompleteTitle,Niepełne dane.
MsgPopupCashInformationIncompleteMessage,"Wprowadź nazwisko, a następnie naciśnij Dalej."
MsgPopupEmailAddressIsNotValidTitle,Adres e-mail jest nieprawidłowy.
MsgPopupEmailAddressIsNotValidMessage,Sprawdź adres e-mail i spróbuj ponownie.
MsgPriceFree,Za darmo
MsgCustomize,Dostosuj
MsgPopupRequireGroupTitle,Niedokończony wybór
MsgPopupRequireGroupMessage,Wybierz: %@
BtnEditSpecialInstructions,Edytuj instrukcje specjalne
BtnAddSpecialInstructions,Dodaj instrukcje specjalne
MsgSubCategoryAll,Wszystko
MsgBagItemName,Torba
MsgProductInformation,Informacje: %@
MsgKioskSearchOrderMenu,Szukaj menu transakcji
MsgPopupGiftCardIncorrectTitle,Nieprawidłowy nr karty podarunkowej
MsgPopupGiftCardIncorrectMessage,Podany numer karty jest nieprawidłowy.
MsgProductAttributesSelect,Wybierz %@
MsgProductAttributesSelectAttrForProd,Wybierz %@ i %@ dla: %@
MsgProductAttributesSelectOneAttrForProd,Wybierz %@ dla: %@
MsgProductAttributesSelectMatrixAttributes,Proszę wybrać %@ i %@
MsgProductAttributesSelectMatrixOneAttribute,Proszę wybrać %@
MsgProductAttributesSelectMatrixAttrTitle,%@ atrybuty
MsgCallNamePressBackTextOrderScreen,"Lub naciśnij wstecz, aby powrócić do ekranu transakcji."
MsgCallNamePressBackTextPaymentOptions,"Lub naciśnij 'Wstecz', aby powrócić do opcji płatności."
MsgCallNameSkipGiftCardActivationText,Lub naciśnij dalej aby pominąć aktywację karty.
MsgModWindowPleasePickMod,Wybierz: %@.
MsgScrOrderKioskMyOrder,Moja transakcja
MsgScrOrderKioskDeleteItem,Usuń
MsgScrOrderKioskTitleWelcomeTo,Witamy w
MsgScrOrderKioskTitleTouchScreenToBegin,"Dotknij ekran, aby rozpocząć"
MsgScrCheckoutKioskTitleCheckoutAndPayment,Zamknięcie kasy i płatność
MsgScrCheckoutKioskTitleCheckout,Zamknięcie kasy
MsgScrCheckoutKioskReviewOrder,Przeglądaj transakjcę
MsgScrCheckoutKioskHaveDiscountCode,Posiadasz kod rabatowy?
MsgScrCheckoutKioskNeedBag,Potrzebuję torby!
MsgScrCheckoutKioskDontNeedBag,Nie potrzebuję torby.
MsgScrCheckoutKioskPrepareOptionHere,Na miejscu
MsgScrCheckoutKioskPrepareOrderFor,Przygotuj tą transakcję dla...
MsgScrCheckoutKioskBalanceDueIs,Twoja należność wynosi
MsgScrCheckoutKioskHowToPay,Jak chcesz zapłacić?
MsgScrCheckoutKioskPleaseSwipeCard,Przeciągnij swoją kartę.
MsgScrCheckoutKioskWouldLikeToAddTip,Czy chcesz dodać napiwek?
MsgScrCheckoutKioskEnterTipAmount,Wprowadź kwotę napiwku:
MsgScrCheckoutKioskOrChooseFromOptionsBelow,lub wybierz jedną z poniższych opcji.
MsgScrCheckoutKioskThankYouOrderPlaced,Dziękujemy! Zamówienie zostało złożone.
MsgScrCheckoutKioskCallName,Nazwa zamówienia:
MsgScrCheckoutKioskAmountCharged,Naliczona kwota:
MsgScrCheckoutKioskOrderTotal,Suma transakcji:
MsgScrCheckoutKioskSignBelow,Podpisz poniżej.
MsgScrCheckoutKioskEnterEmail,Wprowadź adres e-mail.
MsgScrCheckoutKioskEmailTitle,Email:
MsgScrCheckoutKioskEnterEmailHere,Tutaj wprowadź adres e-mail
MsgScrCheckoutKioskPurchaseDoneThankYouNote,Gotowe! Dziękujemy za korzystanie z naszych usług.
MsgScrCheckoutKioskReceiptSentTo,Rachunek został przesłany do...
MsgScrCheckoutKioskSwipeGiftCard,Przeciągnij kartę podarunkową lub wprowadź dane ręcznie.
MsgScrCheckoutKioskManualGiftCard,Proszę ręcznie wprowadzić kartę upominkową.
MsgScrCheckoutKioskGiftCardNo,Nr karty podarunkowej:
MsgScrCheckoutKioskEnterGiftCardNo,Wprowadź nr karty podarunkowej
MsgScrCheckoutKioskScanQRToPayWith,"Zeskanuj kod QR telefonem, aby zapłacić"
MsgScrCheckoutKioskOpenPayPalSearchForOurStore,"Otwórz aplikację PayPal, a następnie wyszukaj nasz sklep."
MsgScrCheckoutKioskSwipeSliderRight,Przesuń suwak w prawo.
MsgScrCheckoutKioskScanQRWithScanner,Zeskanuj kod QR skanerem.
MsgScrCheckoutKioskEnterCallName,Wprowadź nazwę zamówienia
MsgScrCheckoutKioskEnterCallNameHere,Tutaj wprowadź nazwę zamówienia
MsgScrCheckoutKioskProceedToPaymentStation,Przejdź do kasy.
MsgScrCheckoutKioskToCompleteOrder,w celu zrealizowania transakcji.
MsgScrCheckoutKioskCallNumber,Nr zamówienia:
MsgScrModifiersKioskHowMany,Ile?
MsgScrModifiersNoModifiersForProduct,Brak modyfikatorów dla tego towaru
MsgScrModifiersBasePrice,Cena podstawowa:
BtnModifiersSubPrice,Cena zastępcza
MsgScrModifiersExtras,Dodatki:
MsgScrModifiersPriceWithExtras,Cena z/ dodatkami:
MsgScrModifiersCustomized,Niestandardowa:
MsgScrModifiersSelectedModifiers,Wybrane modyfikatory
MsgScrModifiersTouchToJumpToCategory,"Dotknij, aby przejść do kategorii"
MsgScrMatrixPriceColon,Cena:
MsgScrMatrixSelectAttribute,Wybierz (atrybut)
BtnLanguage,Język
MsgSelectLanguage,Wybierz język
MsgChangingLanguage,Zmiana języka
MsgSelectWhereReceiptSent,Wybierz towar lub składnik
MsgSelectYourEmailTitle,Wybierz kasę
MsgScrSettingsAmount,Kwota:
MsgScrSettingsAmount2,Kwota
MsgScrSettingsEnterTransaction,Wprowadź nr transakcji
MsgScrSettingsManTransaction,Transakcja nr
MsgScrSettingsCreditApproved,Kredyt zatwierdzony
MsgScrSettingsCreditNotApproved,Kredyt niezatwierdzony
MsgScrSettingsUnexpectedPaymentProcessor,Nieoczekiwany dostawca usług płatniczych. Sprawdź ustawienia konsoli zarządzania.
MsgScrSettingsProcessingCredit,Przetwarzanie kredytu
MsgScrSettingsCreditAmountMustBeGreaterThan0,Kwota kredytu musi być większa niż ZERO.
MsgScrSettingsTransactionNotCaptured,Nie przechwycono transakcji
MsgScrSettingsNoTransactionNumberFound,Nie znaleziono numeru transakcji
MsgScrSettingsPleaseEnterTransactionNumber,Wprowadź numer transakcji.
MsgScrSettingsEnterAmountToCredit,Wprowadź kwotę kredytu:
MsgScrSettingsRefundTips,Zwróć napiwki
MsgScrSettingsDeleteLocks,Usuń blokady
MsgScrSettingsSelectUserLockPOS,"Wybierz użytkownika, którego dostęp do POS ma zostać ograniczony:"
MsgScrSettingsDeleteAllLocksPOS,Spowoduje to usunięcie wszystkich blokad POS. Czy na pewno?
MsgScrSettingsOwnersAndManagersCanLog,"Właściciele i menedżerowie mogą zawsze zalogować się, ale ich nazwiska nie będą tu widoczne.\nKucharze nie mogą logować się i ich nazwiska nie będą widoczne.\nMożna skonfigurować kilka blokad użytkowników."
MsgScrSettingsPINRole,"PIN: %@, Funkcja:"
MsgScrSettingsFailedDeleteUserLocks,Usuwanie blokad użytkowników nieudane.
MsgScrSettingsEnterPassword,Wprowadź hasło:
MsgScrSettingsTableFiltering,Filtrowanie tabeli:
MsgScrSettingsCheckNetwork2,Sprawdź sieć:
MsgScrSettingsDoNotPrintPinPadReceipts,Nie należy drukować paragonów pinpada:
MsgScrSettingsDateTouchEmployee,"Wybierz datę i pracownika, aby wydrukować."
MsgScrSettingsTillNotSet,Początkowa gotówka kasy nie została ustawiona. Przewidywane płatności od 3 nad ranem.
MsgScrSettingsNoCashWithdraw,Brak gotówki do wycofania z kasy.
MsgScrSettingsBankDropManager,Menedżer depozytu bankowego
MsgScrSettingsAmountTills,Kwota w kasach
MsgScrSettingsEnterAmount,Wpisz kwotę
MsgScrSettingsPrintEmptySafeDrop,Wydrukuj pusty paragon depozytu sejfu
MsgScrSettingsOpenCashDrawer,Otwórz szufladę kasową
MsgScrSettingsQuestQT720PinPad,Zadanie QT720 PinPad
MsgScrSettingsPinPadSerialNumber,Numer seryjny PinPad:
MsgScrSettingsPinPadKernelName,Nazwa kernelu PinPada:
MsgScrSettingsPinPadKernelVersion,Wersja kernelu PinPada:
MsgScrSettingsSerialboxStatus,Status adaptera portu szeregowego:
MsgScrSettingsCloudID,ID chmury:
MsgScrSettingsDebugLog,Dziennik debugowania
MsgScrSettingsConnected,Połączono
MsgScrSettingsFailedConnect,Łączenie nieudane
MsgScrSettingsNotConnected,Nie połączono
MsgScrSettingsPinPadconnectionTimeout,Przekroczenie czasu łączenia PinPada
MsgScrSettingsPinPadconnectionFailed,Błąd połączenia PinPada
MsgScrSettingsPinPadGotNegativeAckFromPinPad,Otrzymał negatywny ack from PinPad
MsgScrSettingsGettingPinPadInfo,Pobieranie danych PinPada
MsgScrSettingsLookPinPad,Sprawdź PinPada
MsgScrSettingsForce,Wymuś
MsgScrSettingsPaymentsProcessing,Przetwarzanie płatności
MsgScrSettingsStillOffline,Nadal offline. Sprawdź połączenie sieciowe.
MsgScrSettingsCashDrawerManagement,Zarządzanie kasami
MsgScrSettingsSetCashDrawer,Ustaw szufladę kasową
MsgScrSettingsPushNotifications,Prześlij powiadomienia
MsgScrSettingsOfflineCreditCardProcessingStart,Rozpocznij przetwarzanie kredytu offline
MsgScrSettingsOfflineCreditCardProcessingStop,Zatrzymaj przetwarzanie kredytu offline
MsgScrSettingsPaymentsSettings,Płatności
MsgScrSettingsDisplayUnitSettings,Urządzenie wyświetlające
MsgScrSettingsDisplayUnitSettingsTitle,Wiadomość powitalna na urządzeniu wyświetlającym
MsgScrSettingsDisplayUnitSettingsExplanation,"Ten komunikat pojawi się na urządzeniu wyświetlającym, za każdym razem gdy transakcja nie jest w toku."
MsgScrSettingsDisplayUnitSettingsEnterCustom,Wprowadź wiadomość niestandardową
MsgScrSettingsDisplayUnitSettingsCustomTitle,Wprowadź wiadomość niestandardową
MsgScrSettingsNetworkSyncFailureDetails,Szczegóły wysyłki
MsgScrSettingsNetworkSyncFailureDescription,Opis
MsgScrSettingsFailedLogout,Wylogowanie nieudane
MsgScrSettingsOrderIsStillOpen,Transakcja nr %@ jest nadal otwarta! Przed wylogowaniem zamknij transakcję.
MsgScrSettingsClockInClockOut2,Rozpocznij/zakończ zmianę
MsgScrSettingsDoYouWantToClokInOrOut,Chcesz rozpocząć czy zakończyć zmianę?
MsgScrSettingsManager,Menedżer
MsgScrSettingsSalesSummary,Podsumowanie sprzedaży
MsgScrSettingsPrinters,Drukarki
MsgScrSettingsTaxFree,Wolne od podatku
MsgScrSettingsTimeSchedule,Harmonogram
MsgScrSettingsRewardCards,Karty bonusowe
MsgScrSettingsDeclareTips,Zgłoś napiwki
MsgScrSettingsTipsProcessing,Przetwarzanie napiwków
MsgScrSettingsUpdateRPI,Zaktualizuj RPI
MsgScrSettingsShowRPIDevices,Pokaż urządzenia RPI
MsgScrSettingsStanfordCards,Karty Stanford
MsgScrSettingsWetstockManagement,Zarządzanie paliwem
MsgScrSettingsTipManagement,Zarządzanie napiwkiem
MsgScrSettingsStatusPage,Status strony ITL
MsgScreenAllOrdersAreSentServer,Wszystkie transakcje są wysyłane na serwer.
MsgScreenAllPaymentsAreSentPaymentProcessor,Wszystkie płatności są wysyłane do dostawcy usług płatniczych.
MsgScreen1OrderStillNotSentServer,1 transakcja nie została jeszcze przesłana na serwer.
MsgScreen1PaymentStillNotSentPaymentProcessor,1 płatność nie została jeszcze wysyłana do dostawcy usług płatniczych.
MsgScreenFewOrderStillNotSentServer,Transakcje nieprzesłane jeszcze na serwer: %d
MsgScreenFewOrdersFailedSentServer,"Transakcje, których nie udało się wysłać na serwer: %d."
MsgScreen1OrderFailedSentServer,1 transakcji nie udało się wysłać na serwer.
MsgScreenFewPaymentStillNotSentPaymentProcessor,Płatności niewysyłane jeszcze do dostawcy usług płatniczych: %d.
MsgScreenVersionInformation,Dane wersji
MsgScreenVersionEstabStation,Wersja: %@.%@\nID placówki: %d\nNazwa stanowiska: %@\n ID urządzenia: %@\n URL: %@
MsgScreenVersionEstablishmentStation,Wersja: %@\nID placówki: %d\nNazwa stanowiska: %@\n ID urządzenia: %@\n URL: %@
MsgScreenCertificate,NTEP CC# 13-014
MsgScrPinWarningPosDisabledNoPaymentMessage,Stanowisko POS zostało wyłączone. Karta kredytowa została odrzucona. Wprowadź do systemu nową kartę lub zadzwoń do działu pomocy.
MsgScrPinWarningPosWillBeDisabledWarning,Stanowisko zostanie wyłączone za %i godz. Musisz dokonać płatności za pomocą nowej karty kredytowej
MsgScreenProductsAreLoaded,%d do %d towarów nie jest załadowanych
MsgScreenAllOfferTransactionsAreSentServer,Wszystkie transakcje ofert są wysyłane do serwera.
MsgScreen1OfferTransactionStillNotSentServer,1 transakcja oferty wciąż nie jest wysyłana do serwera.
MsgScreenFewOfferTransactionsStillNotSentServer,%d transakcji ofert wciąż nie jest wysłana do serwera.
MsgScrOrderSelect,Wybierz
MsgScrOrderTitle,Tytuł
MsgScrOrderInformation,Informacje
MsgScrOrderOrderIsOpen,"Transakcja jest otwarta na %@. Proszę ją zamknąć, aby zmodyfikować"
MsgScrOrderProductName,Nazwa towaru
MsgScrOrderSeat3,Miejsce 3
MsgScrOrderCourse1,Danie 1
MsgScrOrderMainMenu,Menu główne
MsgScrOrderOrderOverview,Podgląd transakcji
MsgScrOrderOrder,Nr transakcji
MsgScrOrderYourBalanceIs,Twój balans wynosi
MsgScrOrderSelectHotspotDuration,Wybierz czas trwania dla hotspotu
MsgScrOrderHotspotError,Błąd Hotspotu
MsgScrOrderFailedGetCodeHotspot,Nie udało się uzyskać kodu z hotspotu.
MsgScrOrderCardAttachedOrder,Karta dołączona do transakcji
MsgScrOrderCardCantAttachedOrder,Nie można powiązać karty z transakcją.
MsgScrOrderEmailSent,Wysłano Email
MsgScrOrderOrdersOutForDelivery,Zamówienia w drodze do odbiorcy
MsgScrOrderDolAmount,$ Kwota
MsgScrOrderStreet,Ulica
MsgScrOrderOutTime,Czas wysłania zamówienia
MsgScrOrderDriverName,Nazwisko kierowcy
MsgScrOrderChangeDriver,Zmień kierowcę
MsgScrOrderASSIGNDRIVER,PRZYPISZ KIEROWCĘ
MsgScrOrderOrdersAwaitingDelivery,Zamówienia oczekujące na dostawę
MsgScrOrderCustomerName,Nazwa
MsgScrOrderZip,Kod pocztowy
MsgScrOrderTimeOrdered,Czas zamówionych
MsgScrOrderSetAttributes,Ustaw atrybuty
MsgScrOrderSetAutoGratuity,Ustaw autom. napiwek
MsgScrOrderAutoGratuityOnOff,Autom. napiwek wł./wył.:
MsgScrOrderSetGratuity,Ustaw napiwek %:
MsgScrOrderHold,Wstrzymaj
MsgScrOrderMore,Więcej
MsgScrOrderStopped,Zatrzymane
MsgScrOrderOrderSummary,Podsumowanie transakcji
MsgScrOrderSubtotal,Podsuma
MsgScrOrderDue,Należność
MsgScrOrderTotalDue,Łączna należność:
MsgScrOrderBalance,Balans:
MsgScrOrderChange,Reszta:
MsgScrOrderSettings,Ustawienia
MsgScrOrderBarcodeScanner,Skaner kodów kreskowych
MsgScrOrderDeviceStatus,Status urządzenia
MsgScrOrderExit,Wyjście
MsgScrOrderEnterCallNamePlease,Wprowadź nazwę zamówienia
MsgScrOrderNumber,Numer:
MsgScrOrderName,Nazwa:
MsgScrOrderExp,Wygaśnięcie:
MsgScrOrderAuth,Nr autor.:
MsgScrOrder1Station,1 stacja
MsgScrOrderCustomerNameOrder ,Nazwisko klienta i transakcję 
MsgScrOrderApplyDiscount,Zastosuj rabat
MsgScrOrderHelp,Pomoc
MsgScrOrderRemoveItems,Usuń pozycje
MsgScrOrderThankYouApproved,Zatwierdzono.\nDziękujemy!
MsgScrOrderNotManagersPIN,Kod PIN nie jest PINem administratora! Proszę spróbuj ponownie!
MsgScrOrderReceiptManager,Menedżer pokwitowań
MsgScrOrderSignHere,Podpisz tutaj
MsgScrOrderAgreementToPay,Zgadzam się zapłacić powyższą łączną kwotę zgodnie z umową z wydawcą karty.
MsgScrOrderHowToDeliveReceipt,Jak chciałbyś mieć dostarczony rachunek ?
MsgScrOrderDoYouWantaReceipt,Czy chcesz otrzymać rachunek?
MsgScrOrderTips,Napiwki
MsgScrOrderCannotAddOrderItem,"Nie można zaktualizować ilości tej pozycji, ponieważ jej cena została zmieniona. Proszę skopiować daną pozycję lub dodać nową."
MsgScrOrderNoOpenOrders,Nie znaleziono otwartych transakcji.
MsgScrOrderExchangedItems,Wymienione pozycje:
MsgScrOrderAdjustCourseBuffer,Korekta zabezpieczenia dania
MsgScrOrderOverrideAutoFireFeature,Spowoduje to zastąpienie funkcji auto-rozpoczęcie.\n Pozostałe dania tej transakcji należy przesyłać ręcznie.
MsgScrOrderSetTillBeforePerformAction,Kasa musi być ustawiona przed\n wykonaniem wybranej operacji.
MsgScrOrderSetTillContactManager,Kasy muszą być ustawione.\nProszę skontaktować się ze swoim menedżerem
MsgScrOrderSetCallNameBeforePerformAction,Dodaj nazwę zamówienia przed\n wykonaniem wybranej operacji.
MsgScrOrderSetCustomerBeforePerformAction,Dodaj klienta przed\n wykonaniem wybranej operacji.
MsgScrOrderSetDiningBeforePerformAction,Opcja posiłku musi być dodana przed\n wykonaniem wybranej operacji.
MsgScrOrderSetSeatCountBeforePerformAction,Ilość miejsc musi być ustawiona przed\n wykonaniem wybranej operacji.
MsgScrOrderSetSerialBeforePerformAction,"Towar(y) w tej transakcji wymaga numerów seryjnych przed przejściem do ekranu płatności. Proszę albo dodać numery seryjne, albo wybierać pozycje dla lokalnej dostawy."
MsgScrOrderProductCannotBe,Dla %@ nie można wybrać %@.
MsgScrOrderProductCannotBeRemoveTheseProducts,Dla %@ nie można wybrać %@.  Usunąć towary z transakcji?
MsgScrOrderProductCannotBeRemoveThisProduct,Dla %@ nie można wybrać %@.  Usunąć towar z transakcji?
MsgScrOrderDonationError,Błąd: Wyłączono opcję datków.\nSkontaktuj się z menedżerem.
BtnPromptGoToTill,Przejdź do kasy
BtnPromptSelectCustomer,Wybierz\nklienta
BtnPromptSelectCallName,Wybierz\nnazwę zamówienia
BtnPromptAddSerialNumber,Dodaj nr seryjny
BtnPromptChooseItemsForLocalDelivery,Wybierz pozycję(e) dla lokalnej dostawy
MsgLibIndexWrongQrCode,Błędny kod QR.
MsgIndexError,Błąd indeksu
MsgLibStarPrinterError,Błąd drukarki Star
MsgLibStarIpAddrNotConf,Adres IP nie jest skonfigurowany
MsgLibMagTekPortableCardSwipe,Przenośny czytnik kart magnetycznych
MsgLibMagTekInitializing,Inicjalizacja...
MsgLibMagTekAccessoryConn,Akcesoria podłączone
MsgLibMagTekDeviceConn,Urządzenie podłączone
MsgLibMagTekDeviceDisconn,Urządzenie odłączone
MsgLibMagTekMAGTEKERR,BŁĄD MAGTEK
MsgLibMagTekFailedParseOfflData,Nie udało się przetworzyć danych procesora w trybie offline.
MsgLibMagTekDeviceReady,Urządzenie gotowe
MsgLibMagTekDeviceNotOpened,Urządzenie nie otwarte
MsgLibMagTekDeviceNotConn,Urządzenie nie połączone
MsgLibMagTekOpenediDynamo,Otwarto iDynamo
MsgLibMagTekOpeneduDynamo,Otwarto uDynamo
MsgLibLevelUpCheckMerchantFundedCredit,Sprawdzanie dostępnych kredytów sfinansowanych przez handlowca...
MsgLibLevelUpCheckCreditFail,Błąd sprawdzenia kredytu LevelUp
MsgLibLevelUpTokenFailed,Token sprzedawcy jest nieprawidłowy lub nie jest ważny dla wybranej lokalizacji
MsgLibLevelUpDiscount,rabat LevelUp
MsgLibLevelupTipOverError,Napiwek (%@) wynosi ponad 100 %% wydanej wartości. Prosimy o kontakt z LevelUp w celu skorygowania tego!
MsgLibLevelUpRefunding,Refundacja...
MsgLibLevelUpRefundError,LevelUp niezdolny do zwrotu
MsgLibLevelUpGiftPaymentError,"Proszę użyć innej formy płatności dla karty podarunkowej (gotówka, kredyt itd.)"
MsgLibLevelUpGiftCardRequest,Wprowadź numer karty podarunkowej legacy
MsgLibLevelUpGiftCardEnter,Proszę wprowadzić numer karty podarunkowej
MsgLibKitchenNetStartFailed,Tworzenie sieci nieudane
MsgLibKitchenItemsAreNotSent,Nie przesłano następujących transakcji:\n
MsgLibKitchenItemsAreNotRemoved,Nie usunięto następujących transakcji:\n
MsgLibKitchenFrom,od
MsgLibKitchenTo,do
MsgLibKitchenOrder,Nr transakcji
MsgUtilsViewRedeemCode,Wykorzystaj kod
MsgUtilsViewEnterRedemptionCode,Wprowadź wykorzystywany kod
MsgUtilsViewPassword,Hasło
MsgUtilsViewEnterPassword,Wprowadź hasło
MsgUtilsViewEnterAManagerPINToApprove,Wprowadź kod PIN menedżera aby zatwierdzić.
MsgUtilsViewSwipeCardForLinkOrderToApprove,Proszę przesuń kartę aby zatwierdzić
MsgUtilsViewLinkCard,Powiąż kartę
MsgUtilsViewFindPreAuthCard,Szukaj powiązanych transakcji
MsgUtilsViewCardSwipeIsNotSetUp,Nie skonfigurowano terminalu dla tego stanowiska.
MsgUtilsViewSwipeCardForLinkOrder,Przeciągnij kartę.
MsgUtilsViewLinkedFindNotFound,Nie znaleziono powiązanej transakcji.
MsgUtilsViewLineNr,%s [wiersz %d] %@
MsgUtilsViewEatInOrder,Transakcja na miejscu
MsgUtilsViewEatInInvoice,Faktura – na miejscu
MsgUtilsViewEatIn,Na miejscu
MsgUtilsViewEatInWebOrder,Transakcja online na miejscu
MsgUtilsViewEatInWebInvoice,Faktura online – na miejscu
MsgUtilsViewToGoOrder,Transakcja na wynos
MsgUtilsViewToGoInvoice,Faktura – na wynos
MsgUtilsViewToGo,Na wynos
MsgUtilsViewToGoWebOrder,Transakcja na wynos online
MsgUtilsViewToGoWebInvoice,Faktura online – na wynos
MsgUtilsViewRetailOrder,Transakcja detaliczna
MsgUtilsViewRetailInvoice,Faktura detaliczna
MsgUtilsViewRetailWebOrder,Transakcja detaliczna online
MsgUtilsViewRetailWebInvoice,Detaliczna faktura online
MsgUtilsViewDelivery,Dostawa
MsgUtilsViewWebDelivery,Dostawa transakcji online
MsgUtilsViewWebDeliveryInvoice,Faktura dostawy online
MsgUtilsViewCatering,Catering
MsgUtilsViewWebCatering,Transakcja cateringowa online
MsgUtilsViewWebCateringInvoice,Faktura online – catering
MsgUtilsViewDriveThru,Dla zmotoryzowanych
MsgUtilsViewWebDriveThru,Transakcja Drive Thru online
MsgUtilsViewWebDriveThruInvoice,Faktura online – dla zmotoryzowanych
MsgUtilsViewWebOrder,Transakcja online
MsgUtilsViewWebInvoice,Faktura online
MsgUtilsViewOther,Inne
MsgUtilsViewWebOther,Inna transakcja online
MsgUtilsViewWebOtherInvoice,Faktura online – inne
MsgUtilsViewWebOnlineKitchen,Online
MsgDOMTotalOutstanding,Zaległe łącznie
MsgDOMRate,Stawka %@
MsgDOMExchangeTotal,Suma wymiany
MsgDOMReceiptTotal,Rachunek łącznie
MsgDOMReceiptSumTotal,Łączna suma na paragonie
MsgDOMRewardSummary,Podsumowanie bonusów
MsgDOMRewardCardNumber,Numer karty bonusowej
MsgDOMRedeemAuthNumber,Wykorzystaj nr autoryzacji
MsgDOMAuthNumber,Nr autoryzacji
MsgDOMCoupon,Kupon
MsgDOMCouponAmount,Kwota kuponu
MsgDOMCouponUsed,Wykorzystany kupon
MsgDOMRewardUsed,Wykorzystany bonus
MsgDOMCustomerOwes,Należność klienta
MsgDOMAddAuthNumber,Dodaj nr autoryzacji
MsgDOMPointsEarned,Otrzymane punkty
MsgDOMTotalPoints,Punkty łącznie
MsgDOMCashEarned,Zarobiona gotówka
MsgDOMRewardBalance,Saldo bonusów
MsgDOMRewardCashBalance,Saldo bonusów – gotówka
MsgDOMTotalSaved,Łącznie zaoszczędzono
MsgDOMAdditionalPoints,%.2f punktów potrzebne do otrzymania %@ nagrody.
MsgDOMAdditionalVisits,"%d wizyt potrzebnych, aby otrzymać %@ nagrodę."
MsgDOMExchanged,[Zamieniono]
MsgDOMExchangedWithDate,[Wymienione %@]
