LocaleIdentifier,ET
MsgScrSettingsForce,Sunniviisiline
MsgScrSettingsPaymentsProcessing,Maksete töötlemine
MsgScrSettingsStillOffline,Endiselt võrguühenduseta. Kontrollige oma võrguühendust.
MsgScrSettingsCashDrawerManagement,Kassasahtlite haldus
MsgScrSettingsSetCashDrawer,Määra kassasahtel
MsgScrSettingsPushNotifications,Tõuketeatised
MsgScrSettingsOfflineCreditCardProcessingStart,Alusta krediidi offlain töötlemist
MsgScrSettingsOfflineCreditCardProcessingStop,Seiska krediidi offlain töötlemine
MsgScrSettingsPaymentsSettings,Maksed
MsgScrSettingsDisplayUnitSettings,Kuva üksus
MsgScrSettingsDisplayUnitSettingsTitle,Kuva üksuse tervitussõnum
MsgScrSettingsDisplayUnitSettingsEnterCustom,Sisestage kohandatud sõnum
MsgScrSettingsDisplayUnitSettingsCustomTitle,Sisestage kohandatud sõnum
MsgScrSettingsNetworkSyncFailureDetails,Kättetoimetamise üksikasjad
MsgScrSettingsNetworkSyncFailureDescription,Kirjeldus
MsgScrSettingsFailedLogout,Väljalogimine nurjus
MsgScrSettingsOrderIsStillOpen,Tellimus nr %@ on endiselt avatud! Sulgege tellimus enne väljalogimist.
MsgScrSettingsClockInClockOut2,Saabumine/lahkumine
MsgScrSettingsDoYouWantToClokInOrOut,Kas soovite saabuda või lahkuda?
MsgScrSettingsManager,Haldur
MsgScrSettingsSalesSummary,Müügikokkuvõte
MsgScrSettingsPrinters,Printerid
MsgScrSettingsTaxFree,Maksuvaba
MsgScrSettingsTimeSchedule,Ajagraafik
MsgScrSettingsRewardCards,Preemiakaardid
MsgScrSettingsDeclareTips,Deklareeri jootrahad
MsgScrSettingsTipsProcessing,Jootrahade töötlemine
MsgScrSettingsUpdateRPI,Uuenda RPI-d
MsgScrSettingsShowRPIDevices,Kuva RPI-seadmed
MsgScrSettingsStanfordCards,Stanfordi kaardid
MsgScrSettingsWetstockManagement,Kütuseinventari käitlemine
MsgScrSettingsTipManagement,Jootraha haldus
MsgScrSettingsStatusPage,Rahvusvahelise kaubanduse oleku lehekülg
MsgScreenAllOrdersAreSentServer,Kõik tellimused on teenindajale saadetud.
MsgScreenAllPaymentsAreSentPaymentProcessor,Kõik maksed on maksetöötlejale saadetud.
MsgScreen1OrderStillNotSentServer,1 tellimus on veel teenindajale saatmata.
MsgScreen1PaymentStillNotSentPaymentProcessor,1 makse on veel maksetöötlejale saatmata.
MsgScreenFewOrderStillNotSentServer,%d tellimust on veel teenindajale saatmata.
MsgScreenFewOrdersFailedSentServer,%d tellimuse serverisse saatmine nurjus.
MsgScreen1OrderFailedSentServer,1 tellimuse serverisse saatmine nurjus.
MsgScreenFewPaymentStillNotSentPaymentProcessor,%d makset on veel maksetöötlejale saatmata.
MsgScreenVersionInformation,Versiooniteave
MsgScreenVersionEstabStation,Versioon: %@.%@\nAsutuse ID: %d\nJaama nimi: %@\nSeadme ID: %@\n URL: %@
MsgScreenVersionEstablishmentStation,Versioon: %@\nEttevõtte ID: %d\nJaama nimi: %@\n Seadme ID: %@\n URL: %@
MsgScreenCertificate,NTEP CC# 13-014
MsgScrPinWarningPosDisabledNoPaymentMessage,"Kassajaam on keelatud. Teie krediitkaart on tagasi lükatud, sisestage süsteemi uus krediitkaart või võtke abi saamiseks toega ühendust."
MsgScrPinWarningPosWillBeDisabledWarning,"Teil on jäänud %i tundi, enne kui see jaam keelatakse. Peate makse tegema uue krediitkaardiga"
MsgScreenProductsAreLoaded,%d toodet %d tootest ei ole alla laaditud
MsgScreenAllOfferTransactionsAreSentServer,Kõik pakkumuse tehingud on saadetud serverile.
MsgScreen1OfferTransactionStillNotSentServer,1 pakkumuse tehing on senini serverisse saatmata.
MsgScreenFewOfferTransactionsStillNotSentServer,%d pakkumuse tehingut on senini serverisse saatmata.
MsgScrOrderSelect,Valige
MsgScrOrderTitle,Pealkiri
MsgScrOrderInformation,Teave
MsgScrOrderOrderIsOpen,Tellimuse avamisaeg: %@.  Muudatuste tegemiseks sulgege tellimus.
MsgScrOrderProductName,Toote nimi
MsgScrOrderSeat3,Koht 3
MsgScrOrderCourse1,Käik 1
MsgScrOrderMainMenu,Peamenüü
MsgScrOrderOrderOverview,Tellimuse ülevaade
MsgScrOrderOrder,Tellimuse nr
MsgScrOrderYourBalanceIs,Teie saldo on
MsgScrOrderSelectHotspotDuration,Valige tööpunkti kestus
MsgScrOrderHotspotError,Tööpunkti tõrge
MsgScrOrderFailedGetCodeHotspot,Koodi hankimine tööpunktist nurjus.
MsgScrOrderCardAttachedOrder,Kaart on tellimusele lisatud
MsgScrOrderCardCantAttachedOrder,Kaarti ei saa tellimusele lisada.
MsgScrOrderEmailSent,E-kiri on saadetud
MsgScrOrderOrdersOutForDelivery,Kohaletoimetatavad tellimused
MsgScrOrderDolAmount,Summa
MsgScrOrderStreet,Aadress
MsgScrOrderOutTime,Väljasoleku aeg
MsgScrOrderDriverName,Autojuhi nimi
MsgScrOrderChangeDriver,Vaheta autojuhti
MsgScrOrderASSIGNDRIVER,MÄÄRA AUTOJUHT
MsgScrOrderOrdersAwaitingDelivery,Kohaletoimetamise ootel tellimused
MsgScrOrderCustomerName,Nimi
MsgScrOrderZip,Sihtnumber
MsgScrOrderTimeOrdered,Tellimise aeg
MsgScrOrderSetAttributes,Määra atribuudid
MsgScrOrderSetAutoGratuity,Määra automaatne jootraha
MsgScrOrderAutoGratuityOnOff,Automaatne jootraha sees/väljas:
MsgScrOrderSetGratuity,Määra jootraha %:
MsgScrOrderHold,Ootele
MsgScrOrderMore,Rohkem
MsgScrOrderStopped,Peatatud
MsgScrOrderOrderSummary,Tellimuse kokkuvõte
MsgScrOrderSubtotal,Vahesumma
MsgScrOrderDue,Tasumata
MsgScrOrderTotalDue,Kokku tasumata:
MsgScrOrderBalance,Saldo:
MsgScrOrderChange,Tagasi:
MsgScrOrderSettings,Seaded
MsgScrOrderBarcodeScanner,Vöötkoodilugeja
MsgScrOrderDeviceStatus,Seadme olek
MsgScrOrderExit,Välju
MsgScrOrderEnterCallNamePlease,Sisestage kontaktisiku nimi
MsgScrOrderNumber,Number:
MsgScrOrderName,Nimetus:
MsgScrOrderExp,Aegub:
MsgScrOrderAuth,Aetuntimisnumber:
MsgScrOrder1Station,1 jaam
MsgScrOrderCustomerNameOrder ,Kliendi nimi ja tellimus
MsgScrOrderApplyDiscount,Kohalda hinnaalandust
MsgScrOrderHelp,Spikker
MsgScrOrderRemoveItems,Eemalda kaubaartiklid
MsgScrOrderThankYouApproved,Heakskiidetud.\nTäname!
MsgScrOrderNotManagersPIN,Sisestatud PIN-kood ei ole juhataja kood! Proovige uuesti!
MsgScrOrderReceiptManager,Kviitungungihaldur
MsgScrOrderSignHere,Allkirjastage siin
MsgScrOrderAgreementToPay,Nõustun maksma ülaltoodud kogusumma vastavalt kaardi väljastaja lepingule.
MsgScrOrderHowToDeliveReceipt,Millist kviitungi kohaletoimetamisviisi eelistate?
MsgScrOrderDoYouWantaReceipt,Kas soovite kviitungit?
MsgScrOrderTips,Jootrahad
MsgScrOrderCannotAddOrderItem,"Ei saa värskendada kaubaartikli kogust, kuna kaubaartikli hinda on muudetud. Tehke kaubaartiklist koopia või lisage uus kaubaartikkel."
MsgScrOrderNoOpenOrders,Avatud tellimusi ei leitud.
MsgScrOrderExchangedItems,Vahetatud artiklid:
MsgScrOrderAdjustCourseBuffer,Kohanda menüü puhvrit
MsgScrOrderOverrideAutoFireFeature,See tühistab auto-edastuse funktsiooni.\nJärelejäänud tellimuse käigud tuleb edastada käsitsi.
MsgScrOrderSetTillBeforePerformAction,Enne soovitud toimingu tegemist\ntuleb määrata kassa.
MsgScrOrderSetTillContactManager,Kassasahtel peab olema määratud.\nVõtke ühendust oma ülemusega
MsgScrOrderSetCallNameBeforePerformAction,Enne soovitud toimingu tegemist\ntuleb lisada kõne nimi.
MsgScrOrderSetCustomerBeforePerformAction,Enne soovitud toimingu tegemist\ntuleb lisada klient.
MsgScrOrderSetDiningBeforePerformAction,Soovitud toimingu teostamise võimaldamiseks\n tuleb eelnevalt lisada einestamise suvand.
MsgScrOrderSetSeatCountBeforePerformAction,Soovitud toimingu teostamise võimaldamiseks\n tuleb eelnevalt määrata istekohtade arv.
MsgScrOrderSetSerialBeforePerformAction,Selle tellimuse artikkel vajab (artiklid vajavad) enne makseekraanile liigutamist järjenumbreid. Lisage kas järjenumbrid või valige artiklid kohalikuks kättetoimetamiseks.
MsgScrOrderProductCannotBe,%@ ei saa olla %@.
MsgScrOrderProductCannotBeRemoveTheseProducts,%@ ei saa olla %@.  Kas eemaldada need tooted tellimuselt?
MsgScrOrderProductCannotBeRemoveThisProduct,%@ ei saa olla %@.  Kas eemaldada see toode tellimuselt?
MsgScrOrderDonationError,Tõrge. Annetused on inaktiveeritud.\nVõtke ühendust juhatajaga.
BtnPromptGoToTill,Minge kassasse
BtnPromptSelectCustomer,Valige\nklient
BtnPromptSelectCallName,Valige\nkõne nimi
BtnPromptAddSerialNumber,Lisage järjenumbrid
BtnPromptChooseItemsForLocalDelivery,Valige välja artikkel (artiklid) kohalikuks kättetoimetamiseks
MsgLibIndexWrongQrCode,Vale QR-kood.
MsgIndexError,Indexi tõrge
MsgLibStarPrinterError,Star-printeri tõrge
MsgLibStarIpAddrNotConf,IP-aadress pole konfigureeritud
MsgLibMagTekPortableCardSwipe,Portatiivne magnetkaardilugeja
MsgLibMagTekInitializing,Lähtestamine...
MsgLibMagTekAccessoryConn,Lisatarvik on ühendatud
MsgLibMagTekDeviceConn,Seade on ühendatud
MsgLibMagTekDeviceDisconn,Seadme ühendus on katkestatud
MsgLibMagTekMAGTEKERR,MAGTEKI TÕRGE
MsgLibMagTekFailedParseOfflData,Võrguühenduseta protsessoriandmete sõelumine nurjus.
MsgLibMagTekDeviceReady,Seade on valmis
MsgLibMagTekDeviceNotOpened,Seade pole avatud
MsgLibMagTekDeviceNotConn,Seade pole ühendatud
MsgLibMagTekOpenediDynamo,iDynamo on avatud
MsgLibMagTekOpeneduDynamo,uDynamo on avatud
MsgLibLevelUpCheckMerchantFundedCredit,Kaupmehe krediidi kontrollimine...
MsgLibLevelUpCheckCreditFail,LevelUp kontrolli krediidi viga
MsgLibLevelUpTokenFailed,Kaupmehe märgis on kehtetu või mittesobiv selles asukohas
MsgLibLevelUpDiscount,LevelUp allahindlus
MsgLibLevelupTipOverError,Jootraha (%@) on 100% rohkem kui arve summa. Palun kontakteeru LevelUp esindajaga!
MsgLibLevelUpRefunding,Hüvitise teostamine...
MsgLibKitchenNetStartFailed,Võrgukäivitus nurjus
MsgLibKitchenItemsAreNotSent,Järgmisi tellimusi ei saadetud:\n
MsgLibKitchenItemsAreNotRemoved,Järgmisi tellimusi ei eemaldatud:\n
MsgLibKitchenFrom,lähtekoht 
MsgLibKitchenTo,sihtkoht 
MsgLibKitchenOrder,Tellimuse nr
MsgUtilsViewRedeemCode,Lunastuskood
MsgUtilsViewEnterRedemptionCode,Sisestage lunastuskood
MsgUtilsViewPassword,Parool
MsgUtilsViewEnterPassword,Sisestage parool
MsgUtilsViewEnterAManagerPINToApprove,Kinnitamiseks sisestage juhataja PIN-kood.
MsgUtilsViewSwipeCardForLinkOrderToApprove,Kinnitamiseks tõmmake kaart kaardilugejast läbi
MsgUtilsViewLinkCard,Seo kaart
MsgUtilsViewFindPreAuthCard,Otsi seotud tellimusi
MsgUtilsViewCardSwipeIsNotSetUp,Magnetkaardilugeja pole selle jaama puhul seadistatud.
MsgUtilsViewSwipeCardForLinkOrder,Tõmmake kaart läbi lugeja.
MsgUtilsViewLinkedFindNotFound,Seotud tellimust ei leitud.
MsgUtilsViewLineNr,%s [Rida %d] %@
MsgUtilsViewEatInOrder,Kohapeal – tellimus
MsgUtilsViewEatInInvoice,Kohapeal – arve
MsgUtilsViewEatIn,Kohapeal
MsgUtilsViewEatInWebOrder,Kohapeal – veebitellimus
MsgUtilsViewEatInWebInvoice,Kohapeal – veebiarve
MsgUtilsViewToGoOrder,Kaasa – tellimus
MsgUtilsViewToGoInvoice,Kaasa – arve
MsgUtilsViewToGo,Kaasa
MsgUtilsViewToGoWebOrder,Veebitellimus
MsgUtilsViewToGoWebInvoice,Kaasa – veebiarve
MsgUtilsViewRetailOrder,Jaemüügi tellimus
MsgUtilsViewRetailInvoice,Jaemüügi arve
MsgUtilsViewRetailWebOrder,Jaemüügi veebitellimus
MsgUtilsViewRetailWebInvoice,Jaemüügi veebiarve
MsgUtilsViewDelivery,Kohaletoimetamine
MsgUtilsViewWebDelivery,Kohaletoimetamine – tellimus
MsgUtilsViewWebDeliveryInvoice,Kohaletoimetamine – veebiarve
MsgUtilsViewCatering,Toitlustamine
MsgUtilsViewWebCatering,Toitlustamine – veebitellimus
MsgUtilsViewWebCateringInvoice,Toitlustamine – veebiarve
MsgUtilsViewDriveThru,Autoteenindus
MsgUtilsViewWebDriveThru,Autoteenindus – veebitellimus
MsgUtilsViewWebDriveThruInvoice,Autoteenindus – veebiarve
MsgUtilsViewWebOrder,Veebitellimus
MsgUtilsViewWebInvoice,Veebiarve
MsgUtilsViewOther,Muu
MsgUtilsViewWebOther,Uus võrgutellimus
MsgUtilsViewWebOtherInvoice,Muu – veebiarve
MsgUtilsViewWebOnlineKitchen,Võrgus
MsgDOMTotalOutstanding,Kokku tasumata
MsgDOMRate,%@ määr
MsgDOMExchangeTotal,Vahetuse kogusumma:
MsgDOMReceiptTotal,Kviitung – kokku
MsgDOMReceiptSumTotal,Kviitung – vahesumma
MsgDOMRewardSummary,Preemiate kokkuvõte
MsgDOMRewardCardNumber,Preemiakaardi number
MsgDOMRedeemAuthNumber,Lunastamise aut.-number
MsgDOMAuthNumber,Aut.-number
MsgDOMCoupon,Kupong
MsgDOMCouponAmount,Kupong – summa
MsgDOMCouponUsed,Kupong – kasutatud
MsgDOMRewardUsed,Preemia – kasutatud
MsgDOMCustomerOwes,Kliendi võlgnevus
MsgDOMAddAuthNumber,Lisa aut.-number
MsgDOMPointsEarned,Teenitud punktid
MsgDOMTotalPoints,Kokku punkte
MsgDOMCashEarned,Teenitud raha
MsgDOMRewardBalance,Preemiasaldo
MsgDOMRewardCashBalance,Preemia rahaline saldo
MsgDOMTotalSaved,Kokku säästetud
MsgDOMAdditionalPoints,"%.2f punkti on vaja selleks, et saada %@ preemia."
MsgDOMAdditionalVisits,"%d külastust on tarvis selleks, et saada %@ preemia."
MsgDOMExchanged,[Vahetatud]
MsgDOMExchangedWithDate,[Vahetatud %@]
MsgDOMTOTALREFUNDED,KOKKU TAGASI MAKSTUD
MsgDOMVOIDED,ANNULLEERITUD
MsgDOMRETURNED,TAGASTATUD
MsgDOMCOMPS,KOONDID
MsgDOMVOIDEDPAYMENTS,ANNULLEERITUD MAKSED
MsgDOMREFUNDEDPAYMENTS,TAGASTATUD MAKSED
MsgDOMVOIDEDTRANSACTION,ANNULLEERITUD TEHINGUD
MsgDOMREFUNDEDTRANSACTION,TAGASTATUD TEHINGUD
MsgDOMCourse,Käik
MsgDOMItemToGo,[Üksus
MsgDOMNO,EI
MsgDOMDeliveryDate,Kohaletoimetamise kuupäev
MsgDOMWaitingfor,Ootel:
MsgDOMUser,Kasutaja
MsgDOMPAYINRECEIPT,SISSEMAKSEKVIITUNG
MsgDOMDrawerNumber,Sahtli number
MsgDOMReason,Põhjus
MsgDOMPAYOUTRECEIPT,VÄLJAMAKSEKVIITUNG
MsgDOMFireCourse,Alusta %d. käiku
MsgDOMGiftCard,Kinkekaart
MsgDOMCustPaid,Kliendi makstud
MsgDOMCustChange,Kliendile tagasi
MsgDOMTrans,Tehing
MsgDOMCard,Kaart
MsgDOMCUTHERE,LÕIKA SIIT
MsgDOMTotalOutst,Kokku tasumata
MsgDOMREFUNDED,TAGASI MAKSTUD
MsgDOMBREAKDOWN,KATKESTUS
MsgDOMCouldntBeAuth, tellimuse %@ puhul ei saanud täissumma ulatuses autoriseerida.
MsgDOMCollectedSomeCouldnt,Koguti %.2f. %.2f ei saanud koguda.
MsgDOMCaptureStatus,Hõive olek
MsgDOMTRAININGMODE,KOOLITUSREŽIIM
MsgREPRINT,PRINDI UUESTI
MsgCouponsError,Tõrge
MsgCouponInvalidCoupon,Kehtetu kupong
MsgCouponScanCoupon,Skanni kupong
MsgCouponCampaignDateError,Kupongi algus(lõpu-)kuupäeva viga
MsgApplyCoupon,Kohalda kupongi
MsgApplyCouponPRNotAllowed,PR kupong ei ole selles ringluses kasutatav
MsgCouponIsNotAvailable,Kupong ei ole sellel lehel saadaval.
MsgInventoryInventory,Laoseis
MsgInventoryInventoryManagement,Laoseisu haldamine
MsgInventoryManageInventory,Laohaldus
MsgInventoryItemNameInventory,%@: laoseis
MsgInventorySReceived,%.2f %@ vastu võetud.
MsgInventoryQuantityUnits,%.2f %@
MsgInventoryProducts,TOOTED
MsgInventoryPOs,Ostutellimused
MsgInventoryPO's,Ostutellimused
MsgInventoryManagePOs,Ostutellimuste haldamine
MsgInventoryCancel,Tühista
MsgInventoryScanBarcode,Skannige vöötkood
MsgInventoryPressScanButton,Vajutage nuppu Skanni
MsgInventoryFetchingInventoryInformation,Laoseisuteabe toomine...
MsgInventoryFetchingInventoryInformationForDefaultItems,Laoseisuteabe toomine põhiüksuste kohta...
MsgInventoryUpdatingInventoryInformation,Laoseisuteabe uuendamine...
MsgInventoryStartingInventoryIsNow,"Algne laoseis on nüüd \""%.2f\"""
MsgInventoryCurrentInventory:,Praegune laoseis:
MsgInventoryCurrentInventoryIs,Praegune laoseis on %.2f
MsgInventoryCurrentInventoryis,"Praegune laoseis on \""%.2f\""\n Tegelik laoseis on \""%.2f\""\n Ülejäägi kao lahknevus on \""%.2f\""\n Ülejäägi kadu on \""%0.2f%%\"""
MsgInventoryProductWithEnteredBarcodeWasNotFound,Vöötkoodile vastavat toodet ei leitud.
MsgInventoryProduct,Toode
MsgInventoryPOID#,Ostutellimuse ID nr
MsgInventorySelect,Valige
MsgInventoryEnterPOID#,Sisestage ostutellimuse ID nr
MsgInventoryEnterBarcode,Sisestage vöötkood
MsgInventoryTouchToSelectaPurchaseOrder,Tarnetellimuse valimiseks puudutage
MsgInventorySelectaPurchaseOrder,Valige ostutellimus
MsgInventoryTouchToSelect,Valimiseks puudutage
MsgInventorySearch,Otsi
MsgInventorySubmit,Esita
MsgInventoryPurchaseOrderSearch,Tarnetellimuse otsing
MsgInventoryProductSearch,Toote otsing
MsgInventoryNoMathesFound,Vasteid ei leitud.
MsgInventoryInventoryUpdated,Laoseis on uuendatud
MsgInventoryNothingUpdated,Midagi ei uuendatud
MsgInventoryInvUnitsAdded,Laos. nr Lisatud\nühikuid
MsgInventoryAdded,Lisatud
MsgInventoryCurrentInventory,Praegune\nlaoseis
MsgInventoryPOID,Ostutellimuse ID
MsgInventoryPOIDNumber,Ostutellimuse ID %d
MsgInventoryPOsIncluding,Ostutellimused sis.: %@
MsgInventoryPurchaseOrderID,Ostutellimuse ID nr
MsgInventoryVendorName,Müüja nimi
MsgInventoryVendorInvoiceNumber,Tarnija arve nr
MsgInventoryDate,Kuupäev
MsgInventoryItem,Üksus
MsgInventoryCountDuplicates,"Leitud %ld duplikaati, need eemaldatakse enne dokumendi esitamist"
MsgInventoryCurrent,Praegune
MsgInventoryReceive,Vastuvõtt
MsgInventoryActual,Tegelik
MsgInventoryWaste,Kadu
MsgInventoryDamage,Kahjustus
MsgInventoryName,Nimi
MsgInventoryQuantity,Kogus
MsgInventoryQty,Kogus
MsgInventoryUnit,Ühik
MsgInventoryClosed,Suletud
MsgInventoryRec,Vast.
MsgInventoryProductResultList,Toote tulemuste loend
MsgInventorySelectProductOrIngredient,Valige toode või koostisaine
MsgInventoryPleaseSelectUnit,Valige ühik
MsgInventoryPleaseSelectReason,Valige põhjus
MsgInventoryMoreDetails,Rohkem üksikasju
MsgInventoryIngredient,Koostisaine
MsgInventoryObtainingPurchaseOrder,Ostutellimuse hankimine...
MsgInventoryObtainingPurchaseOrders,Ostutellimuste hankimine...
MsgInventoryUpdateReceivedInfo,Vastuvõetud teabe uuendamine
MsgInventoryErrorOccurredFetchFailed,Laoseisu toomine nurjus.
MsgInventoryErrorOccurredInternet,Ilmnes tõrge. Kontrollige internetiühendust.
MsgInventoryEnterAmount,Sisestage summa
MsgInventoryPriorInventory,Eelmine laoseis (%@)
MsgInventoryActualInventory,Tegelik laoseis (%@)
MsgInventoryVariance,Vahe (%@)
MsgInventoryVariancePerc,Vahe (%%)
MsgInventoryReason,Põhjus
MsgInventoryEnterReason,Sisestage põhjus
MsgInventoryEnterCostPerUnit,Kulu ühiku kohta
MsgInventoryNone,Puudub
MsgInventoryUpdate,Uuenda
MsgInventoryUpdatePrice,Server
MsgInventoryUpdateCost,Uuenda kulu
MsgInventoryAdjustCost,Kohandus-\nsumma
MsgInventoryPriceUpdated,Hind on uuendatud
MsgInventoryCostUpdated,Kulu on uuendatud
MsgInventoryNewPrice,Uus hind: %@
BtnShowResultsPrinterDetails,Prindi üksikasjad
BtnShowResultsPrinterSummary,Prindi kokkuvõte
MsgInventoryCurrentPrice,Praegune hind: %@
MsgInventoryCurrentCost,Praegune kulu: %@
MsgInventoryNewCost,Uus kulu: %@
MsgInventoryCurrent:,Praegune: %@%@
MsgInventoryCurrentQuantityUnits,Praegune: %.2f %@s
MsgInventoryThePriceOf,Üksuse %@ hind on muudetud väärtusele %@%. Värskendage selle muudatuse levitamiseks teisi jaamu.
MsgInventoryTheCostOf,Üksuse %@ kulu on muudetud väärtusele %@%. Värskendage selle muudatuse levitamiseks teisi jaamu.
MsgInventoryPrice,Hind
MsgInventoryCost,Kulu
MsgInventoryPleaseSpecifyReason,Määrake põhjus
MsgInventoryPleaseCorrectQuantity,Määrake õige kogus.
MsgInventoryNA,Puudub
MsgInventoryEnterSerialNumber,Sisestage seerianumbrid\n(eraldi ridadele)
MsgInventoryStatus,Olek
MsgInventoryFilterBySerialNumber,Filtreeri seerianumbri järgi
MsgInventorySerialNumber,Seerianumber
MsgInventorySerialNumbers,Seerianumber (-numbrid)
MsgInventoryFetchingSerialNumbers,Seerianumbri(te) toomine...
MsgInventoryInStock,Laos
MsgInventorySold,Müüdud
MsgInventoryWastage,Kadu
MsgInventoryEnsureThisValue,"Veenduge, et kulu väärtus oleks vähemalt 0,0001."
MsgInventoryQuantityAndNumber,Laoseisu kogus ja seerianumbri arv ei kattu.
MsgInventorySerialNumberAlreadyExists,Seerianumber on juba olemask.
MsgInventorySynchronize,Ühtlusta
MsgInventoryScannedItemCannotBeAdded,"Kaubaartiklit ei leitud ning ega saa tellimusele lisada, kuna selle eest on juba tasutud."
MsgInventoryResultUnmatched,Vastavuseta
MsgInventoryResultShrinkage,Puudujääk
MsgInventoryResultMatched,Vastavuses
MsgActualSerialResultsList,Tegelik partii tulemuste loend
MsgInventoryResultReceive,Kasseerin sisse?
MsgInventoryResultReceiveAll,Kasseerin kõik sisse?
MsgInventoryResultWaste,Ülejääkidesse?
MsgInventoryResultWasteAll,Kõik ülejääkidesse?
MsgInventoryReadyForScanOrInput,Skaneerimiseks või käsitsi sisestamiseks valmis
MsgInventoryEnteredSerialNumber,Sisestatud seerianumbri
MsgInventoryNoSelectingItems %@,Te pole valinud ühtegi %@ kaubaartiklit. Kas jätkate sellegipoolest?
MsgInventoryInputReason,Sisestuspõhjus
MsgInventoryReceivedSerialNumbers,Saadud
MsgInventoryWastedSerialNumbers,Kahjud
MsgInventoryMatchedSerialNumbers,Vastavuses
MsgInventoryCheckingInventory,Laoseisu kontrollimine...
MsgInventorySerialNumberIs,seerianumbriga
MsgInventorySerialNumberSold,märgitud kui Müüdud
MsgInventorySerialNumberWastedV2,märgitud kui Kahjud
MsgInventorySerialNumberNotMatches,puudub laost
MsgPunchhLoadConfigurationError,Laadimiskonfiguratsiooni viga
MsgPunchhUserInfo,Punchhi kasutaja andmed
MsgPunchhCreateUserInfo,Loo Punchhi kasutaja
MsgPunchhEnterUserInfo,Sisesta Punchhi kasutaja andmed
MsgPunchhEnterPhoneEmailError,Peaksite sisestama meiliaadressi või telefoninumbri
MsgPunchhLookupByPhoneOrEmailError,"Mitme parameetri järgi otsingut ei toetata.\nKasutage kas telefoninumbrit, meiliaadressi või kaardinumbrit"
MsgPunchhFirstLastNameError,Peaksite sisestama ees- või perekonnanime
MsgPunchhCustomerPhoneEmailError,Kliendil pole telefoni ega elektronposti aadressi
MsgPunchhCustomerLookup,Punchhi kasutaja otsing...
MsgPunchhUserCreate,Loo Punchhi kasutaja
MsgPunchhLoadingUserRedemption,Laadin lunastamisandmeid...
MsgPunchhLoadingUserVisitsRedemption,Külastuste hüvitise informatsiooni laadimine...
MsgPunchhRedemptionCode,Lunastuskood
MsgPunchhEnterRedemptionCode,Sisestage lunastuskood
MsgPunchhRedemptionCodeError,Peaksite sisestama digitaalse lunastuskoodi
MsgPunchhApplyRedemption,Kohaldan allahindlust...
MsgPunchhSuccessfullyRedeemed,Edukalt lunastatud
MsgPunchhPoints,Punchhi punktid
MsgPunchhNoRedeemableRewards,Kasutajal %@ %@ ei ole lunastatavaid preemiaid
MsgPunchhCheckInUser,Registreerin klienti...
MsgPunchhSendingOrder,Saadan kviitungi üksikasju...
MsgPunchhSendingOrderError,Saadan kviitungi faili
MsgPunchhSendingOrderSuccess,Kviitungi saatmine õnnestus
MsgPunchhBankedRewards,Kasuta Banked preemiat
MsgPunchhUnredeemCards,Lunasta preemiad
MsgPunchhUserManage,Halda Punchhi kasutajat
MsgPunchhNoRedeemableRewardsYes,Kasutajal ei ole lunastatavaid preemiaid 
MsgPunchhUsers,Punchhi püsikliendist kasutajad
MsgPunchhReceipts,Punchhi kviitungid
MsgPunchhCreateError,Punchhi kasutajat ei saanud luua\n.Tundmatu tõrge.
MsgPunchhCreateRedemption,Hüvitise loomine nurjus.
MsgPunchhVoidDiscount,Tühista allahindlus...
MsgPunchhRewardsAvailable,Banked preemia saadaval
MsgPunchhRedeemRewards,Kasuta Banked preemiat
MsgPunchhSelectItemError,Valige
MsgPunchhRewardsAvailableCaption,Kasutatavad preemiad
MsgPunchhSwipeOrScanTitle,Preemiakaardi skannimine või tõmme
MsgPunchhReaderOrScannerWaiting,Preemiakaardi skannimine või tõmme
MsgPunchhCaptionPoints,Punktisaldo
MsgPunchhRedeemCard,Lunasta preemia
MsgPucnhhBankedRewardsPointsEarnedMessage,Teil on kohtumine.
MsgComoBenefitCanNotBeApplied,Kaarti ei saa tellimusele lisada.
MsgPriceCheckerPlaceholder,Sisestage otsisõna
MsgPriceCheckerNotFound,Toodet ei leitud
MsgEmailSendConfirmTitle,E-posti kinnitamine
MsgEmailSendConfirmMessage,Teie kviitung saadetakse järgmisele e-posti aadressile:
BtnEmailSendConfirmChangeEmail,Muuda e-posti
MsgReceiptlessReturnsReturns,Tagastatud kaup
MsgReceiptlessReturnsItemsHeader,Kviitungita tagastamine
MsgReceiptlessReturnsItemReturnedItems,Tagastatud kaubaartikkel(-artiklid)
MsgReceiptlessReturnsItemQty,Kogus
MsgReceiptlessReturnsItemInventory,Laoseis
MsgReceiptlessReturnsItemReturn,Eemalda
MsgReceiptlessReturnsItemSearchPlaceholder,Laoseis
MsgReceiptlessReturnsItemTax,Maks
MsgReceiptlessReturnSummaryHeader,Tagastamise kokkuvõte
MsgReceiptlessReturnSummaryAttachCustomer,Lisa\nklient
MsgReceiptlessReturnSummaryPrice,Hind
MsgReceiptlessReturnSummaryTotal,Kokku:
MsgReceiptlessReturnSummaryCash,Sularaha
MsgReceiptlessReturnSummaryStoreCredit,Krediit
MsgReceiptlessReturnSummaryPriceReturn,Tagasi
MsgReceiptlessReturnSummarySetTenderType,Tellimuse liik:
MsgReceiptlessReturnSummaryCustomer,Klient:
