LocaleIdentifier,LT
MsgScrSettingsPOSSettingsRFIDReaders,RFID skaitytuvai
MsgScrSettingsPOSSettingsScanners,Skaitytuvai
MsgScrSettingsPOSSettingsSecondaryScanners,Papildomi skaitytuvai
MsgScrSettingsPOSSettingsCoinDispensers,Monetų skirstytuvai
MsgScrSettingsTroubleshootMode,Trikčių šalinimo veiksena
MsgScrSettingsDiagnosticTool,Diagnostikos įrankis
MsgScrSettingsDiagnosticsTitle,Diagnostika
MsgScrSettingsTroubleshootPingStatus,Ryšio užklausos (Ping) būsena
MsgScrSettingsDeviceIpAddress,IP adresas
MsgScrSettingsDeviceIpAddressColon,IP adresas:
MsgScrSettingsDeviceTitlePlural,Įrenginiai
MsgScrSettingsDeviceAppVersion,(%@ versija)
MsgScrSettingsPosStationTitlePlural,POS terminalai
MsgScrSettingsConnectionTestPlural,Jungtys
MsgScrSettingsTroubleshootPacketsTitle,Paketai
MsgScrSettingsTroubleshootPacketsSent,Išsiųsta:
MsgScrSettingsTroubleshootPacketsReceived,Gauta:
MsgScrSettingsTroubleshootPacketsTimeouts,"Kartai, kai baigėsi ryšio laikas:"
MsgScrSettingsTroubleshootPacketsErrors,Triktys:
MsgScrSettingsTroubleshootPacketsAVGPingTime,Vid. ryšio su „Ping“ trukmė
MsgScrSettingsTroubleshootPacketsLatencyInformation,Gaišties informacija
MsgScrSettingsTroubleshootSyncingOrders,Sinchronizuojami užsakymai.
MsgScrSettingsTroubleshootInternetStatus,Interneto būsena:
MsgScrSettingsTroubleshootDeviceReachableNoResponse,"IP adresas pasiekiamas, bet įrenginys nereaguoja."
MsgScrSettingsTroubleshootDeviceNotReachable,nepasiekiamas
MsgScrSettingsTroubleshootLocalSyncOff,Išjungti sinchronizavimo vietiniame terminale parinktį
MsgScrSettingsTroubleshootCurrentDevice,Šis įrenginys
MsgScrSettingsTroubleshootInternetStatusGood,Gerai!
MsgScrSettingsTroubleshootInternetStatusSlow,Lėtas
MsgScrSettingsTroubleshootInternetStatusBadDNS,Bloga DNS
MsgScrSettingsTroubleshootInternetStatusNoInternet,Nėra interneto
MsgScrSettingsTroubleshootNetworkStatusBadWifi,Blogas Wi-Fi ryšys! Patikrinkite Wi-Fi ryšį.
MsgScrSettingsTroubleshootNetworkStatusPoorWifi,Silpnas Wi-Fi ryšys! Patikrinkite Wi-Fi signalą.
MsgScrSettingsTroubleshootNetworkStatusCableProblem,Laido triktis! Patikrinkite %@ spausdintuvo laidus.
MsgScrSettingsTroubleshootConfirmResetDevice,Įrenginys bus nustatytas iš naujo. Tikrai norite tęsti?
MsgScrSettingsTroubleshootDeviceIsReseting,Įrenginys nustatomas iš naujo. Palaukite 30 sekundžių ir atnaujinkite.
MsgScrSettingsTroubleshootDeviceIsResetFail,Nepavyko nustatyti įrenginio iš naujo. Nustatykite įrenginį iš naujo jį išjungdami ir vėl įjungdami.
MsgScrSettingsTroubleshootModeConfirmOn,Bus įgalinta funkcija dalintis POS sistemos ekrano vaizdu. Ar tikrai to pageidaujate?
MsgScrSettingsTroubleshootModeConfirmOff,Įgalinta trikčių šalinimo veiksena. Ar tikrai norite išjungti?
MsgScrTroubleshootNotificationTroubleshooting,Trikčių šalinimas
MsgScrTroubleshootNotificationConnectionIpadBad,"„iPad“ neprijungtas prie tinklo ir todėl negali susisiekti su pagrindiniu POS terminalu. Prijunkite „iPad“ prie belaidžio ryšio prieigos taško. Jeigu „iPad“ yra prijungtas prie prieigos taško, bet vis dar neveikia, perkraukite jį."
MsgScrTroubleshootNotificationConnectionIpadGoodMainBad,"Pagrindinis „iPad“ neprijungtas prie tinklo. Vėl prijunkite pagrindinį „iPad“ prie belaidžio prieigos taško. Jeigu triktis kartojasi, perkraukite pagrindinį „iPad“."
MsgScrTroubleshootNotificationConnectionIpadGoodMainGood,"Pagrindinis „iPad“ yra pasiekiamas, taigi ryšys turi veikti. Jeigu triktis kartojasi, perkraukite pagrindinį „iPad“."
MsgScrTroubleshootNotificationConnectionIpadGoodMainPoor,"Pagrindinio „iPad“ ryšys su belaidžiu prieigos tašku yra blogas. Patikrinkite, ar juos skiria ne didesnis kaip 6 metrų atstumas ir tarp jų nėra kliūčių."
MsgScrTroubleshootNotificationConnectionIpadPoorMainBad,"Pagrindinis „iPad“ neprijungtas prie tinklo. Vėl prijunkite pagrindinį „iPad“ prie belaidžio prieigos taško. Jeigu triktis kartojasi, perkraukite pagrindinį „iPad“."
MsgScrTroubleshootNotificationConnectionIpadPoorMainGood,"Šio „iPad“ ryšys blogas. Patikrinkite, ar belaidis prieigos taškas yra 6 metrų atstumu nuo „iPad“ ir tarp jų nėra kliūčių. Pagrindinis „iPad“ yra pasiekiamas, taigi ryšys turi veikti."
MsgScrTroubleshootNotificationConnectionIpadPoorMainPoor,"Šio ir pagrindinio „iPad“ ryšys silpnas. Patikrinkite, ar belaidis prieigos taškas yra 20 metrų atstumu nuo šio bei nuo pagrindinio „iPad“ ir tarp jų nėra kliūčių."
BtnScrTroubleshootTestPacketsDrop,Paketų patikra
BtnScrTroubleshootTestAllHosts,Siųsti ryšio užklausą į visus pagrindinius kompiuterius
BtnScrTroubleshootTestSupportTitle,Pagalba
MsgScrTroubleshootTestPacketsDropNoConnection,"Šis pagrindinis „iPad“ neprijungtas prie tinklo. Prijunkite „iPad“ prie belaidžio ryšio prieigos taško. Jeigu „iPad“ yra prijungtas prie prieigos taško, bet vis dar neveikia, perkraukite jį."
MsgScrTroubleshootTestPacketsDropPoorConnection,"Šio „iPad“ ryšys su belaidžiu prieigos tašku yra silpnas. Patikrinkite, ar belaidis prieigos taškas yra 6 metrų atstumu nuo „iPad“ ir tarp jų nėra kliūčių."
MsgScrTroubleshootTestPacketsDropGoodConnection,Šio „iPad“ ryšys su belaidžiu prieigos tašku yra geras.
MsgScrTroubleshootTestPacketsDropTestingTitle,Tikrinama
MsgScrTroubleshootTestAllHosts,Tikrinti ryšį su visais pagrindiniais kompiuteriais
MsgScrTroubleshootTestHostReachable,Pasiekiamas
MsgScrTroubleshootTestHostNotReachable,Nepasiekiamas
MsgScrTroubleshootIpadTitle,„iPad“
MsgScrTroubleshootRouterTitle,Kelvedis
MsgScrTroubleshootInternetTitle,Internetas
MsgScrTroubleshootSortByStatus,Rūšiuoti pagal būseną
MsgScrTroubleshootSortByIp,Rūšiuoti pagal IP adresą
MsgScrTroubleshootTestComplete,Patikra baigta.
MsgScrTroubleshootResponesReceived,Gauta atsakų:
MsgScrTroubleshootNetworkSSID,Tinklo pavadinimas:
MsgScrTroubleshootContactSupportTitle,Kreiptis pagalbos
MsgScrTroubleshootSupportWebsiteTitle,Pagalbos svetainė:
MsgScrTroubleshootSupportWebsite,support.revelsystems.com
MsgScrTroubleshootSupportLineTitle,Visą parą veikianti pagalbos linija:
MsgScrTroubleshootSupportLineNumber,+370 5 2140138
MsgScrTroubleshootSupportOnboardingTitle,Linija naujiems klientams:
MsgScrTroubleshootSupportOnboardingNumber,+370 5 2140138
MsgScrTroubleshootSupportSubmitCaseQuestion,"Jeigu norite pateikti pagalbos prašymą, naudokite toliau esantį mygtuką „Pateikti bilietą“."
MsgScrTroubleshootSubmitSupportTicketTitle,Pateikti bilietą pagalbai gauti
MsgScrTroubleshootSubmitSupportTicketSubmittedText,"Jūsų prašymai mums labai svarbūs, todėl atsakysime kuo skubiau. Norėdami sužinoti apie prašymo vykdymo eigą, skambinkite bet kuriuo metu."
MsgScrTroubleshootSubmitSupportTicketSubmitFailed,Nepavyko pateikti bilieto. Patikrinkite „Wi-fi“ ryšį arba pamėginkite prašymą pateikti duomenų bazių serverio portale.
MsgScrTroubleshootSubmitTicketFieldsRequired,*Būtina užpildyti visus laukelius.
MsgScrTroubleshootSubmitTicketLetUsKnow,"Praneškite mums tiksliai, kas įvyko!"
MsgScrTroubleshootSubmitTicketFirstLastName,Vardas ir pavardė
MsgScrTroubleshootSubmitTicketYourEmail,Jūsų el. pašto adresas
MsgScrTroubleshootSubmitTicketContactPhone,Kontaktinis telefono nr.
MsgScrTroubleshootSubmitTicketYourRevelUrl,Jūsų URL / adresas sistemoje „RevelUp“
MsgScrTroubleshootSubmitTicketEstablishment,Įstaigos kodas
MsgScrTroubleshootSubmitTicketContactReason,"Priežastis, dėl kurios susisiekėte"
MsgScrTroubleshootSubmitTicketServiceType,Paslaugos tipas
MsgScrTroubleshootSubmitTicketIssueArea,Trikties pobūdis
MsgScrTroubleshootSubmitTicketIssueAreaSelect,Pasirinkti trikties pobūdį
MsgScrTroubleshootSubmitTicketMessageSubject,Pranešimo tema
MsgScrTroubleshootSubmitTicketTypeMessage,Rašyti pranešimą čia
MsgScrSettingsCheckSyncStatus,Tikrinti sinchr. būseną
MsgScrSettingsInventory,Aprašas
MsgScrSettingsSendNewProducts,Siųsti naujus produktus
MsgScrSettingsManagerSettings,Vadovo nuostatos
MsgScrSettingsBluetoothPrinting,Spausdinimas per „Bluetooth“
MsgScrSettingsCashCreditLog,Mokėjimų grynaisiais pinigais ir kreditinėmis kortelėmis žurnalas
MsgScrSettingsClockInClockOutOptions,Parinktys „Pradėti seansą“ / „Užbaigti seansą“
MsgScrSettingsSaveClockInPhotosLibrary,Įrašyti darbuotojų nuotraukas į nuotraukų biblioteką
MsgScrSettingsTills,Kasos terminalo stalčiai
MsgScrSettingsCurrentTill,Esamas kasos terminalo stalčius
MsgScrSettingsCashDrawers,Grynųjų pinigų stalčiai
MsgScrSettingsOfflineCreditCards,Nesinchronizuoti Mokėjimai kreditine kortele
MsgScrSettingsPaymentConfiguration,Mokėjimų konfigūracija
MsgScrSettingsSystemInfo,Sistemos informacija
MsgScrSettingsPrevailingTax,Vyraujantis mokestis
MsgScrSettingsTrainingMode,Mokymo veiksena
MsgScrSettingsEnableTrainingMode,Išjungti mokymo veikseną
MsgScrSettingsEnableTemplateTestMode,Įjungti mokymo veikseną
MsgScrSettingsTrainingTemplatesMode,Mokymo veiksena
MsgScrSettingsAutologout,Autom. atjungimas
MsgScrSettingsFonts,Šriftai
MsgScrSettingsProductBoxFontSize,Šrifto produkto langelyje dydis
MsgScrSettingsOptimizeLayout,Pritaikyti išdėstymą iPad Pro
MsgScrSettingsOptimizeLayoutInfo,"Prašome atsijungti nuo POS sistemos ir prisijungti iš naujo, kad pamatytumėte naują išdėstymą."
MsgScrSettingsNotCategorized,Nepriskirta jokiai kategorijai
MsgScrSettingsPrinting,Spausdinama.
MsgScrSettingsCardSwipeType,Kortelės skaitytuvo tipas
MsgScrSettingsVersion,Versija
MsgScrSettingsEstablishmentID,Pardavimo vietos kodas
MsgScrSettingsStationName,Kasos terminalo pavadinimas
MsgScrSettingsBackendTaxCurTax,"Mokesčiai duomenų bazėje: %.3f%%, dabartiniai mokesčiai: %.3f%%"
MsgScrSettingsTax,Mokesčiai
MsgScrSettingsSavePhotoPhotoLibrary,Įrašyti darbuotojų nuotraukas į nuotraukų biblioteką
MsgScrSettingsAllowEmployeesSetTills,Leisti darbuotojams nustatyti kasos terminalo stalčius
MsgScrSettingsAllowEmployeesSetCashDrawer,Leisti darbuotojams nustatyti grynųjų pinigų stalčių
MsgScrSettingsEnable2CashDrawers,Įgalinti 2 grynųjų pinigų stalčius
MsgScrSettingsDisableOfflineCreditCards,Išjungti mokėjimus kreditine kortele neprisijungus
MsgScrSettingsCreditCardConnectionTimeout,Kreditinės kortelės ryšio laikas (sek.)
MsgScrSettingsMaxTotalForAllUnprocessedOfflinePayments,"Didž. leistina bendra visų neapdorotų mokėjimų suma, dirbant atjungties veiks."
MsgScrSettingsMaxTotalForAllUnprocessedDeclinePayments,Didž. leistina bendra visų neapdorotų atmestų mokėjimų suma
MsgScrSettingsAcceptOfflineCC,Nesinchronizuoti Mokėjimai kreditine kortele
MsgScrSettingsMaxAmountForOfflinePayment,Didž. leistina mokėjimo suma dirbant atjungties veiksena
MsgScrSettingsPromptSetTills,Priminti nustatyti kasos terminalo stalčius
MsgScrSettingsAssignTillOwnership,Priskirti kasos valdytoją
MsgScrSettingsEnableTestMode,Įjungti mokymo veikseną
MsgScrSettingsKitchenPrintForTestMode,Spausd. virtuvėje
MsgScrSettingsTestModeIsOff,Bandymo veiksena išjungta.
MsgScrSettingsTimeoutValueShouldNotBeZero,Ryšio laikas negali būti lygus nuliui.
MsgScrSettingsAmountValueShouldNotBeZero,Suma negali būti lygi nuliui.
MsgScrSettingsTotalValueShouldNotBeZero,Bendra suma negali būti nulis.
MsgScrSettingsRestrictGiftCardAccess,Apribotos teisės įeiti
MsgScrSettingsTaxRate10,Mokesčio tarifas: 10 %
MsgScrSettingsDisableClockInRequired,Reikia išjungti parinktį „Pradėti seansą“.
MsgScrSettingsAutologoutOnDone,Parinktis „Autom. atjungimas“ nustatyta į „Atlikta“.
MsgScrSettingsTOTALCASH,VISO GRYNI
MsgScrSettingsTOTALCREDIT,VISO KREDITAS
MsgScrSettingsReceiptPrinted,Kvitas atspausdintas
MsgScrSettingsFailed2print,Nepavyko atspausdinti
MsgScrSettingsTOTALCHECK,VISO ČEKIAIS
MsgScrSettingsTOTALGIFTCERT,VISO DOVANŲ KORT.
MsgScrSettingsEmailReceipt,Siųsti kvitą el. paštu
MsgScrSettingsEnterEmailAddress,Įveskite el. pašto adresą
MsgScrSettingsChooseADrawer,Pasirinkti stalčių
BtnScrSettingsDrawer,Stalčius
MsgSettingsGenerate,Generuoti
MsgScrSettingsSelectDateRange,Įveskite datos intervalą
MsgScrSettingsTotalCashReports,Pilna grynųjų ataskaita
MsgScrSettingsPrintCashLog,Spausdinti mok. grynaisiais pinigais žurnalą
MsgScrSettingsPrintCashLog2,Išspausdinti\ngrynųjų pinigų žurnalą
MsgScrSettingsEmailPaymentLog,Siųsti mokėjimų žurnalą el. paštu
MsgScrSettingsPrintPaymentSummary,Spausdinti mokėjimų suvestinę
MsgScrSettingsPrintSafeDrop,Įnešimai į seifą 
MsgScrSettingsPrintPaymentLog,Spausdinti mokėjimų žurnalą
MsgScrSettingsPrintSalesReport,Spausdinti pardavimų ataskaitą
MsgScrSettingsOverridePrevailingTax,Vyraujantis mokestis
MsgScrSettingsPrevailingTaxAmount,Vyraujantis mokestis
MsgScrSettingsFailedLoadTimeSheet,Nepavyko įkelti darbo grafiko.
MsgScrSettingsFailedLoadTimeSheetOffline,Nepavyko prisijungti prie serverio.
MsgScrSettingsPages,%d psl. iš %d
MsgScrSettingsClockInClockOut,Pradėti seansą: %@  Užbaigti seansą: %@
MsgScrSettingsEditTipsAllStations,Redaguoti arbatpinigius (visi kasos terminalai)
MsgScrSettingsCaptureThisStation,Užfiksuoti šį kasos terminalą
MsgScrSettingsCapture,Užfiksuoti
MsgScrSettingsSort,Rūšiuoti
MsgScrSettingsCaptureAllView,Užfiksuoti visų vaizdą
MsgScrSettingsAllStations,Visi kasos terminalai
MsgScrSettingsThisStation,Šis kasos terminalas
MsgScrSettingsOrderID2,Užsakymo kodas
MsgScrSettingsPaymentDateTime,Mokėjimo data
MsgScrSettingsBusyProcessingBatch,Šiuo metu apdorojama operacijų serija... Grįžkite vėliau.
MsgScrSettingsTrNrOrderIdCardL4D,Operacijos nr.
MsgScrSettingsSomeTrNotAppr,Nepatvirtinta (-os) %d operac. Ieškokite informacijos atmestų mokėjimų ekrane.
MsgScrSettingsProcessed,Apdorota.
MsgScrSettingsAutoCaptureFailed,Nepavyko paleisti autom. užfiksavimo funkcijos
MsgScrSettingsSomeFailed2Capture,Nepavyko užfiksuoti%d.
MsgScrSettingsCaptureFailed,Nepavyko užfiksuoti.
MsgScrSettingsTransactionCaptureFailed,Nepavyko užfiksuoti operacijos. Bandykite vėliau.
MsgScrSettingsCaptureAllStations,Užfiksuoti visus terminalus
MsgScrSettingsDoUWant2CaptueAllPayments,"Ar norite užfiksuoti visus mokėjimus visuose terminaluose? Įsitikinkite, kad kiti POS terminalai yra aktyvūs ir prisijungę prie interneto ryšio."
MsgScrSettingsCaptureAllTransaction,Užfiksuoti visas operacijas
MsgScrSettingsEnsureAllInfoIsCorr,"Prieš atlikdami šią funkciją įsitikinkite, kad visa informacija yra teisinga. Tai gali šiek tie užtrukti, priklausomai nuo operacijų kiekio ir interneto ryšio kokybės.\n\nUžfiksuota %d operacijų.\n\nAr norite tęsti?"
MsgScrSettingsNothingToCapture,Nėra ką užfiksuoti.
MsgScrSettingsCaptureAllCaptureView,Užfiksuoti visus galima tik pasirinkus „Užfiksuoti vaizdą“.
MsgScrSettingsNoPaymentsFound,Nerasta mokėjimų.
MsgScrSettingsNrPayments,%d mokėjimai (-ų)
MsgScrSettingsCaptureAll,Užfiksuoti visus
MsgScrSettingsJobRequestAllSyncPosStations,Užklausa išsiųsta visiems POS terminalams. Patikrinkite terminalą po kelių minučių.
MsgScrSettingsLoading3Dots,Įkeliama...
MsgScrSettingsLockedPreauthorization,Užrakinta išankstinio autorizavimo parinktis
MsgScrSettingsToBeCaptured,Ketinama užfiksuoti
MsgScrSettingsNotAccepted,Nepatvirtinta! Norėdami užfiksuoti rankiniu būdu
MsgScrSettingsExccedAmount,Neleidžiama užfiksuoti daugiau kaip %@!
MsgScrSettingsConfirmation,Patvirtinimas
MsgScrSettingsDeletePaymentFromBatch,Pašalinkite mokėjimą iš serijos.
MsgScrSettingsLastStatus,Paskutinė būsena:
MsgScrSettingsTipOVER25,Arbatpinigiai VIRŠIJA 25%!
MsgScrSettingsTotal,Iš viso:
MsgScrSettingsTip,Arbatpinigiai:
MsgScrSettingsDisplayUnitSett,Ekrano nuostatos
MsgScrSettingsDisplayUnitWelcomeMess,Pasveikinimas ekrane:
MsgScrSettingsCustomWelcomeMess,Tinkintas pasveikinimo tekstas:
MsgScrSettingsWelcome2ManagerSett,Sveiki! Jūs atvėrėte vadovo nuostatų langą.
MsgScrSettingsEstablishment,Įstaiga
MsgScrSettingsPOSID,POS terminalo ID
MsgScrSettingsAdvanced,Papildomos nuostatos
MsgScrSettingsAdvancedEmployeeLock,Leisti darbuotojams užrakinti planšetinius kompiuterius „iPad“
MsgScrSettingsEnableCashRegisterMode,Įgalinti grynųjų pinigų registro veikseną
MsgScrSettingsEnableTroubleshootMode,Įjungti trikčių šalinimo veikseną
MsgScrSettingsRecentLog,Mokėjimų žurnalas
MsgScrSettingsUploadToServer,Įkelti žurnalus į serverį
MsgScrSettingsUploadLogs,Įkelti žurnalus į serverį
MsgScrSettingsLastUploadDateLessMinuteAgo,Paskutinį kartą įkelta: mažiau nei prieš 1 min.
MsgScrSettingsLastUploadDateMinutesAgo,Paskutinį kartą įkelta: prieš %d min.
MsgScrSettingsLastUploadDate,Paskutinį kartą įkelta: %@
MsgScrSettingsTroubleshootModeLogs,Trikčių šalinimo veiksenos žurnalai
MsgScrSettingsCustomMenus,Tinkinto meniu nuostatos
MsgScrSettingsShowCustomMenus,Rodyti tinkintą meniu
MsgScrSettingsCustomMenu,Tinkintas meniu
MsgScrSettingsManualMenu,Rankiniu būdu nustatytas meniu
MsgPopupIdleTimerTitle,Veikla nevykdoma
MsgPopupIdleTimerMessage,Ar jūs vis dar čia?
MsgPopupStartOverTitle,Pradėti iš pradžių
MsgPopupStartOverConfirmation,Tikrai norite tęsti?
MsgPopupTransactionFailedMessage,Paspauskite mygtuką „Atgal“ ir bandykite dar kartą arba paspauskite mygtuką „Ranka“ ir įveskite mokėjimo kortelės duomenis ranka.
MsgPopupCashInformationIncompleteTitle,Įvesti ne visi duomenys.
MsgPopupCashInformationIncompleteMessage,Įveskite savo vardą ir paspauskite mygtuką „Toliau“.
MsgPopupEmailAddressIsNotValidTitle,Netinkamas el. pašto adresas.
MsgPopupEmailAddressIsNotValidMessage,Patikrinkite savo el. pašto adresą ir bandykite dar kartą.
MsgPriceFree,Nemokamai
MsgCustomize,Tinkinti
MsgPopupRequireGroupTitle,Ne viskas pasirinkta.
MsgPopupRequireGroupMessage,Pasirinkite %@.
BtnEditSpecialInstructions,Redaguoti specialius nurodymus
BtnAddSpecialInstructions,Pridėti specialius nurodymus
MsgSubCategoryAll,Visi
MsgBagItemName,Maišelis
MsgProductInformation,Informacija apie %@
MsgKioskSearchOrderMenu,Užsakymo paieškos meniu
MsgPopupGiftCardIncorrectTitle,Blogas dovanų kortelės numeris
MsgPopupGiftCardIncorrectMessage,Įvestas blogas kortelės numeris
MsgProductAttributesSelect,Pasirinkti %@
MsgProductAttributesSelectAttrForProd,Pasirinkite %@ priedus %@ ir %@
MsgProductAttributesSelectOneAttrForProd,Pasirinkite %@ priedus %@
MsgCallNamePressBackTextOrderScreen,arba paspauskite mygtuką „Atgal“ ir grįžkite į užsakymo ekraną.
MsgCallNamePressBackTextPaymentOptions,arba paspauskite mygtuką „Atgal“ ir grįžkite į mokėjimo parinkčių ekraną.
MsgCallNameSkipGiftCardActivationText,"Arba spauskite Tęsti, jei norite nutraukti kortelės aktyvavimą"
MsgModWindowPleasePickMod,Pasirinkite %@.
MsgScrOrderKioskMyOrder,Mano užsakymas
MsgScrOrderKioskDeleteItem,Trinti
MsgScrOrderKioskTitleWelcomeTo,Sveiki prisijungę prie
MsgScrOrderKioskTitleTouchScreenToBegin,Palieskite ekraną ir pradėkite
MsgScrCheckoutKioskTitleCheckoutAndPayment,Atsiskaitymas ir apmokėjimas
MsgScrCheckoutKioskTitleCheckout,Atsiskaityti
MsgScrCheckoutKioskReviewOrder,Peržiūrėti užsakymą
MsgScrCheckoutKioskHaveDiscountCode,Turite nuolaidos kodą?
MsgScrCheckoutKioskNeedBag,Man reikia maišelio!
MsgScrCheckoutKioskDontNeedBag,Man nereikia maišelio.
MsgScrCheckoutKioskPrepareOptionHere,Čia
MsgScrCheckoutKioskPrepareOrderFor,Paruošti šį užsakymą (kam)
MsgScrCheckoutKioskBalanceDueIs,Jums liko sumokėti
MsgScrCheckoutKioskHowToPay,Kaip norite mokėti?
MsgScrCheckoutKioskPleaseSwipeCard,Perbraukite mokėjimo kortelę.
MsgScrCheckoutKioskWouldLikeToAddTip,Ar norite pridėti arbatpinigių?
MsgScrCheckoutKioskEnterTipAmount,Įveskite arbatpinigių sumą:
MsgScrCheckoutKioskOrChooseFromOptionsBelow,arba pasirinkite vieną iš tolesnių parinkčių.
MsgScrCheckoutKioskThankYouOrderPlaced,Ačiū! Jūsų užsakymas pateiktas.
MsgScrCheckoutKioskCallName,Kviečiamasis vardas:
MsgScrCheckoutKioskAmountCharged,Nuskaityta suma:
MsgScrCheckoutKioskOrderTotal,Bendra užsakymo suma:
MsgScrCheckoutKioskSignBelow,Pasirašykite žemiau.
MsgScrCheckoutKioskEnterEmail,Įveskite savo el. pašto adresą.
MsgScrCheckoutKioskEmailTitle,El. pašto adresas:
MsgScrCheckoutKioskEnterEmailHere,Įvesti el. pašto adresą čia
MsgScrCheckoutKioskPurchaseDoneThankYouNote,"Baigta! Dėkojame, kad užsisakote pas mus."
MsgScrCheckoutKioskReceiptSentTo,Kvitas išsiųstas (kam)
MsgScrCheckoutKioskSwipeGiftCard,Perbraukite dovanų kortelę arba įveskite jos numerį ranka.
MsgScrCheckoutKioskManualGiftCard,Rankiniu būdu įveskite dovanų kortelę
MsgScrCheckoutKioskGiftCardNo,Dovanų kortelės nr.:
MsgScrCheckoutKioskEnterGiftCardNo,Įvesti dovanų kortelės nr.
MsgScrCheckoutKioskScanQRToPayWith,"Nuskaitykite telefone rodomą QR kodą, kurio reikia mokėjimui atlikti."
MsgScrCheckoutKioskOpenPayPalSearchForOurStore,Atverkite „PayPal“ programėlę ir ieškokite mūsų parduotuvės.
MsgScrCheckoutKioskSwipeSliderRight,Tinkamai perbraukite mokėjimo kortelę.
MsgScrCheckoutKioskScanQRWithScanner,Nuskaitykite QR kodą skaitytuvu.
MsgScrCheckoutKioskEnterCallName,Įveskite kviečiamąjį vardą
MsgScrCheckoutKioskEnterCallNameHere,Įvesti kviečiamąjį vardą čia
MsgScrCheckoutKioskProceedToPaymentStation,Pereikite prie mokėjimo terminalo
MsgScrCheckoutKioskToCompleteOrder,ir užbaikite užsakymą.
MsgScrCheckoutKioskCallNumber,Kviečiamasis numeris:
MsgScrModifiersKioskHowMany,Kiek?
MsgScrModifiersNoModifiersForProduct,Nenurodyti šio produkto modifikatoriai.
MsgScrModifiersBasePrice,Bazinė kaina:
BtnModifiersSubPrice,Sub. kaina
MsgScrModifiersExtras,Priedai:
MsgScrModifiersPriceWithExtras,Kaina w/ priedai:
MsgScrModifiersCustomized,Tinkinta:
MsgScrModifiersSelectedModifiers,Pasirinkti modifikatoriai
MsgScrModifiersTouchToJumpToCategory,Palieskite ir pereikite prie kategorijos
MsgScrMatrixPriceColon,Kaina:
MsgScrMatrixSelectAttribute,Pasirinkti (požymį)
BtnLanguage,Kalba
MsgSelectLanguage,Pasirinkti kalbą
MsgSelectWhereReceiptSent,Pasirinkite produktą ar ingredientą
MsgSelectYourEmailTitle,Pasirinkti kasos terminalo stalčių
MsgScrSettingsAmount,Suma:
MsgScrSettingsAmount2,Suma
MsgScrSettingsEnterTransaction,įveskite operacijos nr.
MsgScrSettingsManTransaction,Operacija #
MsgScrSettingsCreditApproved,Kreditinė kortelė patvirtinta
MsgScrSettingsCreditNotApproved,Kreditinė kortelė nepatvirtinta
MsgScrSettingsUnexpectedPaymentProcessor,Nežinomas mokėjimų procesorius. Patikrinkite duomenų bazių serverio nuostatas.
MsgScrSettingsProcessingCredit,Kreditinės kortelės apdorojimas
MsgScrSettingsCreditAmountMustBeGreaterThan0,Kreditine kortele mokėtina suma turi būti didesnė už nulį.
MsgScrSettingsTransactionNotCaptured,Operacija neužfiksuota.
MsgScrSettingsNoTransactionNumberFound,Operacijos numeris nerastas.
MsgScrSettingsPleaseEnterTransactionNumber,Įveskite operacijos numerį.
MsgScrSettingsEnterAmountToCredit,Įveskite kredito sumą:
MsgScrSettingsRefundTips,Gražinti arbatpinigius
MsgScrSettingsDeleteLocks,Pašalinti užraktus
MsgScrSettingsSelectUserLockPOS,Pasirinkti POS sistemos naudotoją užraktui.
MsgScrSettingsDeleteAllLocksPOS,Iš POS sistemos bus pašalinti visi užraktai. Tikrai norite tęsti?
MsgScrSettingsOwnersAndManagersCanLog,"Užsakymų valdytojai ir vadovai visada gali prisijungti, jie nebus atvaizduojami šiame sąraše.\nVirėjai negali prisijungti, jie nebus atvaizduojami šiame sąraše.\nYra palaikomas pasirinktinių vartotojų atvaizdavimo apribojimas."
MsgScrSettingsPINRole,PIN: %@
MsgScrSettingsFailedDeleteUserLocks,Nepavyko pašalinti naudotojų užraktų.
MsgScrSettingsEnterPassword,Įvesti slaptažodį:
MsgScrSettingsTableFiltering,Stalelių filtravimas:
MsgScrSettingsCheckNetwork2,Tikrinti tinklą
MsgScrSettingsDoNotPrintPinPadReceipts,Nespausdinti PIN spausdintuvo kvitų
MsgScrSettingsDateTouchEmployee,Pažymėkite spausdinimui reikiamą datą ir darbuotoją.
MsgScrSettingsTillNotSet,Pradinis kasos grynųjų pinigų kiekis nenustatytas.
MsgScrSettingsNoCashWithdraw,Kasoje nėra grynųjų išėmimui
MsgScrSettingsBankDropManager,Įnešimo į banką vadovas
MsgScrSettingsAmountTills,Suma kasos terminalo stalčiuose
MsgScrSettingsEnterAmount,Įvesti sumą
MsgScrSettingsPrintEmptySafeDrop,Spausdinti tuščią išėmimą iš seifo.
MsgScrSettingsOpenCashDrawer,Atidaryti grynųjų pinigų stalčių
MsgScrSettingsQuestQT720PinPad,Quest QT720 PIN klaviatūra
MsgScrSettingsPinPadSerialNumber,PIN klaviatūros serijos nr.:
MsgScrSettingsPinPadKernelName,PIN klaviatūros branduolio pav.:
MsgScrSettingsPinPadKernelVersion,PIN klaviatūros branduolio versija:
MsgScrSettingsSerialboxStatus,'Serial Box' būsena:
MsgScrSettingsCloudID,Debesies kodas:
MsgScrSettingsDebugLog,Derinimo žurnalas
