LocaleIdentifier,SP
MsgScrModifiersBasePrice,Precio básico:
BtnModifiersSubPrice,Precio sub.
MsgScrModifiersExtras,Extras:
MsgScrModifiersPriceWithExtras,Precio w/ extras:
MsgScrModifiersCustomized,Personalizado:
MsgScrModifiersSelectedModifiers,Modificadores seleccionados:
MsgScrModifiersTouchToJumpToCategory,Toque para saltar a la categoría
MsgScrMatrixPriceColon,Precio:
MsgScrMatrixSelectAttribute,Seleccione (atributo)
BtnLanguage,Idioma
MsgSelectLanguage,Seleccione un idioma
MsgSelectWhereReceiptSent,Seleccione el producto o ingrediente
MsgSelectYourEmailTitle,Seleccione una caja
MsgScrSettingsAmount,Cant:
MsgScrSettingsAmount2,Cantidad
MsgScrSettingsEnterTransaction,Ingrese núm. de transacción
MsgScrSettingsManTransaction,Núm. de transacción
MsgScrSettingsCreditApproved,Credito aprobado
MsgScrSettingsCreditNotApproved,Credito no aprobado
MsgScrSettingsUnexpectedPaymentProcessor,Procesador de Pagos inesperado
MsgScrSettingsProcessingCredit,Procesando el credito
MsgScrSettingsCreditAmountMustBeGreaterThan0,Monto del credito debe ser mayor que cero
MsgScrSettingsTransactionNotCaptured,Transaccion no capturada
MsgScrSettingsNoTransactionNumberFound,Numero de transaccion no encontrada
MsgScrSettingsPleaseEnterTransactionNumber,Favor ingrese el numero de la transaccion
MsgScrSettingsEnterAmountToCredit,Ingrese el monto a acreditar
MsgScrSettingsRefundTips,Reembolsar la propina
MsgScrSettingsDeleteLocks,Borrar Bloqueos
MsgScrSettingsSelectUserLockPOS,Seleccione un usuario para bloquear a los puntos de venta
MsgScrSettingsDeleteAllLocksPOS,Esto eliminara todos los bloqueos de los puntos de venta. Esta seguro?
MsgScrSettingsOwnersAndManagersCanLog,Los propietarios y gerentes siempre pueden entrar y no se enumeran aqui. \nChefs no pueden iniciar sesion y no se enumeran aqui. \nBloqueos multiples de usuarios se admiten .
MsgScrSettingsPINRole,"NIP: %@, Puesto:"
MsgScrSettingsFailedDeleteUserLocks,Error al borrar bloqueo de usuario
MsgScrSettingsEnterPassword,Ingrese contrasena:
MsgScrSettingsTableFiltering,Filtrado de tabla:
MsgScrSettingsCheckNetwork2,Compruebe la red:
MsgScrSettingsDoNotPrintPinPadReceipts,No imprimir Recibos de PinPad:
MsgScrSettingsDateTouchEmployee,Seleccione una fecha y presione el nombre del empleado a imprimir
MsgScrSettingsTillNotSet,Fondo de caja no establecido
MsgScrSettingsNoCashWithdraw,No hay efectivo en caja
MsgScrSettingsBankDropManager,Configurar deposito bancario
MsgScrSettingsAmountTills,Cantidad en fondo de caja
MsgScrSettingsEnterAmount,Ingrese Monto
MsgScrSettingsPrintEmptySafeDrop,Imprimir depósito de caja fuerte vacío
MsgScrSettingsOpenCashDrawer,Abrir Caja
MsgScrSettingsQuestQT720PinPad,PinPad Quest QT720
MsgScrSettingsPinPadSerialNumber,PinPad numero de serie:
MsgScrSettingsPinPadKernelName,PinPad Kernel nombre:
MsgScrSettingsPinPadKernelVersion,Versión del kernel del PinPad:
MsgScrSettingsSerialboxStatus,Estado de Serial Box:
MsgScrSettingsCloudID,ID de nube:
MsgScrSettingsDebugLog,Depurar registro
MsgScrSettingsConnected,Conectado
MsgScrSettingsFailedConnect,Error al conectar
MsgScrSettingsNotConnected,no conectado
MsgScrSettingsPinPadconnectionTimeout,Conexion del PinPad sobrepasa tiempo de espera
MsgScrSettingsPinPadconnectionFailed,Conexion del PinPad fallo
MsgScrSettingsPinPadGotNegativeAckFromPinPad,Recibido ac negativo de PinPad
MsgScrSettingsGettingPinPadInfo,Obteniendo información del PinPad
MsgScrSettingsLookPinPad,Mirar el PinPad
MsgScrSettingsForce,Forzar
MsgScrSettingsPaymentsProcessing,Procesando pagos
MsgScrSettingsStillOffline,Sigue fuera de linea. Compruebe la conexion de la red.
MsgScrSettingsCashDrawerManagement,Configurar Gaveta de dinero
MsgScrSettingsSetCashDrawer,Establecer gaveta de dinero
MsgScrSettingsPushNotifications,Notificaciones Push
MsgScrSettingsOfflineCreditCardProcessingStart,Iniciar Proceso de crédito sin conexión
MsgScrSettingsOfflineCreditCardProcessingStop,Parrar Proceso de crédito sin conexión
MsgScrSettingsPaymentsSettings,Pagos
MsgScrSettingsDisplayUnitSettings,Mostrar la unidad
MsgScrSettingsDisplayUnitSettingsTitle,Mostrar el mensaje de bienvenida de la unidad:
MsgScrSettingsDisplayUnitSettingsEnterCustom,Actualizar mensaje de bienvenida:
MsgScrSettingsDisplayUnitSettingsCustomTitle,Actualizar mensaje de bienvenida:
MsgScrSettingsNetworkSyncFailureDetails,Detalles de Envío
MsgScrSettingsNetworkSyncFailureDescription,Descripción
MsgScrSettingsFailedLogout,Error al cerrar la sesion
MsgScrSettingsOrderIsStillOpen,Orden #% @ sigue abierta! Por favor
MsgScrSettingsClockInClockOut2,Entrada/Salida
MsgScrSettingsDoYouWantToClokInOrOut,Desea marcar entrada o salida
MsgScrSettingsManager,Gerente
MsgScrSettingsSalesSummary,Resumen de ventas
MsgScrSettingsPrinters,Impresoras
MsgScrSettingsTaxFree,Sin Impuesto
MsgScrSettingsTimeSchedule,Horario
MsgScrSettingsRewardCards,Tarjetas de premio
MsgScrSettingsDeclareTips,Declarar propinas
MsgScrSettingsTipsProcessing,Procesando propinas
MsgScrSettingsUpdateRPI,Actualizar RPI
MsgScrSettingsShowRPIDevices,Mostrar dispositivos RPI
MsgScrSettingsStanfordCards,Tarjetas Stanford
MsgScrSettingsWetstockManagement,Gestión de Wetstock
MsgScrSettingsTipManagement,Gestión de propinas
MsgScrSettingsStatusPage,ITL Página de Estatus
MsgScreenAllOrdersAreSentServer,Todos los Ordenes se envian al servidor
MsgScreenAllPaymentsAreSentPaymentProcessor,Todos los pagos se envían al procesador de pagos.
MsgScreen1OrderStillNotSentServer,1 orden sigue sin enviarse al servidor
MsgScreen1PaymentStillNotSentPaymentProcessor,1 pago aún no se ha enviado al procesador de pagos.
MsgScreenFewOrderStillNotSentServer,%d ordenes siguen sin enviarse al servidor
MsgScreenFewOrdersFailedSentServer,Error al enviar %d pedidos al servidor.
MsgScreen1OrderFailedSentServer,Error al enviar 1 pedido al servidor.
MsgScreenFewPaymentStillNotSentPaymentProcessor,%d pagos aún no se han enviado al procesador de pagos.
MsgScreenVersionInformation,Info de la version.
MsgScreenVersionEstabStation,Version:.%d @% @ \nIdentificacion del Establecimiento:% \n Nombre de la estacion:% @ \n Identificacion de dispositivo:% @ \n URL:% @
MsgScreenVersionEstablishmentStation,Versión: %@\nEstablecimiento ID: %d\nNombre de estación: %@\nDispositivo ID: %@\nURL: %@
MsgScreenCertificate,NTEP CC# 13-014
MsgScrPinWarningPosDisabledNoPaymentMessage,La estación POS está desabilitada. Su tarjeta de crédito fue rechazada. Ingrese una nueva tarjeta de crédito en el sistema o llame a soporte para recibir ayuda.
MsgScrPinWarningPosWillBeDisabledWarning,Usted tiene %i horas antes de que esta estación sea desabilitada. Debe hacer un pago con una nueva tarjeta de crédito
MsgScreenProductsAreLoaded,%d de %d productos no están cargados
MsgScreenAllOfferTransactionsAreSentServer,Todas las transacciones de oferta están enviadas al servidor.
MsgScreen1OfferTransactionStillNotSentServer,1 transacción de oferta todavía no se ha enviado al servidor.
MsgScreenFewOfferTransactionsStillNotSentServer,%d transacciones de oferta todavía no se han enviado al servidor.
MsgScrOrderSelect,Seleccione
MsgScrOrderTitle,Titulo o nombre
MsgScrOrderInformation,Informacion
MsgScrOrderOrderIsOpen,Orden abierta en %@
MsgScrOrderProductName,Nombre del Producto
MsgScrOrderSeat3,Asiento 3
MsgScrOrderCourse1,Entrada
MsgScrOrderMainMenu,Menu Princ.
MsgScrOrderOrderOverview,Resumen de Orden
MsgScrOrderOrder,Núm. de pedido
MsgScrOrderYourBalanceIs,Su saldo es
MsgScrOrderSelectHotspotDuration,Seleccione duracion del punto de acceso
MsgScrOrderHotspotError,Error del Punto de acceso
MsgScrOrderFailedGetCodeHotspot,No se pudo obtener el codigo del punto de acceso
MsgScrOrderCardAttachedOrder,Tarjeta adjunta a la orden
MsgScrOrderCardCantAttachedOrder,La tarjeta no se puede adjuntar a la orden
MsgScrOrderEmailSent,Correo enviado
MsgScrOrderOrdersOutForDelivery,Ordenes salieron a su destino
MsgScrOrderDolAmount,$ Monto
MsgScrOrderStreet,Calle
MsgScrOrderOutTime,Hora de salida
MsgScrOrderDriverName,Nombre del chofer
MsgScrOrderChangeDriver,Cambiar Chofer
MsgScrOrderASSIGNDRIVER,ASIGNAR CHOFER
MsgScrOrderOrdersAwaitingDelivery,Ordenes en espera para ser enviados
MsgScrOrderCustomerName,Nombre
MsgScrOrderZip,Cód. postal
MsgScrOrderTimeOrdered,Hora del Orden
MsgScrOrderSetAttributes,Establecer atributos
MsgScrOrderSetAutoGratuity,Establecer Auto Propina
MsgScrOrderAutoGratuityOnOff,Auto Propina On / Off:
MsgScrOrderSetGratuity,Establecer propina %:
MsgScrOrderHold,Mantener
MsgScrOrderMore,Mas
MsgScrOrderStopped,Detenido
MsgScrOrderOrderSummary,Resumen de Orden
MsgScrOrderSubtotal,Subtotal
MsgScrOrderDue,Saldo
MsgScrOrderTotalDue,Saldo Total
MsgScrOrderBalance,Saldo:
MsgScrOrderChange,Cambio:
MsgScrOrderSettings,Ajustes
MsgScrOrderBarcodeScanner,Lector de Cod. Barra
MsgScrOrderDeviceStatus,Estado del equipo
MsgScrOrderExit,Salir
MsgScrOrderEnterCallNamePlease,Enter call name please
MsgScrOrderNumber,Numero :
MsgScrOrderName,Nombre:
MsgScrOrderExp,Exp:
MsgScrOrderAuth,Auth #:
MsgScrOrder1Station,1 Estacion
MsgScrOrderCustomerNameOrder ,Nombre y Orden del cliente
MsgScrOrderApplyDiscount,Aplicar descuento
MsgScrOrderHelp,Ayuda
MsgScrOrderRemoveItems,Quitar articulos
MsgScrOrderThankYouApproved,Gracias!\nAprobado
MsgScrOrderNotManagersPIN,PIN ingresado No es un gerente o dueno! Ingrese nuevamente!
MsgScrOrderReceiptManager,Receipt Manager
MsgScrOrderSignHere,Firme aqui
MsgScrOrderAgreementToPay,Estoy de acuerdo en pagar la cantidad total anterior de acuerdo con el acuerdo de tarjeta habiente
MsgScrOrderHowToDeliveReceipt,Como quiere entregar el recibo?
MsgScrOrderDoYouWantaReceipt,¿Desea un recibo?
MsgScrOrderTips,Propinas
MsgScrOrderCannotAddOrderItem,No puede actualizarse cantidad de artículo porque el precio de artículo ha sido cambiado. Por favor copia artículo o añade el nuevo. 
MsgScrOrderNoOpenOrders,No se encontraron pedidos abiertos.
MsgScrOrderExchangedItems,Artículos intercambiados:
MsgScrOrderSetTillBeforePerformAction,La caja registradora debe ajustarse antes\n realizar la acción deseada.
MsgScrOrderSetTillContactManager,Tiene que establecerse la gaveta.\nPor favor ponte en contacto con tu gerente
MsgScrOrderSetCallNameBeforePerformAction,Debe agregarse un nombre identificador antes de\n realizar la acción deseada.
MsgScrOrderSetCustomerBeforePerformAction,Debe agregarse un cliente antes de\n realizar la acción deseada.
MsgScrOrderSetDiningBeforePerformAction,Opción de comida tiene que añadirse antes\nde que se cumple acción deseada.
MsgScrOrderSetSeatCountBeforePerformAction,Número de asientos tiene que establecerse antes\nde que se cumple acción deseada.
MsgScrOrderSetSerialBeforePerformAction,Artículo(s) en este pedido requieren números de serie antes de pasar a la pantalla de pago. Por favor añade números de serie o selecciona artículos para entrega local.
MsgScrOrderProductCannotBe,%@ no puede ser %@.
MsgScrOrderProductCannotBeRemoveTheseProducts,%@ no puede ser %@.  ¿Eliminar estos productos del pedido?
MsgScrOrderProductCannotBeRemoveThisProduct,%@ no puede ser %@.  ¿Eliminar este producto del pedido?
MsgScrOrderDonationError,Error: Las donaciones fueron desactivadas. \nPóngase en contacto con su administrador.
BtnPromptGoToTill,Ir a caja registradora
BtnPromptSelectCustomer,Seleccione un\ncliente
BtnPromptSelectCallName,Seleccione un\nnombre identificador
BtnPromptAddSerialNumber,Añadir Números de serie
BtnPromptChooseItemsForLocalDelivery,Elige artículo(s) para entrega local
MsgLibIndexWrongQrCode,Código QR erróneo
MsgIndexError,Error de Index
MsgLibStarPrinterError,Error de impresora Star
MsgLibStarIpAddrNotConf,Direccion de IP no configurada
MsgLibMagTekPortableCardSwipe,Lector de tarjeta portátil
MsgLibMagTekInitializing,Inicializando...
MsgLibMagTekAccessoryConn,Accesorio conectado
MsgLibMagTekDeviceConn,Dispositivo conectado
MsgLibMagTekDeviceDisconn,Dispositivo desconectado
MsgLibMagTekMAGTEKERR,ERROR DE MAGTEK
MsgLibMagTekFailedParseOfflData,Error al analizar los datos del procesador sin conexión.
MsgLibMagTekDeviceReady,Dispositivo listo
MsgLibMagTekDeviceNotOpened,Dispositivo no abierto
MsgLibMagTekDeviceNotConn,Dispositivo no conectado
MsgLibMagTekOpenediDynamo,iDynamo abierto
MsgLibMagTekOpeneduDynamo,uDynamo abierto
MsgLibKitchenNetStartFailed,Inicio la red fallido
MsgLibKitchenItemsAreNotSent,Las ordenes siguientes  no se mandan\n
MsgLibKitchenItemsAreNotRemoved,Las ordenes siguientes  no se eliminan\n
MsgLibKitchenFrom,De
MsgLibKitchenTo,Para
MsgLibKitchenOrder,Núm. de pedido
MsgUtilsViewRedeemCode,Código de canje
MsgUtilsViewEnterRedemptionCode,Ingrese el código de canje
MsgUtilsViewPassword,Contrasena
MsgUtilsViewEnterPassword,Introduzca contrasena
MsgUtilsViewEnterAManagerPINToApprove,Ingresa PIN de Gerente para aprobar.
MsgUtilsViewSwipeCardForLinkOrderToApprove,Por favor desliza tarjeta para aprobar
MsgUtilsViewLinkCard,Vincular tarjeta
MsgUtilsViewFindPreAuthCard,Buscar pedidos vinculados
MsgUtilsViewCardSwipeIsNotSetUp,La lectura de tarjetas no está configurada en esta estación.
MsgUtilsViewSwipeCardForLinkOrder,Deslice una tarjeta.
MsgUtilsViewLinkedFindNotFound,No se encontró el pedido vinculado.
MsgUtilsViewLineNr,%s [Línea %d] %@
MsgUtilsViewEatInOrder,Orden para comer aqui
MsgUtilsViewEatInInvoice,Factura de servicio en restaurante
MsgUtilsViewEatIn,Servicio en restaurante
MsgUtilsViewEatInWebOrder,Pedido Web para servicio en restaurante
MsgUtilsViewEatInWebInvoice,Factura Web para servicio en restaurante
MsgUtilsViewToGoOrder,Orden para llevar
MsgUtilsViewToGoInvoice,Factura de servicio para llevar
MsgUtilsViewToGo,Servicio para llevar
MsgUtilsViewToGoWebOrder,Pedido en línea
MsgUtilsViewToGoWebInvoice,Factura Web de servicio para llevar
MsgUtilsViewRetailOrder,Pedido de Venta minorista
MsgUtilsViewRetailInvoice,Invoice de venta minorista
MsgUtilsViewRetailWebOrder,Pedido online de venta minorista
MsgUtilsViewRetailWebInvoice,Invoice online de venta minorista
MsgUtilsViewDelivery,A Domicilio
MsgUtilsViewWebDelivery,Pedido Web de servicio a domicilio
MsgUtilsViewWebDeliveryInvoice,Factura Web de servicio a domicilio
MsgUtilsViewCatering,Servicio de catering
MsgUtilsViewWebCatering,Pedido Web de servicio de catering
MsgUtilsViewWebCateringInvoice,Factura Web de servicio de catering
MsgUtilsViewDriveThru,Servicio en ventanilla
MsgUtilsViewWebDriveThru,Pedido Web para servicio en ventanilla
MsgUtilsViewWebDriveThruInvoice,Factura Web para servicio en ventanilla
MsgUtilsViewWebOrder,Pedido en línea
MsgUtilsViewWebInvoice,Factura Web
MsgUtilsViewOther,Otros
MsgUtilsViewWebOther,Pedido en línea
MsgUtilsViewWebOtherInvoice,Otra factura Web
MsgUtilsViewWebOnlineKitchen,Conectado
MsgDOMTotalOutstanding,Total adeudados
MsgDOMRate,Tasa %@ 
MsgDOMExchangeTotal,Total de intercambio
MsgDOMReceiptTotal,Total Recibo
MsgDOMReceiptSumTotal,Suma Total del Recibo
MsgDOMRewardSummary,Resumen de premios
MsgDOMRewardCardNumber,Tarjeta premio #
MsgDOMRedeemAuthNumber,Canjear Num. de auten.
MsgDOMAuthNumber,Numero Autor.
MsgDOMCoupon,Cupón
MsgDOMCouponAmount,Monto del cupón
MsgDOMCouponUsed,Cupón usado
MsgDOMRewardUsed,Premio usado
MsgDOMCustomerOwes,Cliente debe
MsgDOMAddAuthNumber,Agregar num. Auten.
MsgDOMPointsEarned,Puntos ganados
MsgDOMTotalPoints,Total de puntos
MsgDOMCashEarned,Efectivo ganado
MsgDOMRewardBalance,Saldo de recompensas
MsgDOMRewardCashBalance,Saldo de recompensas en efectivo
MsgDOMTotalSaved,Total Ahorado
MsgDOMAdditionalPoints,%.2f point(s) needed for your next\\n%@ to be added to your card
MsgDOMAdditionalVisits,%d visitas necesitas para recibir %@ recompensa.
MsgDOMExchanged,[Cambiado]
MsgDOMExchangedWithDate,[Exchanged %@]
MsgDOMTOTALREFUNDED,TOTAL REEMBOLSADO
MsgDOMVOIDED,ANULADOS
MsgDOMRETURNED,DEVUELTO
MsgDOMCOMPS,CORTESÍAS
MsgDOMVOIDEDPAYMENTS,PAGOS ANULADOS
MsgDOMREFUNDEDPAYMENTS,PAGOS REEMBOLSADOS
MsgDOMVOIDEDTRANSACTION,TRANSACCIÓN ANULADA
MsgDOMREFUNDEDTRANSACTION,TRANSACCIÓN REEMBOLSADA
MsgDOMCourse,Plato
MsgDOMItemToGo,[Artículo para llevar]
MsgDOMNO,NO
MsgDOMDeliveryDate,Fecha del Domicilio
MsgDOMWaitingfor,Esperando por
MsgDOMUser,Usuario
MsgDOMPAYINRECEIPT,RECIBO DE DEPÓSITOS
MsgDOMDrawerNumber,Gaveta #
MsgDOMReason,Razon
MsgDOMPAYOUTRECEIPT,PAYOUT RECEIPT
MsgDOMFireCourse,Mandar Plato %d
MsgDOMGiftCard,Tarj. Regalo
MsgDOMCustPaid,Pagado cliente
MsgDOMCustChange,Cambio cliente
MsgDOMTrans,Trans
MsgDOMCard,Tarjeta
MsgDOMCUTHERE,Corte aqui
MsgDOMTotalOutst,Total a pagar
MsgDOMREFUNDED,REEMBOLSADO
MsgDOMBREAKDOWN,DETALLE
MsgDOMCouldntBeAuth,del pedido %@ no pudo autorizarse por el monto total.
MsgDOMCollectedSomeCouldnt,%.2f fue cobrado. %.2f no pudo cobrarse.
MsgDOMCaptureStatus,Estado de la captura
MsgDOMTRAININGMODE,MODO DE ENTRENAMIENTO
MsgREPRINT,Re-imprimir
MsgCouponsError,Error
MsgCouponInvalidCoupon,Cupon invalido
MsgCouponScanCoupon,Escanear Cupon
MsgCouponCampaignDateError,Error de fecha inicial(final) de cupón
MsgApplyCoupon,Aplicar cupón
MsgApplyCouponPRNotAllowed,PR cupón no está disponible en este flujo
MsgInventoryInventory,Inventario
MsgInventoryInventoryManagement,Administración de inventario
MsgInventoryManageInventory,Administrar inventario
MsgInventoryItemNameInventory,%@ Inventario
MsgInventorySReceived,%.2f %@ recibido.
MsgInventoryQuantityUnits,%.2f %@
MsgInventoryProducts,PRODUCTOS
MsgInventoryPOs,Órdenes de compra
MsgInventoryPO's,Órdenes de compra
MsgInventoryManagePOs,Administrar órdenes de compra
MsgInventoryCancel,Cancelar
MsgInventoryScanBarcode,Escanear código de barras
MsgInventoryPressScanButton,Presione el botón de exploración
MsgInventoryFetchingInventoryInformation,Obteniendo información del inventario...
MsgInventoryFetchingInventoryInformationForDefaultItems,Obteniendo información del inventario de artículos clave...
MsgInventoryUpdatingInventoryInformation,Actualizando información del inventario...
MsgInventoryStartingInventoryIsNow,"Inventario inicial es ahora \""%.2f\"""
MsgInventoryCurrentInventory:,Inventario actual:
MsgInventoryCurrentInventoryIs,"El inventario actual es \""%.2f\\"
MsgInventoryCurrentInventoryis,"Inventario actual es \""%.2f\""\nInventario actual es \""%.2f\"" \nDiferencia de pérdida de resíduos es \""%.2f\"" \nPérdida de residuos es \""%0.2f%%\"""
MsgInventoryProductWithEnteredBarcodeWasNotFound,No hay producto que coincide con código de barras encontrado.
MsgInventoryProduct,Producto
MsgInventoryPOID#,NÚM. DE LA ORDEN DE COMPRA
MsgInventorySelect,Seleccione
MsgInventoryEnterPOID#,Ingrese núm. de orden de compra
MsgInventoryEnterBarcode,Introduzca codigo de barra
MsgInventoryTouchToSelectaPurchaseOrder,Toca para seleccionar pedido de compra
MsgInventorySelectaPurchaseOrder,Seleccione una orden de compra
MsgInventoryTouchToSelect,Toca para seleccionar
MsgInventorySearch,Búsqueda
MsgInventorySubmit,Ingresar
MsgInventoryPurchaseOrderSearch,Búsqueda de pedido de compra
MsgInventoryProductSearch,Búsqueda de producto
MsgInventoryNoMathesFound,No se encontraron coincidencias.
MsgInventoryInventoryUpdated,Inventario actualizado
MsgInventoryNothingUpdated,No se actualizó nada
MsgInventoryInvUnitsAdded,Núm. de Inv. Unidades\nagregadas
MsgInventoryAdded,Agregado
MsgInventoryCurrentInventory,Inventario\nactual
MsgInventoryPOID,ID DE ORDEN DE COMPRA
MsgInventoryPOIDNumber,ID DE ORDEN DE COMPRA %d
MsgInventoryPOsIncluding,Órdenes de compra que incluyan: % @
MsgInventoryPurchaseOrderID,Núm. ID de orden de compra
MsgInventoryVendorName,Nombre del proveedor
MsgInventoryVendorInvoiceNumber,Invoice de proveedor #
MsgInventoryDate,Fecha
MsgInventoryItem,Artículo
MsgInventoryCountDuplicates,"Encontrados %ld duplicados, pueden removerse antes de envío"
MsgInventoryCurrent,Actual
MsgInventoryReceive,Recibir
MsgInventoryActual,Real
MsgInventoryWaste,Desecho
MsgInventoryDamage,Daño
MsgInventoryName,Nombre
MsgInventoryQuantity,Cantidad
MsgInventoryQty,Cant.
MsgInventoryUnit,Unidad
MsgInventoryClosed,Cerrado
MsgInventoryRec,Rec.
MsgInventoryProductResultList,Lista de resultado de producto
MsgInventorySelectProductOrIngredient,Seleccione el producto o ingrediente
MsgInventoryPleaseSelectUnit,Seleccione una unidad
MsgInventoryPleaseSelectReason,Seleccione una unidad
MsgInventoryMoreDetails,Detalles del pedido
MsgInventoryIngredient,Ingrediente
MsgInventoryObtainingPurchaseOrder,Obteniendo orden de compra...
MsgInventoryObtainingPurchaseOrders,Obteniendo órdenes de compra...
MsgInventoryUpdateReceivedInfo,Actualizando información recibida...
MsgInventoryErrorOccurredFetchFailed,¡Error al obtener el inventario!
MsgInventoryErrorOccurredInternet,Hubo un error. ¡Compruebe su conexión a Internet!
MsgInventoryEnterAmount,Ingrese Monto
MsgInventoryPriorInventory,Inventario anterior (%@)
MsgInventoryActualInventory,Inventario real (%@)
MsgInventoryVariance,Variación (%@)
MsgInventoryVariancePerc,Variación (%%)
MsgInventoryReason,Razon
MsgInventoryEnterReason,Ingrese la Razon
MsgInventoryEnterCostPerUnit,Costo por unidad
MsgInventoryNone,Ninguno
MsgInventoryUpdate,Actualizar
MsgInventoryUpdatePrice,Servidor
MsgInventoryUpdateCost,Actualizar costo
MsgInventoryAdjustCost,Monto del\najuste
MsgInventoryPriceUpdated,Precio actualizado
MsgInventoryCostUpdated,Costo actualizado
MsgInventoryNewPrice,Nuevo precio: %@
BtnShowResultsPrinterDetails,Imprimir detalles
BtnShowResultsPrinterSummary,Imprimir resumen
MsgInventoryCurrentPrice,Precio actual: %@%.2f
MsgInventoryCurrentCost,Costo actual: %@%.2f
MsgInventoryNewCost,Nuevo costo: %@
MsgInventoryCurrent:,Actual: %@%.2f
MsgInventoryCurrentQuantityUnits,Actual: %.2f %@s
MsgInventoryThePriceOf,El precio de %@ ha cambiado a %@%.2f. Actualice las otras estaciones para distribuir el cambio.
MsgInventoryTheCostOf,El costo de %@ ha cambiado a %1%.2f. Actualice las otras estaciones para distribuir el cambio.
MsgInventoryPrice,Precio
MsgInventoryCost,Costo
MsgInventoryPleaseSpecifyReason,Especifique una razón.
MsgInventoryPleaseCorrectQuantity,Especifique la cantidad correcta.
MsgInventoryNA,N/D
MsgInventoryEnterSerialNumber,Ingrese los números de serie\n(separados por renglón)
MsgInventoryStatus,Estado
MsgInventoryFilterBySerialNumber,Filtrar por número de serie
MsgInventorySerialNumber,Número de serie
MsgInventorySerialNumbers,Número(s) de serie
MsgInventoryFetchingSerialNumbers,Obteniendo número(s) de serie...
MsgInventoryInStock,En existencia
MsgInventorySold,Vendido
MsgInventoryWastage,Desperdicio
MsgInventoryEnsureThisValue,Asegúrese de que el valor del costo sea mayor o igual que 0.0001.
MsgInventoryQuantityAndNumber,La cantidad en inventario y el recuento de número de serie no coinciden.
MsgInventorySerialNumberAlreadyExists,El número de serie ya existe.
MsgInventorySynchronize,Sincronizar
MsgInventoryScannedItemCannotBeAdded,El artículo no se ha encontrado y no puede añadirse al pedido porque ya está pagado.
MsgInventoryResultUnmatched,Sin coincidencias
MsgInventoryResultShrinkage,Contracción
MsgInventoryResultMatched,Coincide
MsgActualSerialResultsList,Lista de resultados de series actuales
MsgInventoryResultReceive,¿Recibir?
MsgInventoryResultReceiveAll,¿Recibir todo?
MsgInventoryResultWaste,¿Residuo?
MsgInventoryResultWasteAll,¿Perder todo?
MsgInventoryReadyForScanOrInput,Preparado para escanear o ingresar manualmente
MsgInventoryEnteredSerialNumber,Series ingresados #'s
MsgInventoryNoSelectingItems %@,No has seleccionado ningunos %@ artículos. ¿Proceder de todas formas?
MsgInventoryInputReason,Ingresa razón
MsgInventoryReceivedSerialNumbers,Recibido
MsgInventoryWastedSerialNumbers,Residuo
MsgInventoryMatchedSerialNumbers,Coincide
MsgInventoryCheckingInventory,Comprobando inventario...
MsgInventorySerialNumberIs,con número de serie
MsgInventorySerialNumberSold,marcado como Vendido
MsgInventorySerialNumberWastedV2,Marcado como Residuo
MsgInventorySerialNumberNotMatches,no existe en el inventario
MsgPunchhLoadConfigurationError,error de carga de configuración
MsgPunchhUserInfo,Punchh Información de usuario
MsgPunchhCreateUserInfo,Crear Punchh Usuario
MsgPunchhEnterUserInfo,Ingresar Punchh Información de usuario
MsgPunchhEnterPhoneEmailError,Deberías ingresar correo electrónico o teléfono
MsgPunchhLookupByPhoneOrEmailError,Buscar por params múltiples no está apoyado.\nPor favor usa teléfono/correo electrónico/tarjeta
MsgPunchhFirstLastNameError,Deberías ingresar nombre o apellido
MsgPunchhCustomerPhoneEmailError,Cliente no tiene teléfono ni correo electrónico
MsgPunchhCustomerLookup,Punchh búsqueda de usuario...
MsgPunchhUserCreate,Crear Punchh Usuario
MsgPunchhLoadingUserRedemption,Cargando información de redención...
MsgPunchhRedemptionCode,Código de redención
MsgPunchhEnterRedemptionCode,Ingrese el código de canje
MsgPunchhRedemptionCodeError,Deberías ingresar Código de redención digital
MsgPunchhApplyRedemption,Aplicando descuento...
MsgPunchhSuccessfullyRedeemed,Redimido con éxito
MsgPunchhPoints,Punchh puntos
MsgPunchhNoRedeemableRewards,Usuario %@ %@ no tiene recompensas redimibles 
MsgPunchhCheckInUser,Registrando cliente...
MsgPunchhSendingOrder,Enviando detalles de recibo...
MsgPunchhSendingOrderError,Envío de recibo ha fallado
MsgPunchhSendingOrderSuccess,Envío de recibo con éxito
MsgPunchhBankedRewards,Administrar recompensas
MsgPunchhUnredeemCards,Canjear recompensas
MsgPunchhUserManage,Manejar Punchh usuario
MsgPunchhNoRedeemableRewardsYes,Usuario no tiene recompensas redimibles
MsgPunchhUsers,Usuarios de Punchh Loyalty
MsgPunchhReceipts,Recibos Punchh
MsgPunchhCreateError,No puede crearse Punchh usuario\n.Error desconocido.
MsgPunchhSelectItemError,Seleccione
MsgPunchhRewardsAvailableCaption,Recompensas disponibles
MsgPunchhSwipeOrScanTitle,Escanee o deslice la tarjeta de recompensas
MsgPunchhReaderOrScannerWaiting,Escanee o deslice la tarjeta de recompensas
MsgPunchhCaptionPoints,Indicar saldo
MsgPunchhRedeemCard,Canjear Premios
MsgPucnhhBankedRewardsPointsEarnedMessage,Tiene una cita.
MsgComoBenefitCanNotBeApplied,La tarjeta no se puede adjuntar a la orden
